StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       01,      00,   195601,   2.68,   42.2,  -3.64,  -3.64,  -2.28,  -3.64,      4,    739,  -1.38,  -2.17,  -1.85,  -2.33,  -1.57,  -1.18,   -2.9,   30.9,   53.5,
       01,      00,   195602,   7.89,   53.5,   -2.6,   -2.6,   1.98,  -1.76,     18,    368,   1.32,     .2,   -.79,   -1.5,  -1.43,   -.85,  -2.28,   42.7,   64.4,
       01,      00,   195603,   6.87,   54.6,  -2.18,  -2.18,    .47,  -1.12,     18,    366,    .43,   1.07,    .33,   -.54,    -.9,    -.3,  -1.96,   41.6,   67.5,
       01,      00,   195604,   4.62,   61.3,  -1.98,  -1.98,   -.09,   -.94,     29,    163,    .08,    .28,    .81,   -.45,  -1.16,   -.72,   -1.8,   48.5,     74,
       01,      00,   195605,    2.6,   73.3,  -2.45,  -2.45,  -2.01,   -2.1,    247,     11,   -.82,   -.47,   -.11,   -.61,   -1.1,  -1.14,  -1.77,   60.9,   85.6,
       01,      00,   195606,   4.26,   76.2,  -2.19,  -2.19,    .03,  -1.77,    322,      0,    .14,   -.54,   -.39,   -.08,   -.69,   -.96,  -1.48,   64.1,   88.3,
       01,      00,   195607,   5.55,   79.7,     -2,     -2,   -.12,  -1.58,    444,      0,    .26,    .19,   -.37,    .35,   -.61,  -1.15,  -1.34,   67.9,   91.4,
       01,      00,   195608,   2.88,   80.1,  -2.41,  -2.41,  -1.86,  -2.41,    453,      0,  -1.01,   -.53,    -.4,   -.41,   -.77,  -1.18,  -1.23,   67.1,   93.1,
       01,      00,   195609,    4.7,   72.1,  -1.88,  -1.88,    .86,  -1.44,    208,     13,    .61,   -.18,   -.06,   -.44,   -.15,   -.69,   -.93,   58.5,   85.7,
       01,      00,   195610,    3.7,     65,  -1.43,  -1.43,    .75,   -.62,     89,    102,    .59,    .71,    .12,   -.25,    .34,   -.53,   -.75,     53,   76.9,
       01,      00,   195611,   1.78,     51,  -1.86,  -1.86,  -1.72,  -1.72,      3,    444,  -1.21,   -.29,    .06,   -.34,   -.36,   -.71,   -.85,   37.5,   64.6,
       01,      00,   195612,   6.19,   54.2,  -1.59,  -1.59,    .23,  -1.29,     21,    377,    .58,   -.24,    .04,   -.11,   -.37,   -.12,   -.79,   42.3,   66.1,
       01,      00,   195701,   4.59,   48.4,  -1.65,  -1.65,   -.65,  -1.54,     19,    575,   -.13,    .25,   -.36,   -.25,   -.45,    .16,   -.78,   38.1,   58.8,
       01,      00,   195702,   3.71,   56.4,  -2.12,  -2.12,  -1.94,  -2.12,     29,    302,   -.69,   -.68,   -.23,   -.18,   -.46,   -.46,   -.99,   45.9,   66.9,
       01,      00,   195703,   4.24,   52.7,   -2.4,   -2.4,  -1.48,   -2.4,     12,    420,   -.66,   -.99,   -.98,   -.72,   -.72,   -.81,   -.85,   41.7,   63.7,
       01,      00,   195704,   7.15,     65,    .51,  -1.64,   1.52,   -.92,     69,     86,   1.03,    .25,   -.15,   -.38,   -.35,   -.49,   -.87,   52.8,   77.2,
       01,      00,   195705,   5.13,   71.8,    .71,  -1.21,    .78,   -.12,    210,     16,     .6,   1.09,    .45,    .12,    .04,   -.15,   -.93,   60.4,   83.1,
       01,      00,   195706,   5.85,   78.2,   1.21,   1.21,    1.7,   1.21,    385,      0,    .91,    .91,   1.23,    .22,    .12,    .03,   -.67,   67.8,   88.7,
       01,      00,   195707,      3,   79.7,    -.6,    -.6,  -1.79,    -.6,    442,      0,  -1.85,   -.18,    .12,    -.1,   -.33,    -.3,  -1.01,   68.4,   90.9,
