StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       02,      00,   195601,   1.01,   45.6,  -2.23,  -2.23,  -1.12,  -2.23,      5,    403,    .07,   -.36,   -.55,   -.59,    .11,    -.6,   -.32,   32.7,   58.4,
       02,      00,   195602,    .58,   39.6,  -2.29,  -2.29,   -.88,  -2.29,      0,    523,   -.44,   -.33,   -.59,  -1.65,   -.03,   -.54,   -.35,   26.1,   53.1,
       02,      00,   195603,    .04,   50.6,  -2.83,  -2.83,  -2.32,  -2.83,     27,    263,  -1.85,  -1.39,   -.96,  -1.51,   -.53,   -.52,   -.95,   33.5,   67.7,
       02,      00,   195604,    .36,   55.6,  -3.13,  -3.13,  -1.78,  -3.13,     70,    156,   -.12,  -1.57,  -1.38,  -1.23,  -1.08,   -.42,   -.86,   40.9,   70.3,
       02,      00,   195605,    .14,   67.1,  -3.69,  -3.69,  -2.65,  -3.69,    283,     21,   -.55,   -.52,  -1.83,  -1.23,  -2.17,   -.43,   -.93,   50.4,   83.7,
       02,      00,   195606,    .31,   77.3,  -4.06,  -4.06,  -2.26,  -4.06,    562,      1,    .35,   -.33,   -.41,  -1.03,  -1.53,    -.6,   -.98,   60.7,   93.9,
       02,      00,   195607,    1.8,   78.5,  -3.69,  -3.69,   -.15,  -3.69,    611,      0,    .14,    .15,   -.07,   -1.2,   -1.2,  -1.11,  -1.12,   64.2,   92.9,
       02,      00,   195608,   1.02,     76,  -4.08,  -4.08,   -2.3,  -4.08,    541,      0,  -1.49,   -.93,   -.88,  -1.64,  -1.75,  -2.39,  -1.42,     61,     91,
       02,      00,   195609,    .07,   75.5,  -4.77,  -4.77,  -3.34,  -4.77,    519,      1,  -1.74,  -2.69,  -1.87,  -1.81,     -2,  -2.38,   -1.9,   58.6,   92.4,
       02,      00,   195610,    .51,     61,  -4.62,  -4.62,  -1.01,  -4.62,    136,     64,   -.33,  -1.66,  -2.14,   -1.9,  -2.53,   -2.6,  -1.98,   45.1,     77,
       02,      00,   195611,    .02,   46.2,  -4.65,  -4.65,  -1.52,  -4.65,      7,    346,  -1.38,  -1.32,  -1.99,  -2.05,   -2.7,  -2.88,  -2.16,   30.1,   62.3,
       02,      00,   195612,    .18,   41.5,  -4.83,  -4.83,  -1.98,  -4.83,      0,    504,  -1.15,  -1.79,  -1.74,  -2.34,  -2.41,  -2.81,   -1.8,   26.6,   56.4,
       02,      00,   195701,   2.82,   42.6,    .99,  -3.34,   2.98,  -2.16,      0,    474,   1.53,    .64,    .14,  -1.29,  -1.23,  -2.03,  -1.61,   33.2,   51.9,
       02,      00,   195702,    .62,   50.9,    .37,  -3.52,  -1.57,  -2.89,     26,    233,   -.38,    .92,     .3,   -.88,   -1.2,  -1.67,  -1.54,   38.6,   63.2,
       02,      00,   195703,    .89,   50.6,    .12,  -3.36,   -.62,  -2.92,     25,    270,    .07,    -.3,    .72,   -.27,  -1.15,   -1.2,  -1.26,     38,   63.2,
       02,      00,   195704,     .5,   55.4,    .01,  -3.11,   -.29,  -2.72,     71,    156,    .21,    .01,    -.3,   -.13,  -1.18,  -1.15,  -1.17,   41.2,   69.6,
       02,      00,   195705,    .94,   61.3,    .36,  -2.45,   1.03,  -1.65,    158,     63,   1.77,   1.02,    .58,    .44,   -.47,   -.79,   -.95,   47.1,   75.5,
       02,      00,   195706,    .52,   76.1,    .43,  -2.09,    .33,  -1.15,    539,      2,   1.05,   2.03,   1.23,    .97,    .07,   -.72,     -1,   60.1,   92.1,
       02,      00,   195707,   1.78,   80.2,     .4,  -1.86,    .05,   -.88,    684,      0,    .11,    .39,   1.04,    .24,    .16,   -.78,  -1.27,   66.2,   94.2,
       02,      00,   195708,   2.63,   77.1,     .8,  -1.23,   1.32,    .16,    578,      0,    .79,    .57,    .74,    .83,    .67,    -.2,  -1.62,   64.4,   89.8,
       02,      00,   195709,    .05,     72,   -.96,  -2.06,  -2.89,   -1.5,    421,      4,  -1.78,    -.5,   -.36,    .21,    .62,   -.22,  -1.69,   55.6,   88.4,
       02,      00,   195710,   2.62,   59.1,   1.48,   1.48,   4.44,   1.48,    112,     85,   1.87,    .67,    .95,    1.3,    .73,    .54,   -.99,   47.6,   70.7,
       02,      00,   195711,    .91,     45,   1.59,   1.59,     .8,   1.59,      4,    401,    .33,    1.6,    .59,    .91,    .97,    .81,   -.87,   33.2,   56.7,
       02,      00,   195712,    .46,   44.2,   -.47,    .95,  -1.42,    .15,      0,    441,   -.64,   -.34,    .84,    .33,    .66,    .88,   -.86,   30.9,   57.6,
       02,      00,   195801,    .25,   41.4,  -1.03,  -1.03,  -1.82,  -1.03,      0,    516,  -1.07,  -1.25,    -.9,   -.05,    .32,     .1,  -1.04,   27.8,     55,
       02,      00,   195802,    1.7,   47.3,    .24,   -.68,    .72,   -.05,      9,    330,    .85,   -.04,   -.38,   -.01,    .28,    .41,   -.76,   34.9,   59.7,
       02,      00,   195803,   2.39,     45,   1.23,   1.23,   3.03,   1.23,      7,    416,   1.49,   1.39,    .72,    .91,    .63,    .82,   -.22,   34.3,   55.8,
       02,      00,   195804,      1,   55.2,   1.75,   1.75,   1.95,   1.75,     68,    163,   1.04,    1.6,   1.49,    .51,    .78,    .96,   -.05,   40.7,   69.6,
       02,      00,   195805,     .4,   69.7,   2.01,   2.01,   1.31,   2.01,    377,     12,     .5,    .97,   1.54,    .53,    .66,    .82,    .01,   53.3,     86,
       02,      00,   195806,    .39,   76.5,   1.99,   1.99,    .57,   1.99,    540,      1,    .64,    .58,   1.03,    .91,   1.03,    .78,    .02,   60.4,   92.6,
       02,      00,   195807,   1.13,   80.1,   1.26,   1.26,  -1.59,    .45,    674,      0,   -.87,   -.65,    -.5,   1.18,    .29,    .61,   -.12,   64.8,   95.3,
       02,      00,   195808,   2.17,   79.5,   1.06,   1.06,   -.21,    .13,    628,      0,    .23,   -.44,   -.34,    .97,    .31,    .47,    .17,   66.1,   92.8,
       02,      00,   195809,   2.52,   72.2,   2.05,   2.05,   3.32,   2.05,    436,      4,   1.75,   1.37,    .66,    .98,   1.12,   1.23,    .69,     59,   85.4,
       02,      00,   195810,    .99,   62.8,   -.02,   1.83,   -.05,   1.73,    204,     45,    .39,   1.38,   1.23,    .74,   1.67,    .77,     .8,   49.3,   76.4,
       02,      00,   195811,    .69,   48.9,   -.12,   1.53,   -.32,   1.23,     14,    285,    .02,    .13,   1.04,    .55,   1.33,     .7,    .95,     35,   62.7,
       02,      00,   195812,    .03,   46.1,  -1.02,  -1.02,  -2.75,  -1.02,      0,    384,  -1.52,  -1.03,   -.76,   -.12,     .2,    .54,    .87,   29.8,   62.4,
       02,      00,   195901,    .25,   43.2,   -1.7,   -1.7,  -2.35,   -1.7,      0,    459,  -1.07,  -2.08,  -1.68,   -.18,   -.36,    .59,    .37,   28.5,   57.8,
       02,      00,   195902,   1.31,   42.8,   -1.5,   -1.5,    .09,  -1.38,      0,    438,    .49,   -.36,   -.98,    -.1,   -.26,    .41,     .5,   29.8,   55.8,
       02,      00,   195903,    .01,   50.3,  -2.08,  -2.08,  -2.21,  -2.08,     28,    265,  -2.02,   -.49,  -1.01,  -1.23,   -.64,   -.35,    .26,   34.4,   66.2,
       02,      00,   195904,    .39,   60.5,  -2.77,  -2.77,  -2.69,  -2.77,    154,     75,   -.04,  -1.57,   -.57,  -1.47,   -.42,   -.55,    .26,     45,   75.9,
       02,      00,   195905,    .11,   64.5,  -3.27,  -3.27,  -2.36,  -3.27,    210,     38,   -.73,   -.52,  -1.93,   -1.7,   -.57,   -.67,    .08,   48.7,   80.2,
       02,      00,   195906,    .36,   77.9,  -3.66,  -3.66,   -2.2,  -3.66,    587,      1,    .54,   -.27,   -.32,  -1.04,  -1.25,   -.69,    .04,   61.8,   93.9,
       02,      00,   195907,   1.76,     82,  -3.51,  -3.51,   -.68,  -3.51,    715,      0,    .08,    .17,    -.1,   -.63,  -1.39,    -.5,    .04,   67.7,   96.2,
       02,      00,   195908,   3.12,   76.5,    .83,  -2.32,   2.48,  -1.28,    542,      0,   1.32,    .95,    .99,   -.16,   -.82,   -.18,    .18,   64.4,   88.6,
       02,      00,   195909,    .27,   71.1,   -.75,  -2.83,  -2.25,  -2.63,    392,      5,  -1.36,    .23,    .18,   -.07,   -.84,  -1.07,    .22,   56.2,     86,
       02,      00,   195910,   2.03,   61.5,    .89,  -1.65,   2.68,   -.36,    161,     56,   1.42,    .33,   1.04,    .77,    .15,   -.65,    .11,   46.2,   76.8,
       02,      00,   195911,    .71,   49.4,    .69,  -1.59,   -.34,   -.44,     17,    267,    .05,   1.05,    .16,    .76,   -.02,   -.63,    .09,   35.8,     63,
       02,      00,   195912,   2.71,   42.8,   1.52,   1.52,   2.72,   1.52,      0,    481,   1.45,   1.12,   1.63,   1.29,   1.07,    .34,    .52,   31.7,   53.9,
       02,      00,   196001,   1.55,   36.1,    1.9,    1.9,   1.61,    1.9,      0,    656,     .6,   1.25,    1.1,   1.38,   1.21,    .79,     .8,   24.7,   47.6,
       02,      00,   196002,    .79,   40.4,   1.82,   1.82,    .33,   1.82,      0,    514,   -.12,    .24,    .93,    .82,   1.09,    .58,    .61,   28.1,   52.7,
       02,      00,   196003,    .49,   52.9,   -.42,   1.21,  -1.27,    .53,     43,    216,   -.56,   -.53,   -.08,     .9,    .82,     .7,    .16,   37.9,   67.9,
       02,      00,   196004,    .24,   58.2,   -.61,    .85,    -.7,   -.19,    104,    111,    -.5,   -.88,   -.75,    .44,    .75,    .68,    .01,   42.2,   74.3,
       02,      00,   196005,    .27,   65.3,   -.38,    .93,    .51,    .11,    235,     32,    .05,    -.5,   -.84,    .47,    .43,    .71,   -.01,   48.8,   81.8,
       02,      00,   196006,    .18,   77.9,   -.28,     .9,    .19,    .15,    588,      1,   -.21,   -.33,   -.66,   -.31,    .71,    .65,   -.06,     61,   94.8,
       02,      00,   196007,    .92,   81.2,  -1.07,  -1.07,  -2.45,  -1.07,    686,      0,  -1.25,  -1.31,  -1.33,  -1.52,      0,    .41,   -.11,   65.8,   96.5,
       02,      00,   196008,   1.31,   79.3,  -1.69,  -1.69,   -2.2,  -1.69,    624,      0,     -1,  -1.59,  -1.61,  -1.84,   -.28,   -.21,   -.27,   64.8,   93.8,
       02,      00,   196009,   1.11,   74.3,   -1.7,   -1.7,   -.54,   -1.7,    482,      2,   -.02,    -.8,  -1.39,  -1.54,   -1.2,    .08,   -.67,   59.1,   89.4,
       02,      00,   196010,   1.85,   59.7,    -.7,    -.7,   2.46,    .59,    123,     76,   1.27,    .93,    .15,   -.53,  -1.03,    .05,   -.42,   46.3,     73,
       02,      00,   196011,    .49,   50.2,   -.94,   -.94,   -.95,   -.12,     17,    259,   -.31,    .73,    .49,   -.68,  -1.03,   -.03,   -.46,   36.1,   64.2,
       02,      00,   196012,    .66,   39.5,  -1.15,  -1.15,    -.9,   -.69,      0,    553,   -.35,   -.55,    .21,   -.73,   -.88,   -.84,   -.34,   26.9,   52.1,
       02,      00,   196101,    .72,   42.1,  -1.38,  -1.38,  -1.05,  -1.29,      0,    459,   -.28,   -.49,   -.68,   -.44,   -.88,  -1.26,   -.17,   28.7,   55.5,
       02,      00,   196102,    .14,     46,     -2,     -2,  -2.29,     -2,      8,    352,   -1.5,  -1.06,  -1.04,   -.49,  -1.19,  -1.43,    -.5,     32,   60.1,
       02,      00,   196103,    1.2,   49.4,  -1.88,  -1.88,   -.25,  -1.88,     19,    294,    .44,   -.47,    -.6,   -.27,   -.94,  -1.04,   -.25,   35.5,   63.2,
       02,      00,   196104,    .19,   57.8,  -2.23,  -2.23,  -1.64,  -2.23,    101,    115,   -.71,    .01,   -.74,   -.96,    -.7,  -1.08,   -.27,   42.1,   73.4,
       02,      00,   196105,    .07,   65.1,  -2.85,  -2.85,  -2.53,  -2.85,    227,     33,     -1,  -1.24,   -.23,   -.99,   -.52,  -1.15,   -.27,   48.6,   81.7,
       02,      00,   196106,    .17,   77.9,  -3.46,  -3.46,  -2.71,  -3.46,    571,      1,   -.26,   -.99,  -1.31,     -1,   -.54,  -1.15,   -.32,   61.2,   94.5,
       02,      00,   196107,   1.61,   80.9,   -3.4,   -3.4,   -.91,   -3.4,    672,      0,   -.13,   -.28,    -.6,  -1.07,   -1.2,   -.92,   -.34,   66.5,   95.3,
       02,      00,   196108,   2.87,   77.5,    .57,  -2.48,   1.72,  -1.73,    570,      0,   1.05,    .62,     .5,    .08,   -.67,   -.35,   -.38,   64.5,   90.3,
       02,      00,   196109,    1.1,   69.1,    .55,  -2.19,     .1,  -1.37,    343,      8,   -.04,    .77,    .49,   -.07,    -.6,   -.36,   -.21,     55,   83.2,
       02,      00,   196110,    .93,   59.7,    .55,   -1.9,    .19,   -.98,    124,     76,    .31,    .06,    .64,    .21,   -.41,   -.73,   -.47,   44.2,   75.1,
