StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       03,      00,   195601,   3.41,   37.5,  -3.45,  -3.45,  -1.27,  -3.45,      0,    870,    -.1,  -1.37,  -1.69,  -1.61,  -1.13,   -.65,  -3.09,   26.8,   48.3,
       03,      00,   195602,   8.52,   45.7,  -1.74,  -1.74,   4.07,   -.06,      1,    564,   2.15,   1.38,    .38,   -.47,   -.55,   -.13,  -1.84,   36.1,   55.2,
       03,      00,   195603,   2.47,   50.9,  -2.28,  -2.28,  -2.17,  -1.46,     11,    462,  -1.22,    .92,    .59,   -.79,   -.86,    -.6,  -1.58,   38.8,   62.9,
       03,      00,   195604,   4.42,   58.8,  -2.08,  -2.08,    -.1,  -1.26,     16,    217,   -.05,   -.91,    .63,    -.7,   -.96,   -.67,  -1.41,   46.5,   71.2,
       03,      00,   195605,   3.55,   72.2,  -2.47,  -2.47,  -1.81,  -2.24,    227,     14,   -.69,   -.59,  -1.16,   -.57,  -1.07,  -1.07,   -1.5,   61.2,   83.2,
       03,      00,   195606,   3.83,   75.9,  -2.24,  -2.24,   -.08,  -1.98,    317,      2,   -.04,   -.63,   -.56,      0,   -.98,  -1.04,  -1.26,   64.9,   86.9,
       03,      00,   195607,      3,   81.1,  -2.38,  -2.38,   -1.1,  -2.38,    487,      0,   -.48,   -.36,   -.76,   -.02,   -.95,  -1.14,  -1.16,   68.9,   93.3,
       03,      00,   195608,   2.27,   81.5,  -2.68,  -2.68,  -1.65,  -2.68,    504,      0,   -.63,   -.84,   -.68,  -1.31,    -.8,  -1.23,   -1.1,   67.7,   95.2,
       03,      00,   195609,   1.06,   72.2,  -3.25,  -3.25,  -2.55,  -3.25,    225,     17,   -1.7,  -1.65,  -1.58,  -1.59,    -.7,  -1.58,  -1.25,   56.2,   88.2,
       03,      00,   195610,   2.73,   65.2,  -3.36,  -3.36,  -1.32,  -3.36,     92,     92,   -.22,  -1.18,  -1.39,  -1.63,   -.72,  -1.51,  -1.56,   50.9,   79.5,
       03,      00,   195611,   3.96,   48.6,  -3.32,  -3.32,    -.9,  -3.32,      0,    508,      0,   -.23,   -.98,   -1.2,  -1.94,  -1.21,  -1.24,   35.9,   61.3,
       03,      00,   195612,   2.82,   47.2,  -3.64,  -3.64,  -2.01,  -3.64,      2,    576,   -.75,   -.51,   -.62,  -1.46,  -1.56,   -.98,  -1.64,   36.1,   58.2,
       03,      00,   195701,   6.18,   38.2,    .56,  -2.71,   1.68,  -1.99,      0,    850,   1.01,     .3,    .15,   -.76,  -1.07,   -.56,   -.94,   29.3,   47.1,
       03,      00,   195702,   5.08,     49,    .72,  -2.21,    .66,  -1.19,      5,    471,     .9,   1.22,    .63,   -.26,   -.59,   -1.1,   -.91,   39.8,   58.1,
       03,      00,   195703,    4.1,   49.1,    .47,  -2.16,   -.55,  -1.33,      6,    518,   -.26,    .34,    .84,    .06,   -.66,   -.87,  -1.13,   38.7,   59.5,
       03,      00,   195704,   11.8,   61.1,   2.39,   2.39,   5.91,   2.39,     31,    164,   2.28,   1.65,   1.73,   1.33,    .55,    .15,   -.36,   50.7,   71.6,
       03,      00,   195705,   8.49,   70.2,   2.94,   2.94,   2.41,   2.94,    174,     27,   1.38,   2.45,   1.88,   1.83,   1.08,    .75,   -.24,   59.6,   80.7,
       03,      00,   195706,   5.65,   76.5,   3.19,   3.19,   1.66,   3.19,    330,      2,    .95,    1.7,   2.58,   2.27,   1.58,    .96,   -.08,   66.7,   86.2,
       03,      00,   195707,   4.08,   80.5,    3.2,    3.2,   1.02,    3.2,    477,      0,    .24,    .81,   1.51,   2.04,    1.7,   1.08,   -.05,   69.2,   91.9,
       03,      00,   195708,    4.5,   78.1,   3.59,   3.59,   2.14,   3.59,    396,      2,    .79,    .66,   1.02,   2.02,   1.94,   1.32,    .15,   66.8,   89.3,
       03,      00,   195709,   4.83,   70.2,   3.82,   3.82,   1.81,   3.82,    174,     34,    .77,    .96,     .9,   2.31,   2.16,   1.65,    .35,   59.6,   80.9,
       03,      00,   195710,   4.57,   58.2,   4.04,   4.04,   1.86,   4.04,     18,    240,     .6,     .8,    .98,   1.59,      2,   1.77,    .56,   46.9,   69.5,
       03,      00,   195711,   9.17,     49,   5.13,   5.13,   4.52,   5.13,      0,    496,   1.85,   1.64,   1.66,    1.9,   2.22,   2.23,   1.09,   39.4,   58.6,
       03,      00,   195712,   3.33,   46.8,    4.3,    4.3,   -.92,    3.9,      1,    579,   -.45,   1.16,   1.16,   1.41,   2.35,   2.31,   1.22,   35.9,   57.6,
       03,      00,   195801,   3.07,   37.9,   3.67,   3.67,   -.56,   3.01,      0,    852,   -.27,   -.63,    .77,   1.14,   1.64,   2.09,   1.21,   27.2,   48.6,
       03,      00,   195802,   1.99,   36.3,   2.77,   2.77,  -1.57,   1.49,      0,    815,  -1.02,   -.93,  -1.11,    .69,   1.05,   1.88,    .78,   26.6,   46.1,
       03,      00,   195803,   5.57,   44.4,   2.86,   2.86,   1.14,   1.98,      1,    663,    .45,   -.24,   -.47,    .54,    .87,   2.07,   1.01,   35.8,   53.1,
       03,      00,   195804,   7.16,   59.5,   3.28,   3.28,   2.15,   3.09,     19,    197,   1.02,    .96,    .47,    .77,   1.13,    1.6,   1.24,   48.7,   70.2,
       03,      00,   195805,   7.35,     69,    3.5,    3.5,   1.66,    3.5,    147,     37,    .98,   1.26,   1.18,    .31,   1.19,   1.44,    1.6,   57.7,   80.2,
       03,      00,   195806,   6.01,   76.1,   3.82,   3.82,   2.05,   3.82,    320,      2,   1.13,   1.43,   1.54,    .84,   1.26,   1.47,   1.85,   65.1,   87.1,
       03,      00,   195807,   5.83,   79.7,    4.4,    4.4,   2.91,    4.4,    443,      0,   1.31,    1.6,   1.77,   1.32,    1.4,   1.63,    2.2,   69.9,   89.6,
       03,      00,   195808,   3.34,   78.6,   4.47,   4.47,   1.58,   4.47,    414,      1,    .14,     .9,   1.32,   1.56,    .83,   1.51,   2.07,   67.7,   89.6,
       03,      00,   195809,   6.71,   73.1,   5.13,   5.13,   3.36,   5.13,    244,     15,   1.56,    1.2,   1.61,   1.94,   1.37,   1.64,   2.38,   63.1,     83,
       03,      00,   195810,   1.47,   60.5,   4.38,   4.38,   -.68,   4.06,     33,    183,  -1.01,    .46,    .36,   1.37,   1.21,   1.31,   2.15,   48.5,   72.6,
       03,      00,   195811,   5.66,     52,   4.36,   4.36,    1.3,   4.36,      1,    402,    .71,   -.08,     .7,   1.26,   1.49,    .98,   2.19,   39.3,   64.6,
       03,      00,   195812,   1.09,   38.1,   -.81,    3.1,  -2.43,   2.11,      0,    843,     -2,   -.52,  -1.01,    .26,   1.09,    .76,   1.95,   27.5,   48.7,
       03,      00,   195901,   2.38,   37.6,   -1.1,   2.41,  -1.11,    .98,      0,    868,   -.66,  -1.98,   -.89,   -.43,    .61,    .67,   1.79,   26.7,   48.4,
       03,      00,   195902,   4.51,     43,   -.81,   2.33,    .51,   1.09,      0,    636,    .64,   -.12,  -1.25,   -.27,     .4,    .97,   1.81,   32.7,   53.2,
       03,      00,   195903,   4.12,   50.3,   -.94,   1.88,   -.63,    .42,     10,    476,   -.25,    .15,   -.36,   -.97,   -.03,    .81,   1.97,   37.1,   63.5,
       03,      00,   195904,   3.53,     60,  -1.18,   1.36,     -1,   -.39,     22,    183,   -.53,   -.59,   -.21,   -.87,   -.57,    .36,   1.37,   48.2,   71.7,
       03,      00,   195905,   3.42,   72.3,   -1.7,    .57,  -1.93,  -1.68,    228,     15,   -.76,   -.98,   -.94,  -1.53,   -.81,   -.17,     .9,   61.7,   82.9,
       03,      00,   195906,   5.03,   75.1,    .37,    .88,   1.12,   -.88,    293,      2,    .62,   -.26,    -.5,   -.62,   -1.1,   -.29,    .83,   64.7,   85.5,
       03,      00,   195907,   5.43,     78,   1.12,   1.58,   2.36,    .51,    391,      1,   1.07,   1.09,     .3,    .03,   -.51,   -.33,    .99,   67.2,   88.9,
       03,      00,   195908,   2.91,   79.5,    1.2,   1.61,    .58,    .71,    443,      1,   -.14,    .55,    .75,   -.23,   -.86,    -.4,    .84,   68.6,   90.4,
       03,      00,   195909,   4.31,   73.5,   1.32,   1.69,    .74,    .86,    255,     12,    .52,     .2,    .67,    .08,   -.15,    -.7,    .81,   62.4,   84.6,
       03,      00,   195910,   3.73,   61.4,   1.31,   1.64,    .37,    .84,     41,    172,    .26,    .42,    .21,    .36,    .14,   -.36,    .76,   49.7,   73.1,
       03,      00,   195911,   2.93,   45.1,    .91,    1.2,    -.8,    .22,      0,    613,   -.51,   -.24,      0,     .4,   -.17,   -.75,    .24,   32.7,   57.4,
       03,      00,   195912,   5.81,   44.3,   1.23,    1.5,   1.26,    .74,      0,    653,    .77,    .14,    .16,    .45,    .09,   -.09,     .5,   34.8,   53.8,
       03,      00,   196001,    3.7,   39.5,   -.03,   1.31,    -.1,    .53,      0,    806,    .04,    .46,    .02,    .09,    .24,    .06,    .55,   31.3,   47.7,
       03,      00,   196002,   3.22,   38.4,   -.19,   1.01,   -.49,    .13,      0,    763,   -.07,   -.11,    .25,     .1,    .41,   -.13,    .64,     29,   47.8,
       03,      00,   196003,   3.28,   39.9,   -.39,    .69,   -.66,    -.3,      0,    795,   -.72,   -.67,   -.61,   -.33,      0,   -.26,    .41,     30,   49.9,
