StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       04,      00,   195601,   6.96,   44.4,   3.44,   3.44,   3.86,   3.44,      0,    551,   1.06,   2.14,   2.12,   1.91,   1.82,    .92,     .4,   36.4,   52.4,
       04,      00,   195602,   3.17,   40.7,    .04,   3.13,    .12,   3.12,      0,    608,   -.06,     .7,    1.8,   1.59,   1.58,   1.18,    .41,   29.7,   51.7,
       04,      00,   195603,    .41,     49,  -1.12,   1.69,  -3.35,    .27,      1,    446,  -2.04,  -1.05,    .03,   1.04,   1.06,   1.07,      0,   35.6,   62.4,
       04,      00,   195604,   1.83,   53.2,    .11,   1.62,    .32,    .34,      3,    370,     .4,   -1.2,   -.84,   1.18,   1.05,    .98,    .04,   41.3,   65.1,
       04,      00,   195605,   1.42,   60.8,    .59,   1.95,   1.49,   1.22,     24,    194,    .93,    .68,   -.76,   1.26,   1.09,   1.09,    .21,   48.1,   73.6,
       04,      00,   195606,     .2,   68.7,    .74,   1.96,    .62,   1.42,     95,     59,   -.34,    .69,    .55,    .17,   1.07,   1.09,    .16,   53.7,   83.8,
       04,      00,   195607,     .3,   74.1,    .86,   1.95,    .59,   1.54,    182,     10,   1.04,     .1,    .83,   -.62,   1.22,    1.1,    .17,   59.4,   88.9,
       04,      00,   195608,    .03,   71.4,    .59,   1.58,   -.52,    .93,    139,     19,   -1.5,   -.15,   -.55,   -.85,   1.22,   1.06,    .15,     56,   86.8,
       04,      00,   195609,    .25,   70.3,    .33,   1.21,   -.62,    .32,    164,     21,    -.2,   -.86,   -.41,    .38,    .13,   1.04,    .14,   54.8,   85.8,
       04,      00,   195610,    2.3,   57.4,   1.03,   1.82,   2.22,   1.62,      9,    220,   1.15,    .94,    .74,   1.06,   -.38,    1.3,    .36,   45.2,   69.6,
       04,      00,   195611,    .11,   49.8,  -1.02,    .62,  -3.05,   -.93,      5,    320,  -1.86,   -.61,   -.74,   -.87,  -1.25,    .98,    .07,   35.6,   64.1,
       04,      00,   195612,    .87,   43.9,  -2.07,  -2.07,  -3.48,  -2.07,      0,    509,  -1.49,  -1.96,  -1.35,   -1.5,  -1.15,   -.69,   -.28,   31.2,   56.5,
       04,      00,   195701,   3.92,   38.7,  -2.22,  -2.22,  -1.09,  -2.22,      0,    683,    .11,   -.78,  -1.36,  -1.13,   -.96,  -1.41,   -.33,   29.4,   47.9,
       04,      00,   195702,   3.64,   48.1,  -2.26,  -2.26,    -.8,  -2.26,      0,    398,    .15,    .08,   -.64,   -.94,   -.98,   -1.3,   -.03,   38.8,   57.3,
       04,      00,   195703,      3,   49.7,   -2.1,   -2.1,   -.21,   -2.1,      1,    429,    .12,    .08,    .04,   -.79,   -.85,    -.7,    .24,   39.5,   59.8,
       04,      00,   195704,   1.71,     54,    .03,  -1.85,     .1,  -1.74,      3,    337,    .31,    .18,    .11,   -.97,   -.79,   -.67,    .19,     42,   66.1,
       04,      00,   195705,   2.52,   58.9,   1.39,   1.39,   4.08,   1.39,     15,    230,   1.96,   1.23,    .73,   -.14,    -.4,   -.45,    .42,   47.3,   70.5,
       04,      00,   195706,    .14,   71.3,      2,      2,   2.27,      2,    146,     27,   -.64,   1.71,   1.08,    .35,   -.41,   -.45,    .43,   56.2,   86.4,
       04,      00,   195707,     .1,   74.7,   2.16,   2.16,   1.09,   2.16,    232,      4,   -.53,    -.9,   1.65,    .47,   -.65,   -.49,    .41,   59.3,     90,
       04,      00,   195708,    .12,   72.1,   1.88,   1.88,   -.18,   1.73,    187,     10,   -.52,   -.81,  -1.08,     .6,    -.2,   -.47,    .39,   56.8,   87.5,
       04,      00,   195709,     .9,   69.3,   2.17,   2.17,   1.46,   2.17,    117,     30,   1.22,    .91,    .72,   1.18,    .41,   -.34,    .45,   54.6,     84,
       04,      00,   195710,   2.76,   56.7,      3,      3,   3.17,      3,     10,    214,   1.48,    1.8,   1.69,   2.64,    .85,   -.29,    .69,   46.5,   66.9,
       04,      00,   195711,   1.73,   47.2,   2.48,   2.48,   -.65,   2.15,      0,    436,   -.33,     .5,    .71,    .53,    .79,   -.04,     .6,   36.5,   57.9,
       04,      00,   195712,   4.01,   44.4,   2.27,   2.27,    .13,   1.93,      0,    496,    .28,   -.08,    .38,    .48,    .84,    .49,   -.18,   34.7,   54.2,
       04,      00,   195801,   4.34,     44,   2.19,   2.19,    .46,   1.98,      0,    536,    .26,    .27,    .01,    .43,    .71,    .56,   -.57,   34.1,   53.8,
       04,      00,   195802,   8.22,   48.4,   3.55,   3.55,   4.76,   3.55,      0,    400,   1.65,    1.2,   1.11,   1.22,   1.15,   1.31,    .07,     40,   56.7,
       04,      00,   195803,   5.74,   44.7,   4.45,   4.45,   3.82,   4.45,      0,    561,   1.26,   1.84,   1.45,   1.39,   1.42,   1.59,    .67,   35.5,   53.9,
       04,      00,   195804,   3.96,   53.2,   5.17,   5.17,   3.52,   5.17,      7,    320,    1.7,   1.69,   2.16,   1.47,   1.67,   1.81,    .94,   41.3,   65.1,
       04,      00,   195805,    .85,     64,   4.69,   4.69,    .17,   4.69,     48,    135,    .18,   1.52,   1.64,    1.6,   1.66,   1.62,    .89,   50.1,     78,
       04,      00,   195806,    .87,   67.9,   4.74,   4.74,    1.6,   4.74,     86,     63,   1.63,    .81,   1.73,   1.77,   1.66,   1.68,    .96,   54.4,   81.3,
       04,      00,   195807,    .32,   74.3,   4.72,   4.72,   1.39,   4.72,    186,      8,   1.16,   1.85,    .97,   2.17,   1.52,    1.7,    .96,   59.7,   88.9,
       04,      00,   195808,    .38,   77.1,   4.52,   4.52,    .86,   4.52,    291,      0,     .9,    1.2,   1.96,   1.78,   1.67,   1.73,   1.01,   62.7,   91.6,
       04,      00,   195809,    .57,   70.4,   4.16,   4.16,    .32,   4.16,    176,     15,    .65,    .79,    .97,   1.83,    1.8,   1.69,   1.04,   55.6,   85.2,
       04,      00,   195810,    .39,   63.6,   -.71,   3.02,  -2.14,   2.14,     73,     77,   -.98,   -.69,   -.49,     .1,   2.03,   1.45,    .82,   49.3,     78,
       04,      00,   195811,    .96,   50.5,  -1.38,   1.97,  -2.21,    .22,      0,    348,   -.95,  -1.39,  -1.29,   -.67,   1.07,   1.41,    .92,   38.5,   62.5,
       04,      00,   195812,   1.16,   48.5,  -2.41,    .59,  -3.54,  -2.38,      0,    397,  -1.26,  -1.45,  -1.65,  -1.54,   -.43,    .97,    .95,   36.1,   60.9,
       04,      00,   195901,   4.66,   45.7,  -2.44,  -2.44,   -.81,  -2.44,      0,    482,    .37,   -.44,   -.83,   -.95,   -.76,   1.09,   1.08,   35.9,   55.5,
       04,      00,   195902,   5.05,   43.5,  -1.83,  -1.83,   1.06,  -1.31,      0,    527,    .69,    .61,   -.03,   -.54,   -.36,    .53,   1.14,   33.6,   53.3,
       04,      00,   195903,    .86,   52.1,   -2.7,   -2.7,  -3.18,   -2.7,      6,    335,  -1.42,   -.15,    .04,   -.97,   -.87,   -.27,    .91,   38.8,   65.4,
       04,      00,   195904,    .55,   58.8,  -3.18,  -3.18,  -2.28,  -3.18,     24,    210,  -1.11,  -2.13,   -.47,   -.97,  -1.07,    -.9,    .81,   44.6,     73,
       04,      00,   195905,    .45,   59.3,  -3.31,  -3.31,  -1.37,  -3.31,     19,    219,    -.6,  -1.38,  -2.36,   -.76,   -1.2,  -1.01,     .6,   46.1,   72.5,
       04,      00,   195906,    .05,     71,  -3.69,  -3.69,  -2.17,  -3.69,    128,     37,   -1.2,  -1.17,  -1.61,   -.33,  -1.28,  -1.19,    .59,   55.7,   86.3,
       04,      00,   195907,    .08,   78.1,  -4.04,  -4.04,  -2.18,  -4.04,    308,      0,   -.76,  -1.45,  -1.48,   -.72,  -1.15,  -1.25,    .59,   62.4,   93.9,
       04,      00,   195908,    .22,   73.7,  -3.91,  -3.91,   -.85,  -3.91,    219,      3,    .15,   -.31,  -1.11,  -3.09,   -.85,   -1.3,    .61,   58.5,   88.8,
       04,      00,   195909,   1.23,   67.2,   -2.7,   -2.7,   2.41,   -1.7,    102,     42,   1.67,   1.52,   1.35,   -.72,   -.17,  -1.12,    .64,   53.8,   80.6,
       04,      00,   195910,    .21,   62.1,  -3.19,  -3.19,  -2.31,  -3.04,     49,    104,  -1.34,   -.12,   -.14,   -.97,   -.75,  -1.18,    .34,   48.2,   76.1,
       04,      00,   195911,    .14,   51.7,  -3.97,  -3.97,  -3.33,  -3.97,      7,    290,  -1.82,  -2.42,  -1.59,  -1.95,  -2.78,  -1.39,    .17,   36.8,   66.5,
       04,      00,   195912,   1.71,   44.2,  -4.43,  -4.43,  -2.62,  -4.43,      0,    499,   -.89,  -1.56,  -1.82,  -1.62,   -2.2,  -1.24,   -.11,   32.4,   55.9,
       04,      00,   196001,   3.68,   40.3,  -4.39,  -4.39,  -1.23,  -4.39,      0,    653,    .02,   -.58,  -1.18,  -1.21,   -1.4,  -1.54,   -.27,   31.5,   49.1,
       04,      00,   196002,   5.14,     44,  -3.55,  -3.55,   1.17,  -3.04,      0,    507,    .72,     .4,   -.11,    -.7,   -.78,   -1.5,   -.57,   34.2,   53.8,
       04,      00,   196003,   2.84,   51.9,  -3.41,  -3.41,   -.67,   -3.1,      4,    372,    .04,    .47,    .27,   -.82,   -.66,  -1.04,   -.92,   40.2,   63.5,
       04,      00,   196004,   1.42,   54.8,   -3.2,   -3.2,   -.43,     -3,     11,    294,    .04,   -.02,    .39,    -.6,   -.63,   -.79,   -1.2,   42.1,   67.4,
       04,      00,   196005,   1.05,   60.1,   -2.6,   -2.6,     .8,  -2.05,     28,    187,    .47,    .15,    .04,    -.1,   -.58,   -.67,   -1.2,   46.6,   73.7,
       04,      00,   196006,    .02,   73.1,  -2.29,  -2.29,    .13,  -1.65,    157,     25,  -1.44,   -.04,   -.11,     .2,   -.81,   -.66,  -1.31,   57.4,   88.8,
       04,      00,   196007,    .14,   77.2,  -2.54,  -2.54,  -1.45,  -2.36,    274,      0,   -.12,  -1.29,    -.1,    .35,   -.62,   -.65,  -1.34,   61.6,   92.9,
       04,      00,   196008,    .02,   73.9,  -2.75,  -2.75,  -1.43,  -2.75,    197,      8,  -1.68,  -1.31,  -1.71,   -.18,    -.2,   -.69,  -1.41,     58,   89.9,
       04,      00,   196009,    .26,   70.8,  -2.73,  -2.73,    -.8,  -2.73,    164,     19,   -.16,   -.86,   -.89,   -.42,    .13,   -.89,  -1.43,   55.2,   86.4,
       04,      00,   196010,    .55,   59.3,  -2.89,  -2.89,  -1.32,  -2.89,     18,    176,   -.71,   -.88,  -1.14,  -1.16,    .04,   -.85,  -1.38,   45.9,   72.6,
       04,      00,   196011,   4.52,   48.2,  -1.83,  -1.83,   2.29,   -.83,      0,    425,   1.18,    .75,    .69,    .43,    .16,   -.05,   -.95,   38.2,   58.1,
       04,      00,   196012,   2.13,     43,  -2.12,  -2.12,  -1.42,  -1.66,      0,    564,   -.64,    .22,   -.01,   -.13,   -.23,    .03,   -.84,   32.7,   53.4,
       04,      00,   196101,   2.09,   44.3,  -2.59,  -2.59,  -2.06,  -2.59,      0,    502,   -.72,   -.99,   -.32,   -.57,   -.61,   -.31,   -1.2,   32.9,   55.6,
