StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       05,      00,   195601,   1.87,   29.3,  -2.82,  -2.82,   1.52,  -2.15,      0,   1121,   1.47,    .86,    .93,   -.02,   -.19,   -.64,  -1.53,   17.2,   41.3,
       05,      00,   195602,   1.11,   22.2,  -2.46,  -2.46,    .22,  -1.66,      0,   1207,    .14,   1.16,    .73,   -.51,    -.6,   -.72,  -1.31,    9.1,   35.2,
       05,      00,   195603,    .73,   33.7,  -2.64,  -2.64,  -1.31,  -2.29,      0,    969,  -1.33,  -1.01,    .18,   -.62,   -.81,   -.74,  -1.53,   18.9,   48.5,
       05,      00,   195604,   1.48,   41.4,  -2.46,  -2.46,   -.27,  -2.15,      0,    712,   -.22,  -1.07,   -.95,   -.14,   -.58,   -.57,  -1.39,   27.6,   55.3,
       05,      00,   195605,   1.22,   55.2,  -2.99,  -2.99,  -2.35,  -2.99,      8,    308,   -.94,   -.88,  -1.37,   -.72,  -1.25,  -1.16,  -1.46,   40.3,     70,
       05,      00,   195606,    .74,   65.7,  -3.56,  -3.56,  -2.63,  -3.56,    111,     64,  -1.27,   -1.6,  -1.36,   -.99,  -1.22,  -1.29,  -1.48,   49.2,   82.2,
       05,      00,   195607,   2.05,   66.3,  -3.55,  -3.55,  -1.08,  -3.55,     89,     36,   -.08,   -.88,  -1.35,  -1.53,   -.86,  -1.08,  -1.45,   51.1,   81.5,
       05,      00,   195608,   1.52,   63.4,  -3.65,  -3.65,  -1.38,  -3.65,     45,     84,   -.76,   -.56,  -1.08,  -1.65,  -1.22,  -1.56,  -1.53,   48.4,   78.3,
       05,      00,   195609,    .11,   59.7,  -4.53,  -4.53,  -3.78,  -4.53,     24,    177,  -2.46,  -2.11,  -1.62,  -2.14,   -1.8,  -1.87,  -1.95,   41.6,   77.8,
       05,      00,   195610,    .74,   48.7,  -4.63,  -4.63,  -1.71,  -4.63,      0,    485,    -.8,   -2.2,  -2.16,  -2.15,  -2.38,   -1.8,  -1.95,   32.5,   64.8,
       05,      00,   195611,   1.08,   29.3,  -4.13,  -4.13,    .08,  -4.05,      0,   1042,    .13,    -.6,  -1.97,  -1.78,  -2.17,  -1.84,  -1.87,   16.3,   42.3,
       05,      00,   195612,      1,   26.2,  -3.94,  -3.94,   -.71,  -3.94,      0,   1135,   -.05,   -.08,   -.67,  -1.47,  -1.97,  -1.76,  -1.91,   13.2,   39.2,
       05,      00,   195701,   2.44,   22.2,    .94,  -2.59,   2.83,  -1.44,      0,   1355,   2.17,   1.58,    1.4,   -.73,  -1.23,  -1.54,  -1.48,   10.6,   33.8,
       05,      00,   195702,    .82,   32.9,    .73,  -2.45,   -.36,  -1.41,      0,    868,   -.58,    1.5,   1.17,   -.67,  -1.09,  -1.57,  -1.59,     20,   45.7,
       05,      00,   195703,   1.59,   33.5,    .85,     -2,     .6,   -.72,      0,    976,    .32,   -.12,    1.3,    .38,   -.73,  -1.29,  -1.41,   21.7,   45.4,
       05,      00,   195704,   3.62,   38.9,   2.48,   2.48,   5.15,   2.48,      0,    803,   1.73,   1.61,   1.36,   1.86,    .24,   -.44,   -.77,   27.6,   50.2,
       05,      00,   195705,   4.36,   48.6,   4.28,   4.28,   6.16,   4.28,      0,    494,   2.38,   2.55,   2.43,   2.65,   1.59,    .78,   -.28,   37.3,   59.8,
       05,      00,   195706,    1.8,     60,   4.33,   4.33,   1.49,   4.33,     29,    172,    .55,   1.94,   2.43,    2.7,   2.13,   1.21,   -.07,   45.8,   74.2,
       05,      00,   195707,   2.96,   67.1,   5.17,   5.17,   3.85,   5.17,    115,     25,   1.38,   1.19,   2.18,    2.6,   2.69,   1.63,    .35,   53.2,     81,
       05,      00,   195708,   2.65,   65.3,   5.75,   5.75,   3.33,   5.75,     80,     45,   1.03,   1.55,   1.43,   3.01,   3.09,   2.04,    .37,   51.8,   78.9,
       05,      00,   195709,     .5,   55.3,   4.76,   4.76,  -1.19,   4.26,      3,    294,  -1.49,   -.25,     .5,   2.38,   2.63,   2.09,    .26,   39.1,   71.5,
