StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       06,      00,   195601,   3.21,     27,  -1.04,   3.32,   -.49,   1.97,      0,   1157,   -.07,  -1.86,    -.7,   2.73,   1.76,    1.8,   1.34,   20.5,   33.5,
       06,      00,   195602,   4.12,   30.1,    .41,    3.4,   1.24,   2.47,      0,    958,     .7,    .27,  -1.09,   1.41,   2.27,   1.83,   1.46,   22.4,   37.8,
       06,      00,   195603,   5.14,   30.9,    .82,    3.5,   1.35,      3,      0,   1032,    .62,    .82,     .6,   1.65,   2.61,   1.82,   1.51,   22.4,   39.5,
       06,      00,   195604,   3.84,   42.4,     .8,    3.2,    .18,   2.72,      0,    662,    .01,    .37,    .58,   -.13,   3.09,   1.83,   1.41,   31.9,   52.9,
       06,      00,   195605,   2.36,   53.3,   -.41,   2.46,  -1.23,   1.52,      0,    353,   -.92,   -.61,   -.17,   -.88,   1.02,   2.03,   1.36,   41.1,   65.5,
       06,      00,   195606,   3.15,   66.8,   -.63,   1.94,   -.78,    .73,     90,     26,   -.13,   -.81,    -.7,   -.18,    .95,   2.18,   1.42,   54.6,   78.9,
       06,      00,   195607,   4.92,   68.3,   -.09,   2.21,   1.41,   1.45,    129,     13,     .7,    .25,   -.27,    .13,   -.33,   2.42,   1.68,     58,   78.7,
       06,      00,   195608,   1.48,   68.2,   -.81,   1.26,  -2.18,   -.17,    132,     17,  -2.16,   -.61,   -.67,    -.7,  -1.17,    .49,   1.27,   56.9,   79.5,
       06,      00,   195609,   4.86,   58.1,   -.42,   1.44,    .92,    .32,      4,    194,    .57,   -.52,   -.14,   -.65,   -.36,    .64,      1,   47.8,   68.5,
       06,      00,   195610,   2.26,   51.1,   -.78,    .88,  -1.22,   -.52,      0,    413,   -.63,   -.06,   -.87,   -.98,   -.52,   -.78,    .98,   38.9,   63.4,
       06,      00,   195611,   4.39,   41.4,   -.73,    .77,   -.08,   -.57,      0,    692,    .22,    -.3,      0,    -.5,   -.59,  -1.02,    .81,   31.4,   51.3,
       06,      00,   195612,   4.87,   33.8,   -.36,    .98,    .87,   -.08,      0,    944,    .58,    .51,   -.03,   -.18,   -.54,    -.3,    .83,   25.5,     42,
       06,      00,   195701,   2.25,   20.6,    -.8,    -.8,  -1.44,    -.8,      0,   1354,   -.82,   -.09,    .02,   -.69,   -.79,   -.45,    .92,   10.9,   30.3,
       06,      00,   195702,   1.95,   31.2,  -1.27,  -1.27,  -1.65,  -1.27,      0,    928,  -1.06,  -1.46,   -.66,   -.45,   -.81,   -.81,    .75,   22.2,   40.2,
       06,      00,   195703,   2.29,   36.9,   -1.8,   -1.8,  -1.98,   -1.8,      0,    854,  -1.08,  -1.78,  -2.43,  -1.25,  -1.07,  -1.35,    .56,   27.3,   46.6,
       06,      00,   195704,   4.51,   48.6,  -1.57,  -1.57,    .14,  -1.43,      0,    484,    .38,   -.48,   -.96,    -.7,   -1.1,  -1.17,    .53,   37.1,   60.1,
       06,      00,   195705,   2.48,   57.3,  -1.94,  -1.94,  -1.61,  -1.94,      9,    235,   -.84,   -.26,   -.88,  -1.18,   -.93,  -1.12,    .62,   44.7,   69.9,
       06,      00,   195706,   1.34,     69,  -2.74,  -2.74,  -2.99,  -2.74,    139,     10,  -1.87,  -2.55,  -1.18,  -2.51,  -1.65,  -1.38,    .47,   56.9,   81.1,
       06,      00,   195707,   2.42,   70.2,  -3.21,  -3.21,  -2.25,  -3.21,    183,      4,     -1,  -1.93,  -2.15,  -2.33,  -1.72,  -1.71,    .48,   57.8,   82.7,
       06,      00,   195708,      3,     66,  -3.37,  -3.37,  -1.49,  -3.37,     86,     38,   -.46,  -1.14,  -1.92,  -1.84,  -1.93,  -1.52,   -.69,   53.9,   78.1,
