StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       07,      00,   195601,   2.54,   31.3,  -1.08,  -1.08,   -.85,  -1.08,      0,   1060,   -.53,  -2.05,  -1.94,    .23,   -.11,   -.24,  -1.09,   24.2,   38.5,
       07,      00,   195602,   3.42,   38.4,   -.86,   -.86,    .33,   -.53,      0,    766,    .38,   -.16,  -1.42,  -1.21,    .27,   -.13,   -.86,   29.3,   47.5,
       07,      00,   195603,   4.12,   40.3,   -.61,   -.61,    .47,    .13,      0,    792,    .24,    .37,      0,    -.9,   -.14,   -.08,   -.79,   30.5,   50.1,
       07,      00,   195604,   2.37,     50,   -.87,   -.87,   -.97,   -.68,      0,    468,   -.85,   -.38,   -.14,  -1.34,    .13,   -.17,   -.93,   38.9,     61,
       07,      00,   195605,   2.59,   60.5,  -1.11,  -1.11,   -.97,  -1.11,     20,    168,   -.51,   -.95,   -.63,  -1.31,  -1.31,   -.08,     -1,   47.9,   73.2,
       07,      00,   195606,   4.02,     71,     .2,   -.79,    .61,   -.28,    184,      2,    .33,   -.24,   -.61,   -.47,  -1.05,   -.44,   -.72,     60,   81.9,
       07,      00,   195607,    6.7,   74.1,   1.08,   1.08,    2.7,   1.08,    269,      0,   1.19,   1.01,    .59,    .33,   -.64,    .36,   -.32,     65,   83.2,
       07,      00,   195608,   2.93,   73.3,     .7,     .7,   -.81,    .05,    248,      0,   -.58,    .32,    .35,   -.11,   -.71,   -.77,   -.47,   63.1,   83.5,
       07,      00,   195609,   3.42,   65.5,     .7,     .7,    .19,    .11,     64,     64,    .08,   -.56,    .26,   -.16,    -.2,   -.72,   -.62,   55.4,   75.7,
       07,      00,   195610,   5.78,   57.7,    1.6,    1.6,   2.94,    1.6,     12,    258,   1.31,    .94,    .29,    .54,    .36,   -.42,    -.2,   48.3,     67,
       07,      00,   195611,   4.98,     46,   2.29,   2.29,   2.55,   2.29,      0,    592,   1.16,   1.72,    1.3,    1.1,    .66,    .06,    -.1,   36.3,   55.6,
       07,      00,   195612,   3.64,   43.6,   2.13,   2.13,    .24,   2.13,      0,    702,    .23,    .92,   1.45,   1.13,    .65,    .56,   -.07,   34.5,   52.7,
