StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       08,      00,   195601,   2.36,     53,  -3.39,  -3.39,   -.36,  -3.39,     30,    326,   -.26,   -.83,  -1.11,  -1.62,  -1.56,   -1.9,  -2.15,   40.4,   65.5,
       08,      00,   195602,   2.56,     64,  -3.54,  -3.54,  -1.49,  -3.54,    123,     98,   -.33,   -.47,   -.83,  -1.14,  -1.48,  -1.74,  -2.14,   52.9,   75.1,
       08,      00,   195603,   1.36,   63.2,  -3.96,  -3.96,  -2.37,  -3.96,     99,     97,  -1.29,  -1.11,     -1,  -1.48,  -1.88,  -1.77,   -2.3,   50.2,   76.2,
       08,      00,   195604,   2.69,     68,  -3.68,  -3.68,   -.38,  -3.68,    151,     19,   -.13,     -1,  -1.02,  -1.32,  -1.69,  -1.76,  -2.52,   55.6,   80.3,
       08,      00,   195605,   3.73,   76.6,  -3.55,  -3.55,   -.76,  -3.55,    376,      0,    .04,   -.16,   -.83,  -1.09,  -1.29,  -1.56,  -2.39,   65.3,   87.9,
       08,      00,   195606,    5.2,   78.7,  -3.71,  -3.71,  -1.57,  -3.71,    422,      0,   -.87,   -.64,   -.69,   -1.2,  -1.55,  -1.81,   -2.4,   67.7,   89.6,
       08,      00,   195607,   6.04,   80.7,     -4,     -4,  -2.02,     -4,    497,      0,   -.91,  -1.29,  -1.06,  -1.48,  -1.74,  -1.95,  -2.63,   70.4,     91,
       08,      00,   195608,   5.61,   81.6,  -4.48,  -4.48,  -2.68,  -4.48,    524,      0,  -1.03,  -1.39,  -1.56,  -1.65,  -1.77,  -1.85,  -2.57,   70.9,   92.4,
       08,      00,   195609,   6.26,   77.2,  -4.09,  -4.09,   -.22,  -4.09,    396,      0,    .01,   -.62,   -.95,  -1.15,  -1.52,  -1.86,  -2.73,   67.3,     87,
       08,      00,   195610,   6.66,   72.2,  -2.64,  -2.64,   3.09,  -1.39,    281,      6,   1.45,    .97,     .4,   -.48,   -.96,  -1.35,  -2.37,   63.1,   81.3,
       08,      00,   195611,    .55,   61.7,  -2.85,  -2.85,  -1.43,  -2.12,     82,    110,  -1.62,    .58,    .34,   -.88,   -1.2,  -1.44,   -2.5,   49.4,     74,
       08,      00,   195612,    .92,   62.4,  -3.34,  -3.34,  -2.35,  -3.34,    103,    126,  -1.55,  -2.29,   -.16,   -.95,  -1.15,  -1.57,  -2.44,   50.4,   74.5,
       08,      00,   195701,   1.11,     62,  -3.81,  -3.81,  -2.43,  -3.81,    118,    149,  -1.26,  -1.87,   -2.5,  -1.07,  -1.51,  -1.79,  -2.66,   50.6,   73.4,
       08,      00,   195702,   3.01,   65.4,  -3.82,  -3.82,  -1.23,  -3.82,    143,     82,   -.02,   -.84,  -1.29,   -.63,  -1.48,  -1.64,  -2.66,   54.4,   76.3,
       08,      00,   195703,   4.63,     63,    .25,  -3.18,    .75,  -2.83,    101,     99,    .63,     .4,   -.22,   -.24,   -.85,  -1.07,  -2.23,   51.8,   74.3,
       08,      00,   195704,   4.79,   70.9,    .76,  -2.31,   1.61,  -1.28,    231,      7,   1.13,   1.04,    .82,   -.51,   -.28,   -.76,  -1.96,   60.3,   81.5,
       08,      00,   195705,    6.4,     76,   1.59,  -1.17,   2.72,     .9,    361,      0,   1.36,   1.74,   1.57,    .33,     .4,   -.37,  -1.46,   65.7,   86.3,
       08,      00,   195706,   7.46,   79.9,   1.77,    -.7,   1.04,   1.61,    454,      0,    .31,   1.06,   1.45,    .79,    .53,      0,  -1.31,   70.3,   89.4,
       08,      00,   195707,   7.77,   81.5,   1.83,   1.83,    .71,   1.83,    515,      0,    .29,    .34,   1.07,   1.28,    .13,    .24,  -1.29,   71.9,   91.1,
       08,      00,   195708,   7.49,   80.6,   1.94,   1.94,    .91,   1.94,    491,      0,    .25,    .33,    .36,   1.36,    .44,     .5,  -1.02,   71.3,   89.9,
       08,      00,   195709,  10.19,   79.3,   2.97,   2.97,   3.69,   2.97,    454,      0,   1.55,   1.32,   1.19,    1.8,   1.35,   1.05,   -.54,   70.6,     88,
       08,      00,   195710,    3.2,   69.5,   2.74,   2.74,    .24,   2.74,    223,     16,   -.18,   1.11,   1.03,   1.43,   1.55,    .62,   -.48,   59.7,   79.2,
       08,      00,   195711,   2.77,   66.9,   2.66,   2.66,    .58,   2.66,    175,     46,    .48,    .04,   1.16,   1.05,   1.67,    .93,    -.3,   56.6,   77.2,
       08,      00,   195712,   2.62,   56.9,   2.63,   2.63,    .74,   2.63,     51,    220,     .1,     .3,    .02,    .99,   1.62,   1.22,   -.18,   45.2,   68.6,
       08,      00,   195801,   5.37,   51.1,   3.49,   3.49,   3.41,   3.49,     25,    364,   1.47,   1.02,    .99,   1.43,   1.93,   1.93,    .15,   40.9,   61.4,
       08,      00,   195802,   3.19,   50.4,    3.4,    3.4,     .8,    3.4,     12,    349,     .1,   1.04,    .79,   1.32,   1.29,   1.85,    .24,   38.8,     62,
       08,      00,   195803,   6.29,   61.9,   3.96,   3.96,   2.72,   3.96,     87,    115,   1.32,   1.01,   1.41,    .99,   1.51,   1.92,    .77,   52.2,   71.6,
       08,      00,   195804,   4.53,   69.7,   4.07,   4.07,   1.55,   4.07,    189,     11,    .99,   1.47,   1.26,   1.34,    1.7,   1.97,    .95,   58.9,   80.5,
       08,      00,   195805,   5.31,   74.5,   4.26,   4.26,   1.85,   4.26,    317,      0,    .87,   1.23,   1.66,   1.57,    1.9,   1.88,   1.13,   64.2,   84.8,
       08,      00,   195806,   6.11,   80.4,    3.7,    3.7,   -.37,    3.5,    474,      0,   -.37,    .27,    .66,   1.46,   1.15,   1.62,   1.21,   70.6,   90.2,
       08,      00,   195807,   6.72,   81.4,   3.16,   3.16,   -.48,   2.72,    518,      0,   -.42,   -.63,   -.02,    .89,   1.18,   1.52,   1.35,     72,   90.8,
       08,      00,   195808,   5.75,   81.4,   2.38,   2.38,  -1.35,   1.38,    519,      0,   -.92,   -.95,   -.97,    .55,    .85,    1.3,    1.3,   71.6,   91.2,
       08,      00,   195809,   3.86,   80.3,   1.14,   1.14,  -2.99,   -.98,    476,      0,  -1.31,  -1.69,  -1.63,   -.56,    .39,    .33,   1.06,   70.3,   90.3,
       08,      00,   195810,   4.36,   70.8,   1.29,   1.29,    .81,   -.43,    246,     10,    .45,   -.69,  -1.13,    -.8,    .12,    .52,    .84,   60.3,   81.2,
       08,      00,   195811,   2.15,   68.1,    .87,    .87,   -.86,  -1.04,    214,     36,      0,    .28,   -.69,  -1.25,     .1,    .42,    .98,   57.6,   78.6,
       08,      00,   195812,   3.59,   57.8,   1.15,   1.15,   1.08,   -.34,     74,    191,    .71,    .46,    .55,   -.83,   -.27,    .59,   1.26,   47.3,   68.2,
       08,      00,   195901,   3.67,     56,   1.42,   1.42,   1.19,    .33,     61,    248,    .57,    .76,     .6,   -.46,   -.46,    .32,   1.54,   44.7,   67.3,
       08,      00,   195902,   3.57,   65.1,   1.19,   1.19,   -.27,    .05,    169,     77,    .35,    .52,    .69,   -.02,    -.6,    .37,   1.57,   55.6,   74.6,
       08,      00,   195903,   8.62,   62.2,    2.7,    2.7,    4.9,    2.7,     96,    111,   2.13,   1.81,   1.65,   1.41,    .52,    .71,   1.92,   52.1,   72.2,
       08,      00,   195904,   3.89,   69.3,   2.73,   2.73,    .92,   2.73,    190,     13,    .62,   1.95,    1.8,   1.46,    .72,    .62,    1.8,   58.6,   80.1,
       08,      00,   195905,   6.65,   76.5,   3.41,   3.41,   2.88,   3.41,    368,      0,   1.47,    1.5,   2.47,   2.06,   1.39,    .79,   1.95,   65.8,   87.2,
       08,      00,   195906,   8.52,   79.5,   3.78,   3.78,   2.18,   3.78,    444,      0,    .79,   1.46,   1.57,   2.25,   2.02,   1.14,   2.02,     70,   89.1,
