StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       09,      00,   195601,   2.32,   43.3,  -3.65,  -3.65,  -2.18,  -3.65,      2,    746,   -1.1,  -2.14,  -1.84,  -1.95,  -1.35,  -1.53,  -2.76,     31,   55.7,
       09,      00,   195602,   6.43,     54,  -2.75,  -2.75,   1.55,  -2.09,     11,    408,   1.08,   -.02,   -.96,   -.83,   -1.1,  -1.08,  -2.27,   42.5,   65.5,
       09,      00,   195603,   4.56,   54.6,  -2.62,  -2.62,   -.44,  -2.07,     13,    402,   -.12,    .54,   -.13,   -.86,   -.79,   -.62,  -2.32,   41.5,   67.8,
       09,      00,   195604,    3.8,   61.5,  -2.34,  -2.34,    .03,  -1.73,     19,    186,    .12,    -.1,    .44,   -.78,   -.99,   -.82,  -2.19,   48.4,   74.6,
       09,      00,   195605,   3.12,   72.7,  -2.45,  -2.45,  -1.06,  -2.19,    204,     18,   -.16,   -.16,   -.19,   -.74,   -.76,   -.97,  -2.09,   60.2,   85.2,
       09,      00,   195606,   3.84,   76.6,  -2.34,  -2.34,   -.42,  -2.17,    311,      0,   -.34,   -.43,   -.36,   -.31,   -.89,   -.87,  -1.92,   64.3,   88.9,
       09,      00,   195607,   5.83,   79.2,  -2.02,  -2.02,    .23,   -1.7,    403,      0,    .33,   -.05,   -.25,    .15,    -.8,  -1.01,  -1.69,   67.6,   90.6,
       09,      00,   195608,   2.94,     80,  -2.65,  -2.65,  -2.52,  -2.65,    422,      0,  -1.37,   -.65,   -.77,   -.65,  -1.01,  -1.05,  -1.61,   67.7,   92.3,
       09,      00,   195609,   6.06,   71.8,  -1.55,  -1.55,   2.49,   -.43,    172,     15,   1.16,    .18,    .25,   -.13,   -.16,   -.73,  -1.18,   59.7,     84,
       09,      00,   195610,   2.94,     65,  -1.23,  -1.23,    .49,    .09,     63,    117,    .24,    .96,    .21,   -.03,    .18,   -.67,   -.98,     55,     75,
       09,      00,   195611,   1.04,   52.2,  -1.62,  -1.62,  -1.56,   -.92,      2,    464,  -1.35,   -.55,    .27,   -.37,   -.44,   -.85,  -1.15,   38.9,   65.6,
       09,      00,   195612,   3.45,   54.5,  -1.85,  -1.85,  -1.19,  -1.53,     15,    403,   -.28,   -.97,   -.63,   -.34,   -.47,   -.46,  -1.34,   41.9,   67.1,
       09,      00,   195701,   2.83,   49.6,   -2.2,   -2.2,   -1.6,   -2.2,     11,    594,   -.76,   -.73,  -1.17,   -.72,   -.79,   -.39,  -1.34,     39,   60.1,
       09,      00,   195702,   2.97,   56.5,   -2.7,   -2.7,   -2.2,   -2.7,     19,    336,   -.84,  -1.16,  -1.09,   -.58,     -1,   -.93,  -1.39,   45.3,   67.8,
       09,      00,   195703,   4.76,   53.6,  -2.48,  -2.48,   -.15,  -2.48,     10,    439,   -.02,   -.56,    -.9,  -1.04,   -.82,   -.86,  -1.11,   42.7,   64.5,
       09,      00,   195704,   4.56,   64.9,     .1,  -2.12,     .3,  -1.93,     49,    103,    .51,    .22,   -.22,    -.9,   -.71,   -.78,  -1.17,   52.4,   77.5,
       09,      00,   195705,   6.39,   71.6,      1,     -1,   2.71,    .42,    175,     25,   1.54,   1.38,    .92,   -.06,    .03,   -.31,   -.94,   60.2,   82.9,
       09,      00,   195706,   5.14,   77.4,   1.28,   1.28,   1.16,   1.28,    338,      0,    .52,   1.36,   1.35,    .19,   -.22,   -.15,   -.71,   67.1,   87.7,
       09,      00,   195707,   4.82,     79,   -.02,   1.13,   -.07,    .99,    397,      0,    -.3,    .07,    .87,    .35,   -.33,   -.27,   -.96,     68,     90,
       09,      00,   195708,   3.06,   78.4,   -.53,   -.53,  -1.52,   -.53,    377,      0,  -1.26,  -1.12,   -.61,    .31,   -.31,   -.21,   -.94,   66.3,   90.6,
       09,      00,   195709,   7.57,   74.8,   1.31,   1.31,   3.94,   1.31,    254,      4,   1.72,    .85,    .46,   1.13,    .35,   -.03,   -.58,     65,   84.6,
       09,      00,   195710,   2.97,   60.2,   1.65,   1.65,   1.42,   1.65,     19,    235,    .25,   1.49,    .76,    1.1,    .61,   -.01,   -.51,   49.7,   70.7,
       09,      00,   195711,   6.65,   55.9,      3,      3,   4.57,      3,      8,    356,   1.83,   1.38,   1.95,   1.28,   1.46,    .78,   -.12,   45.1,   66.7,
       09,      00,   195712,   2.83,   47.3,   2.44,   2.44,   -.75,   2.08,      2,    618,   -.69,    .95,    .83,    .88,    1.3,    .71,    .23,   35.6,     59,
       09,      00,   195801,   3.42,   40.6,   2.04,   2.04,   -.47,   1.42,      1,    835,   -.39,   -.75,    .51,    .81,   1.12,    .77,    .23,   30.2,   50.9,
       09,      00,   195802,   4.57,   40.2,   2.05,   2.05,    .65,   1.65,      0,    777,    .06,   -.32,   -.64,   1.13,    .69,      1,    .03,     28,   52.3,
       09,      00,   195803,   5.19,   51.6,   1.98,   1.98,    .42,   1.69,      5,    501,    .17,    .13,   -.17,    .43,    .57,   1.03,    .15,   41.5,   61.7,
       09,      00,   195804,   6.09,   63.4,   2.45,   2.45,   2.04,   2.45,     32,    149,   1.21,    .85,     .7,    .78,    .98,   1.24,    .37,     51,   75.7,
       09,      00,   195805,   2.99,   70.9,   1.91,   1.91,   -.87,   1.47,    164,     27,   -.25,    .68,    .55,   -.03,   1.13,    .76,    .35,     59,   82.9,
