StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       10,      00,   195601,   4.18,   25.3,   3.75,   3.75,   2.53,   3.75,      0,   1135,   1.03,   2.08,   2.06,   1.89,   1.66,   1.67,    .33,   18.1,   32.5,
       10,      00,   195602,   2.08,   19.1,   -.17,   3.19,   -.52,   2.93,      0,   1201,    -.2,    .61,   1.88,   1.86,    1.7,   1.58,    .31,    9.6,   28.5,
       10,      00,   195603,   1.73,   30.9,   -.42,    2.6,   -.79,   1.97,      0,    915,   -.63,    -.6,    .19,   1.61,   1.51,   1.49,    .25,     20,   41.8,
       10,      00,   195604,   1.15,   42.2,   -.93,   1.78,  -1.65,    .48,      0,    562,  -1.18,  -1.22,  -1.14,   1.22,   1.18,   1.14,    .13,   29.4,   54.9,
       10,      00,   195605,   2.62,   51.6,   -.64,   1.79,    .56,     .7,     14,    303,    .61,    -.2,   -.64,   1.25,   1.46,   1.38,    .38,   39.3,   63.8,
       10,      00,   195606,   1.38,   56.8,    -.8,   1.38,   -.68,    .05,     42,    176,   -.27,    .18,   -.37,   -.21,   1.33,   1.26,    .07,   42.1,   71.4,
       10,      00,   195607,     .7,   65.7,   -.83,   1.12,   -.33,   -.27,    182,     33,   -.02,   -.34,    .08,    -.8,   1.12,   1.07,    .06,   49.7,   81.7,
       10,      00,   195608,    .85,   61.5,   -.79,    .96,   -.14,   -.42,     94,     81,    .26,    .05,   -.28,   -.65,    .89,   1.15,      0,   45.6,   77.3,
       10,      00,   195609,    .48,   55.6,  -1.23,  -1.23,  -1.56,  -1.23,     32,    211,  -1.04,    -.7,   -.67,   -.74,   -.45,    .97,   -.04,   38.9,   72.4,
       10,      00,   195610,   3.44,   42.5,   1.09,   1.09,   3.27,   1.09,      0,    599,   1.74,    .85,    .78,    .49,   -.32,   1.29,     .5,   31.8,   53.2,
       10,      00,   195611,    .91,   27.9,   -.52,   -.52,  -1.57,   -.52,      0,   1026,   -1.6,    -.1,   -.48,    -.6,   -.81,    .54,    .33,   17.9,   37.8,
       10,      00,   195612,   2.59,     25,   -.68,   -.68,   -.63,   -.68,      0,   1170,   -.16,   -1.1,   -.17,   -.46,    -.6,   -.43,    .47,   16.7,   33.3,
       10,      00,   195701,   2.25,   13.9,    -.9,    -.9,   -.88,    -.9,      0,   1509,   -.53,   -.49,  -1.18,   -.67,    -.5,  -1.04,    .56,    4.1,   23.8,
       10,      00,   195702,   2.98,   27.3,    .37,    .37,   1.12,   -.43,      0,   1002,    .65,   -.04,   -.19,   -.42,    -.5,   -.71,    .69,   17.7,   36.9,
       10,      00,   195703,   2.97,   33.5,    .73,    .73,   1.19,    .73,      0,    861,    .74,    .91,     .3,    .03,   -.18,   -.33,    .87,   23.9,   43.1,
       10,      00,   195704,   2.08,   40.2,    .81,    .81,    .45,    .81,      0,    620,    .24,    .65,    .91,   -.45,    -.1,   -.02,    .79,   29.4,     51,
       10,      00,   195705,   4.74,   50.9,   2.28,   2.28,   4.67,   2.28,     10,    325,    2.3,   2.05,   2.24,   1.11,    .65,    .53,   1.29,     40,   61.8,
       10,      00,   195706,   1.49,   57.2,   -.15,    1.9,   -.44,   1.64,     53,    159,   -.13,    1.6,   1.45,   1.28,    .76,    .53,   1.26,   43.9,   70.5,
       10,      00,   195707,    .38,   64.5,   -.27,   1.57,    -.4,   1.07,    150,     49,   -.91,   -.57,   1.26,   1.54,    .13,    .41,   1.09,     48,   80.9,
       10,      00,   195708,    .71,   62.7,    -.4,   1.25,   -.47,     .5,    111,     71,      0,   -.63,   -.58,   1.19,    .65,    .34,    1.1,   46.2,   79.3,
       10,      00,   195709,    .29,   56.5,  -1.04,  -1.04,  -2.05,  -1.04,     44,    193,   -1.5,  -1.24,  -1.54,    .51,    .53,    .29,    .98,   39.7,   73.3,
       10,      00,   195710,   2.01,     43,   -.73,   -.73,    .62,   -.17,      0,    591,    .33,   -.55,   -.58,    .57,    .99,   -.12,    .92,   32.9,     53,
       10,      00,   195711,   1.69,   27.8,  -1.13,  -1.13,  -1.43,  -1.13,      0,   1016,   -.75,   -.53,   -.96,  -1.16,    .27,     .1,    .54,   18.6,   37.1,
       10,      00,   195712,   3.47,   27.3,    .03,   -.98,    .09,   -.82,      0,   1081,    .54,   -.14,   -.06,   -.66,    .31,     .4,    .03,   19.8,   34.8,
       10,      00,   195801,   2.64,   23.1,   -.07,   -.95,    -.2,   -.81,      0,   1213,   -.16,     .2,   -.25,   -.55,    .23,    .55,   -.29,   14.5,   31.7,
       10,      00,   195802,   3.17,   32.9,    .43,    .43,   1.29,    .43,      0,    806,    .82,    .33,    .48,    -.2,    -.4,    .58,   -.07,   24.7,   41.1,
       10,      00,   195803,   2.04,     31,    .32,    .32,    -.2,    .32,      0,    921,   -.23,    .45,    .12,   -.01,   -.44,    .33,    .01,   21.1,     41,
