StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       12,      00,   195601,   1.49,   26.4,   -.97,   -.97,  -1.01,   -.97,      0,   1209,   -.71,  -2.02,    -.9,   -.22,   -.31,   -.04,    -.5,   17.8,     35,
       12,      00,   195602,    4.2,   32.3,    .92,    .92,   2.77,    .92,      0,    936,   1.58,     .5,   -.65,    .57,    .14,    .12,   -.27,   24.4,   40.2,
       12,      00,   195603,   2.49,   39.2,    .42,    .42,  -1.22,    .42,      0,    815,   -.57,    .55,   -.01,    .08,    .14,   -.15,   -.29,   28.6,   49.8,
       12,      00,   195604,    3.9,   48.5,    .54,    .54,    .49,    .54,      0,    507,    .17,   -.38,    .47,   -.44,    .05,   -.14,    -.3,     37,   60.1,
       12,      00,   195605,   5.42,   61.9,    .93,    .93,   1.33,    .93,     66,    174,     .8,    .63,    .13,   -.41,    .52,    .16,    .01,   50.4,   73.4,
       12,      00,   195606,   3.33,   71.6,   -.32,   -.32,   -.97,    .51,    206,     14,   -.47,    .17,     .2,    .05,    .06,    .17,    .02,   59.7,   83.6,
       12,      00,   195607,   3.63,   73.2,   -.35,   -.35,   -.17,     .4,    250,      6,   -.07,   -.45,    .04,    .29,   -.39,   -.05,    .06,   62.6,   83.9,
       12,      00,   195608,   2.88,   72.5,    -.6,    -.6,   -.85,    -.6,    234,     10,   -.41,   -.33,   -.64,   -.42,   -.76,    .06,   -.17,   60.7,   84.2,
       12,      00,   195609,    1.5,   63.6,  -1.19,  -1.19,  -1.97,  -1.19,     58,    107,  -1.21,  -1.18,  -1.01,   -.53,   -.57,   -.46,   -.17,   49.3,     78,
       12,      00,   195610,   1.05,   58.7,  -2.15,  -2.15,  -3.24,  -2.15,     27,    230,  -1.41,  -1.76,  -1.61,  -1.06,    -.7,  -1.11,   -.88,   44.3,   73.1,
       12,      00,   195611,   2.28,   40.7,  -2.77,  -2.77,  -2.52,  -2.77,      0,    738,   -.52,   -1.4,  -1.77,  -1.55,  -1.24,  -1.45,    -.7,   30.5,   50.9,
       12,      00,   195612,   3.04,   36.9,  -2.86,  -2.86,  -1.13,  -2.86,      0,    889,     .2,   -.27,     -1,  -1.33,   -.95,   -.95,   -.64,   29.8,     44,
       12,      00,   195701,   2.48,   22.3,  -2.69,  -2.69,   -.39,  -2.69,      0,   1345,    .11,    .05,   -.29,  -1.28,   -.99,   -.73,   -.55,     14,   30.6,
       12,      00,   195702,   2.12,   35.2,  -2.48,  -2.48,   -.21,  -2.48,      0,    847,    .03,   -.02,   -.03,  -1.28,   -1.3,  -1.09,   -.69,   27.2,   43.3,
       12,      00,   195703,   1.71,   39.4,  -2.98,  -2.98,  -2.25,  -2.98,      0,    807,  -1.27,  -1.03,   -.85,   -1.4,  -1.52,  -1.21,   -.94,   29.3,   49.4,
       12,      00,   195704,   6.77,   52.4,   1.13,  -1.54,    3.4,   -.08,      2,    398,   1.78,    .57,    .47,   -.01,   -.94,   -.77,   -.59,   42.5,   62.3,
       12,      00,   195705,   5.72,   61.5,   1.59,   -.81,   1.72,   1.29,     61,    181,    .96,   1.72,    .93,    .65,   -.49,   -.72,   -.37,     50,     73,
       12,      00,   195706,    7.2,   71.2,   2.72,   2.72,   3.87,   2.72,    195,     17,   1.78,   1.88,   2.36,   1.36,    .55,   -.05,    .08,   60.8,   81.7,
       12,      00,   195707,   4.21,   74.5,   2.65,   2.65,    .65,   2.65,    292,      1,    .34,   1.43,   1.61,   1.55,   1.07,    .03,      0,   63.1,   85.9,
       12,      00,   195708,   2.73,   72.1,   2.22,   2.22,   -.49,   1.94,    225,     12,   -.57,   -.08,      1,   1.46,   1.15,    .02,    .06,   59.7,   84.6,
       12,      00,   195709,   2.55,   64.3,   1.85,   1.85,   -.41,   1.35,     66,     99,   -.39,   -.67,   -.37,   1.59,    .93,    .25,   -.13,   52.3,   76.2,
       12,      00,   195710,   3.43,   50.4,   2.08,   2.08,   1.27,   2.05,      0,    462,    .46,   -.03,   -.36,   1.02,   1.13,    .73,   -.32,   39.1,   61.7,
       12,      00,   195711,   4.35,   40.6,   2.55,   2.55,   2.06,   2.55,      0,    742,    .92,     .9,    .44,    .94,   1.37,   1.17,   -.24,   31.1,     50,
       12,      00,   195712,   5.67,   35.5,   3.52,   3.52,   3.69,   3.52,      0,    929,   1.83,   1.77,   1.72,    .87,   2.19,    1.6,    .52,   26.8,   44.2,
       12,      00,   195801,   1.59,   27.1,    -.3,   2.86,   -.89,   2.45,      0,   1187,    -.6,    .78,   1.02,    .46,   1.34,    1.4,    .48,   19.9,   34.3,
       12,      00,   195802,    .77,   22.6,   -.89,   1.95,  -1.86,    .75,      0,   1195,   -1.6,  -1.75,    .14,    .31,    .75,   1.16,    .05,   13.6,   31.6,
       12,      00,   195803,   1.55,   35.5,  -1.48,   1.06,  -2.07,   -.92,      0,    923,  -1.44,  -2.13,  -2.46,    .02,   -.28,   1.11,    -.1,   28.4,   42.5,
       12,      00,   195804,   2.83,   51.5,  -1.74,  -1.74,  -1.22,  -1.74,      0,    416,   -.59,   -1.4,     -2,   -.47,   -.56,    .38,   -.26,   39.9,   63.1,
       12,      00,   195805,    3.7,   60.6,  -1.68,  -1.68,   -.36,  -1.68,     51,    198,   -.21,   -.56,   -1.2,   -.95,   -.54,      0,   -.47,   47.6,   73.6,
       12,      00,   195806,   8.13,   66.4,   1.92,   1.92,   5.77,   1.92,     95,     67,   2.21,   1.44,    .86,   -.54,    .47,    .17,    .07,   55.3,   77.5,
       12,      00,   195807,   8.02,     73,   3.64,   3.64,   5.75,   3.64,    247,      6,   2.36,   3.09,    2.5,    .82,   1.37,    .95,    .65,   63.5,   82.5,
       12,      00,   195808,   4.16,   71.5,   3.87,   3.87,   1.82,   3.87,    207,     14,    .68,   2.04,   3.09,   1.47,   1.26,   1.34,    .88,   60.1,   82.9,
       12,      00,   195809,   3.54,   65.1,   3.93,   3.93,   1.36,   3.93,     78,     84,    .28,    .52,   1.77,   1.87,    .65,   1.54,   1.25,   53.8,   76.5,
       12,      00,   195810,   1.46,   54.1,   3.37,   3.37,   -.47,   3.13,      8,    351,     -1,   -.49,   -.19,   2.01,    .62,   1.06,   1.43,   41.2,   66.9,
       12,      00,   195811,   3.99,   43.2,   3.66,   3.66,    1.9,   3.66,      0,    666,     .7,   -.24,   -.06,   2.35,   1.08,    .98,   1.54,     33,   53.3,
       12,      00,   195812,    .55,   22.8,   2.56,   2.56,  -2.15,   1.65,      0,   1325,  -2.22,   -.68,  -1.14,    .53,    .94,    .03,    1.2,   13.2,   32.5,
       12,      00,   195901,   4.63,   23.5,   3.14,   3.14,   2.53,   3.14,      0,   1307,   1.13,   -.11,    .21,   -.03,   1.49,    .56,    1.4,   13.6,   33.3,
