StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       13,      00,   195601,    .45,   17.2,  -5.13,  -5.13,  -2.66,  -5.13,      0,   1464,   -.98,  -1.66,  -2.19,  -1.91,  -2.14,  -1.99,  -1.02,    7.7,   26.6,
       13,      00,   195602,    .54,   21.4,  -5.51,  -5.51,  -2.75,  -5.51,      0,   1204,   -.89,  -1.45,  -1.79,  -1.66,  -2.17,  -2.11,  -1.16,   10.9,     32,
       13,      00,   195603,    .93,   32.6,  -6.14,  -6.14,  -3.58,  -6.14,      0,   1000,   -1.1,  -1.46,  -1.75,  -2.56,  -2.13,  -2.14,  -1.28,   21.6,   43.6,
       13,      00,   195604,   1.98,   45.4,  -6.32,  -6.32,  -2.44,  -6.32,      0,    582,   -.87,   -1.3,  -1.54,  -2.53,  -2.56,  -2.52,  -1.56,   31.8,   58.9,
       13,      00,   195605,   3.28,   61.5,  -6.29,  -6.29,  -1.86,  -6.29,     69,    181,   -.45,   -.88,  -1.18,  -1.75,  -1.92,  -2.49,  -1.72,   48.9,   74.1,
       13,      00,   195606,    2.6,   73.8,  -6.83,  -6.83,  -3.57,  -6.83,    270,     11,  -1.33,   -1.2,  -1.38,  -1.87,  -2.51,  -2.62,  -2.39,   60.8,   86.8,
       13,      00,   195607,   4.52,   71.9,  -6.17,  -6.17,   -.14,  -6.17,    233,     16,    .52,   -.52,   -.72,  -1.34,  -2.01,  -2.49,  -1.87,     60,   83.9,
       13,      00,   195608,   4.49,     72,  -5.65,  -5.65,   -.32,  -5.65,    232,     18,     .5,    .56,   -.17,    -.9,   -1.3,  -1.77,  -2.33,   60.5,   83.5,
       13,      00,   195609,   1.54,   62.2,  -6.07,  -6.07,  -3.03,  -6.07,     49,    138,   -1.3,   -.57,   -.17,  -1.24,  -1.81,  -2.51,  -3.09,   47.6,   76.8,
       13,      00,   195610,    1.4,   57.7,  -6.41,  -6.41,  -2.88,  -6.41,     28,    252,   -.74,  -1.44,   -.85,  -1.13,  -1.63,  -2.35,  -3.09,   43.8,   71.7,
       13,      00,   195611,   2.03,   35.2,  -6.19,  -6.19,  -1.34,  -6.19,      0,    888,    .45,   -.29,  -1.04,   -.87,  -1.32,   -1.7,  -3.09,   25.5,   44.9,
       13,      00,   195612,    .52,   26.4,  -6.37,  -6.37,  -2.45,  -6.37,      0,   1197,  -1.12,   -.08,   -.57,   -.48,  -1.26,  -1.65,  -2.85,   17.2,   35.5,
       13,      00,   195701,    .56,   13.1,  -6.39,  -6.39,  -2.01,  -6.39,      0,   1601,   -.68,  -1.37,   -.35,   -.93,  -1.15,  -1.56,  -2.72,    3.3,     23,
       13,      00,   195702,    .34,   28.3,  -6.58,  -6.58,  -2.54,  -6.58,      0,   1019,  -1.42,  -1.61,  -1.87,   -1.6,  -1.23,  -1.59,  -2.81,     19,   37.6,
       13,      00,   195703,   1.88,   34.3,  -6.48,  -6.48,  -1.75,  -6.48,      0,    945,    .11,   -.65,   -.96,  -1.06,   -.78,  -1.42,   -2.6,   23.8,   44.9,
       13,      00,   195704,   2.52,   48.3,  -6.25,  -6.25,  -1.32,  -6.25,      0,    492,   -.38,   -.32,   -.71,   -.84,  -1.22,  -1.33,  -2.51,   37.1,   59.5,
       13,      00,   195705,   4.94,   58.2,    .44,  -5.17,   1.31,  -4.64,     37,    247,    .58,    .15,    .11,   -.53,  -1.06,   -.99,  -2.48,   47.3,   69.1,
       13,      00,   195706,   4.77,   68.1,    .55,  -4.49,    .47,  -3.73,    144,     46,    .18,    .36,    .13,   -.22,   -.51,   -.54,  -2.22,   56.9,   79.3,
       13,      00,   195707,   3.63,   77.1,     .4,  -4.12,   -.28,  -3.43,    369,      1,    .02,    .05,    .28,   -.14,   -.31,    -.7,  -2.17,   65.9,   88.4,
       13,      00,   195708,   3.75,   71.9,    .33,  -3.72,   -.07,  -3.01,    233,     18,    .07,   -.05,    .01,    .01,   -.37,   -.83,  -1.77,   60.6,   83.3,
       13,      00,   195709,    2.7,   59.9,    .13,  -3.51,   -.51,  -2.94,     28,    175,   -.36,   -.37,   -.33,   -.15,   -.39,   -.63,   -2.1,   48.3,   71.5,
       13,      00,   195710,   2.75,   48.2,    .43,  -2.83,    .96,  -1.89,      0,    515,    .42,   -.13,   -.16,    .05,    -.2,   -.34,  -1.92,   37.7,   58.7,
