StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       14,      00,   195601,    .65,     28,  -4.99,  -4.99,  -1.14,  -4.99,      0,   1163,    .18,   -.88,  -1.81,  -1.25,   -.92,  -1.11,  -1.67,   16.4,   39.6,
       14,      00,   195602,     .5,   31.3,  -4.99,  -4.99,  -1.54,  -4.99,      0,    894,   -.61,   -.47,  -1.06,   -.76,  -1.37,  -1.29,  -1.71,     20,   42.6,
       14,      00,   195603,    .34,   43.6,  -5.52,  -5.52,  -3.14,  -5.52,      5,    640,  -1.81,  -1.69,  -1.43,   -2.3,  -2.01,  -1.36,  -1.73,   28.1,     59,
       14,      00,   195604,   1.19,   51.2,  -5.53,  -5.53,  -1.73,  -5.53,      4,    376,   -1.4,  -2.11,  -2.09,  -3.09,  -2.17,  -1.46,  -1.92,   36.3,     66,
       14,      00,   195605,   2.46,   68.3,  -6.44,  -6.44,  -4.46,  -6.44,    175,     45,   -.92,  -1.68,  -2.37,  -2.86,  -2.07,  -2.18,  -2.37,   54.8,   81.9,
       14,      00,   195606,   2.24,     78,  -7.21,  -7.21,  -4.29,  -7.21,    372,      3,  -1.13,   -1.4,  -1.86,  -2.16,  -2.26,  -2.49,  -2.61,   63.9,     92,
       14,      00,   195607,   3.13,   79.5,   -7.2,   -7.2,  -2.19,   -7.2,    469,      0,   -.04,   -.79,   -1.1,  -1.85,  -2.15,  -2.11,  -2.07,   65.9,   93.1,
       14,      00,   195608,   1.82,     80,  -7.59,  -7.59,   -3.4,  -7.59,    496,      0,   -1.1,   -.71,  -1.19,     -2,  -2.19,  -1.97,  -2.41,   65.3,   94.6,
       14,      00,   195609,    .29,   72.2,   -8.2,   -8.2,  -4.18,   -8.2,    258,     19,  -2.78,  -2.45,  -1.74,  -2.29,  -2.73,   -2.7,  -2.66,   55.2,   89.2,
       14,      00,   195610,   1.44,   62.2,  -7.98,  -7.98,  -1.87,  -7.98,     77,    126,   -.39,  -2.07,   -2.6,  -1.92,  -2.48,  -2.77,   -2.6,   47.6,   76.9,
       14,      00,   195611,    .82,   41.4,  -7.57,  -7.57,  -1.23,  -7.57,      0,    676,   -.28,   -.61,  -1.99,  -1.89,  -2.32,  -2.47,  -2.25,   28.5,   54.3,
       14,      00,   195612,    .46,   35.5,  -7.33,  -7.33,  -1.61,  -7.33,      0,    907,   -.51,   -.66,   -.81,  -1.91,  -2.24,  -2.45,   -2.2,   22.8,   48.1,
       14,      00,   195701,    .35,   23.7,  -7.12,  -7.12,  -1.63,  -7.12,      0,   1255,   -.57,   -.99,   -.88,  -2.62,  -2.06,  -2.49,  -2.27,   13.1,   34.4,
       14,      00,   195702,    .62,   37.8,  -6.95,  -6.95,  -1.69,  -6.95,      0,    756,   -.36,   -.75,   -.99,  -2.15,  -2.08,   -2.5,  -2.34,   25.7,   49.9,
       14,      00,   195703,   3.18,   41.3,     .3,  -5.93,     .9,  -5.55,      0,    704,   1.36,      1,    .73,   -.12,  -1.38,  -1.94,  -2.05,   30.5,     52,
       14,      00,   195704,   3.52,   50.9,     .9,  -4.69,    1.9,  -3.57,      2,    388,    .92,    1.4,   1.19,    .51,  -1.06,  -1.39,  -1.96,   40.9,   60.9,
       14,      00,   195705,   6.52,   61.4,   2.05,  -2.97,   3.71,   -.51,     68,    136,   1.53,   1.75,   1.98,   1.46,    .24,   -.59,  -1.87,   50.9,   71.9,
       14,      00,   195706,   6.95,   71.4,   3.15,  -1.35,   3.93,   2.34,    237,     17,   1.63,   1.97,   2.21,   2.21,   1.51,    .43,  -1.42,   59.5,   83.3,
       14,      00,   195707,    2.3,   81.3,   2.85,  -1.19,    .07,   2.26,    516,      0,   -.62,    .76,   1.35,   1.74,    1.3,    .25,   -1.2,   68.7,   93.8,
       14,      00,   195708,   2.02,   78.8,   2.19,  -1.43,  -1.09,   1.46,    441,      0,   -.91,  -1.05,    .31,   1.46,   1.12,    .28,  -1.12,   65.4,   92.1,
       14,      00,   195709,   3.82,   64.9,   2.51,   -.73,   1.65,   2.37,    107,     93,    .86,    .01,   -.38,   1.27,   1.33,    .93,  -1.06,   51.6,   78.3,
       14,      00,   195710,   2.57,   54.1,   2.69,   2.69,   1.29,   2.69,      9,    340,    .58,     .9,     .3,   1.15,   1.47,   1.14,   -.88,   44.1,   64.1,
       14,      00,   195711,   1.44,   39.7,   2.63,   2.63,    .68,   2.63,      0,    725,    .35,    .51,    .87,    .65,   1.58,   1.27,    -.7,     30,   49.3,
       14,      00,   195712,    .53,   38.5,   2.13,   2.13,   -.69,   1.78,      0,    807,   -.35,   -.01,    .26,   -.21,   1.25,   1.32,   -.77,   25.3,   51.6,
       14,      00,   195801,    .85,     32,   2.08,   2.08,     .5,   1.88,      0,   1024,    .56,   -.09,    .16,    .22,    1.1,   1.43,   -.74,   20.5,   43.5,
       14,      00,   195802,   1.13,   29.2,   2.19,   2.19,    .98,   2.19,      0,   1028,    .51,     .6,    .15,    .79,    .63,   1.55,   -.67,     19,   39.3,
       14,      00,   195803,   3.48,   31.9,    3.1,    3.1,   3.41,    3.1,      0,    944,   1.54,   1.47,   1.43,   1.06,    .44,   1.63,   -.24,   24.6,   39.2,
       14,      00,   195804,   1.79,   50.9,   2.72,   2.72,    -.2,   2.57,      4,    382,   -.57,    .73,    .77,    .61,    .59,   1.25,   -.11,   39.6,   62.2,
       14,      00,   195805,   3.85,   65.8,    2.5,    2.5,     .2,   2.38,    122,     79,    .19,   -.32,    .57,    .52,    .89,    .78,    .12,   53.6,     78,
       14,      00,   195806,   4.26,     73,   2.54,   2.54,     .9,   2.54,    263,     14,    .22,    .19,   -.14,    .57,    .51,    .21,    .47,   60.3,   85.7,
       14,      00,   195807,   7.82,   75.7,   4.36,   4.36,   6.23,   4.36,    350,      5,   2.28,    1.7,   1.39,   1.56,   1.39,   1.36,   1.08,   64.5,   86.8,
       14,      00,   195808,   2.56,   76.6,   4.33,   4.33,   1.26,   4.33,    370,      6,   -.42,   1.68,   1.33,   1.29,    1.2,   1.46,   1.16,   63.8,   89.4,
       14,      00,   195809,   3.77,   69.7,    4.5,    4.5,   1.85,    4.5,    183,     41,    .83,    .28,   1.69,   1.03,   1.38,   1.29,   1.48,   57.5,   81.9,
