StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       15,      00,   195601,   3.91,   31.1,  -1.81,  -2.24,   -.09,  -2.09,      0,   1056,     .1,   -.95,  -1.15,  -1.07,   -.99,   -.01,   -.97,     22,   40.1,
       15,      00,   195602,   8.92,   41.4,    1.7,    1.7,    5.1,    1.7,      0,    670,   2.32,   1.66,    .85,    .37,   -.02,    .27,   -.36,   32.5,   50.2,
       15,      00,   195603,   5.05,     45,   1.65,   1.65,    .36,   1.65,      4,    633,    .29,   1.81,   1.45,    .46,    .05,   -.11,    -.1,   33.2,   56.8,
       15,      00,   195604,   4.92,   52.9,   1.91,   1.91,   1.29,   1.91,      1,    372,    .54,    .48,   1.66,     .6,    .26,    .09,    .01,   41.3,   64.5,
       15,      00,   195605,   3.66,   65.9,   1.41,   1.41,   -.89,    .92,    109,     90,   -.35,    .12,    .17,    .59,    .28,   -.01,    .04,   53.7,     78,
       15,      00,   195606,   3.62,   72.3,   1.12,   1.12,   -.43,    .38,    224,      8,   -.37,   -.53,   -.12,   1.01,    .19,    -.1,    .11,   60.2,   84.3,
       15,      00,   195607,      6,   75.7,   1.64,   1.64,   1.89,   1.64,    327,      0,   1.05,    .49,    .07,   1.34,    .45,    .18,    .41,   64.5,   86.9,
       15,      00,   195608,      3,   74.4,   -.16,   1.32,   -.47,      1,    287,      2,   -.44,    .45,    .13,    .13,    .55,    .28,    .29,   62.6,   86.2,
       15,      00,   195609,   2.16,   65.9,   -.45,    .87,   -.94,    .02,     97,     74,   -.69,   -.84,   -.07,   -.16,    .85,    .15,    .16,   52.4,   79.5,
       15,      00,   195610,   1.97,   60.3,   -.87,   -.87,  -1.38,   -.87,     38,    189,   -.52,    -.9,  -1.02,   -.63,    .75,    .03,    .07,   47.2,   73.4,
       15,      00,   195611,   2.32,     44,  -1.35,  -1.35,  -1.73,  -1.35,      0,    636,   -.71,   -.91,   -1.1,   -.77,   -.51,   -.04,    .11,   32.1,   55.9,
       15,      00,   195612,   4.98,   44.3,    .03,  -1.19,    .08,  -1.05,      3,    652,    .59,   -.04,   -.35,   -.37,   -.39,    .51,     .1,   35.5,   53.2,
       15,      00,   195701,   6.43,   31.9,     .8,     .8,   2.33,     .8,      0,   1036,   1.09,   1.09,    .65,   -.12,   -.14,    .86,    .57,   23.3,   40.5,
       15,      00,   195702,   4.33,   42.1,    .84,    .84,    .36,    .84,      0,    652,     .6,   1.13,   1.16,     .2,    .15,    .15,    .28,   32.6,   51.6,
       15,      00,   195703,   2.37,   43.8,   -.78,   -.78,  -2.33,   -.78,      1,    665,  -1.32,   -.49,    .37,   -.05,   -.14,   -.28,   -.23,   33.6,   54.1,
       15,      00,   195704,   5.52,   58.6,    .38,    .38,   1.15,    .38,     18,    219,    .86,    -.3,    .05,    .39,   -.15,   -.18,   -.05,   46.5,   70.7,
       15,      00,   195705,   5.55,   65.6,    .69,    .69,   1.03,    .69,    105,     94,    .72,    .99,    .12,    .83,    .11,     .1,    .05,   52.8,   78.4,
       15,      00,   195706,   5.31,   73.8,   1.04,   1.04,   1.28,   1.04,    264,      2,    .81,    .92,   1.12,    .89,    .48,    .36,    .15,   63.4,   84.2,
       15,      00,   195707,   3.08,   75.8,   -.48,   -.48,  -1.44,   -.48,    335,      0,  -1.03,   -.06,    .28,    .15,    .38,   -.08,    .04,   63.8,   87.8,
       15,      00,   195708,   1.78,     74,  -1.17,  -1.17,  -2.21,  -1.17,    283,      0,  -1.83,  -1.85,   -.88,   -.52,    .31,   -.25,   -.03,   60.4,   87.6,
       15,      00,   195709,   4.47,     69,    .37,   -.67,   1.11,    .13,    150,     35,    .85,   -.28,    -.8,    .39,    .42,    .14,    .16,   58.2,   79.7,
       15,      00,   195710,   2.73,     53,     .5,     .5,    .49,     .5,      4,    382,    .04,    .52,    -.3,   -.01,   -.07,    .26,    .16,   41.8,   64.2,
       15,      00,   195711,   7.98,     45,   1.85,   1.85,   4.21,   1.85,      0,    607,   2.06,    1.6,   1.64,    .77,    .65,   1.14,    .73,   34.3,   55.8,
       15,      00,   195712,    5.6,   40.5,    2.3,    2.3,   1.94,    2.3,      0,    765,     .9,   1.92,   1.65,    .83,   1.24,   1.24,   1.26,   30.7,   50.2,
