StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       16,      00,   195601,   3.11,   48.1,  -1.63,  -1.63,  -1.58,  -1.63,     16,    513,   -.83,  -1.35,  -1.19,  -1.12,   -.44,    -.2,  -1.68,   36.6,   59.7,
       16,      00,   195602,   7.38,   56.6,   -.82,   -.82,   1.95,    .24,     37,    243,   1.31,    .34,   -.23,   -.96,   -.15,   -.18,  -1.07,   46.6,   66.5,
       16,      00,   195603,   4.39,   58.5,    -.9,    -.9,   -.49,   -.07,     40,    219,   -.13,    .78,    .12,   -.76,   -.16,    .11,   -.88,   46.8,   70.1,
       16,      00,   195604,   3.39,   65.1,  -1.06,  -1.06,   -.77,   -.56,     80,     65,   -.52,   -.46,    .25,   -.65,    -.8,    -.3,   -.82,   54.1,   76.1,
       16,      00,   195605,   3.71,   75.7,  -1.48,  -1.48,  -1.57,  -1.48,    337,      0,    -.4,   -.63,   -.61,   -.63,  -1.12,   -.53,  -1.07,   64.8,   86.7,
       16,      00,   195606,   4.73,   78.2,  -1.23,  -1.23,    .27,  -1.01,    394,      0,    .14,   -.24,   -.49,   -.27,   -.89,   -.39,   -.84,   67.7,   88.7,
       16,      00,   195607,   3.35,   82.3,  -1.82,  -1.82,  -2.14,  -1.82,    527,      0,  -1.27,    -.7,   -.83,   -.33,   -.93,  -1.01,  -1.03,     71,   93.6,
       16,      00,   195608,    3.5,   81.5,  -2.16,  -2.16,  -1.58,  -2.16,    504,      0,   -.65,  -1.34,   -.95,  -1.07,  -1.01,  -1.32,   -.88,   69.7,   93.3,
       16,      00,   195609,   2.62,   76.1,  -2.51,  -2.51,  -1.73,  -2.51,    337,      0,   -.69,  -1.08,  -1.58,  -1.42,   -.99,  -1.36,   -.93,   62.7,   89.4,
       16,      00,   195610,   2.43,   69.1,  -2.66,  -2.66,  -1.22,  -2.66,    173,     31,   -.25,   -.74,   -1.1,   -1.4,   -.88,   -1.3,  -1.01,   55.7,   82.5,
       16,      00,   195611,   3.24,   56.3,  -2.82,  -2.82,   -1.3,  -2.82,     21,    258,   -.32,   -.57,   -.87,   -1.4,  -1.41,  -1.34,   -.95,   43.2,   69.3,
       16,      00,   195612,   6.96,   56.9,  -2.39,  -2.39,    .42,  -2.16,     37,    257,    .85,    .27,   -.07,  -1.15,  -1.18,   -.93,   -.64,   45.5,   68.3,
       16,      00,   195701,   3.18,     53,  -2.75,  -2.75,  -1.82,  -2.75,     52,    358,   -.79,      0,   -.31,   -.95,  -1.34,   -.94,   -.86,   43.7,   62.4,
       16,      00,   195702,    3.7,   59.7,     -3,     -3,   -1.6,     -3,     63,    184,   -.41,   -.92,   -.24,   -.91,  -1.31,  -1.42,  -1.18,   50.2,   69.1,
       16,      00,   195703,   6.55,   57.5,    .51,  -2.19,   1.52,  -1.51,     32,    242,    .82,    .26,   -.27,   -.33,  -1.06,  -1.17,   -.74,   46.6,   68.3,
       16,      00,   195704,   8.07,   67.4,   1.27,  -1.15,   2.45,    .56,    121,     37,   1.37,   1.36,    .99,     .4,   -.26,   -.65,   -.55,   57.4,   77.3,
       16,      00,   195705,   3.83,   74.7,    .71,  -1.46,  -1.29,    -.3,    317,      0,   -.35,    .67,     .9,    .46,    -.2,    -.6,    -.7,   64.8,   84.5,
       16,      00,   195706,    9.3,   79.6,    1.9,    1.9,   3.81,    1.9,    446,      0,   1.71,    .98,   1.37,    .88,    .59,   -.06,   -.24,   70.5,   88.7,
       16,      00,   195707,   3.64,   82.7,   1.27,   1.27,  -1.32,    .58,    551,      0,  -1.09,     .9,    .46,    .88,    .52,   -.01,   -.71,   72.3,     93,
       16,      00,   195708,   2.83,   81.2,    .56,    .56,  -1.73,   -.96,    499,      0,  -1.16,   -1.5,    .27,    .77,    .47,   -.09,  -1.04,   70.4,   91.9,
       16,      00,   195709,    7.6,   74.8,    1.6,    1.6,   3.29,    1.5,    313,      1,   1.46,    .68,   -.08,   1.11,    .72,     .5,    -.6,   65.7,   83.8,
       16,      00,   195710,   5.11,   63.7,   2.16,   2.16,   2.18,   2.16,     77,     99,    .77,   1.35,    .87,    .86,   1.15,    .79,   -.31,   52.9,   74.6,
       16,      00,   195711,   9.66,     58,   3.46,   3.46,   4.56,   3.46,     33,    215,   1.83,   1.71,   2.06,   1.93,   1.94,   1.44,    .18,   48.7,   67.3,
       16,      00,   195712,   3.53,   52.7,   2.55,   2.55,  -1.65,   1.84,     12,    379,   -.97,   1.07,   1.19,    .92,   1.58,   1.15,    .24,   40.9,   64.6,
       16,      00,   195801,   4.61,   45.3,   2.22,   2.22,    -.2,   1.39,      9,    604,   -.09,   -.68,    .71,   1.05,   1.12,   1.31,    .35,   34.5,     56,
       16,      00,   195802,   3.43,   45.2,   1.73,   1.73,   -.81,    .56,      0,    538,   -.56,   -.47,   -.93,   1.17,   1.13,   1.37,      0,   35.5,   54.9,
       16,      00,   195803,   5.31,   54.5,   1.79,   1.79,    .72,    .88,     17,    316,     .3,   -.27,   -.29,    .61,    .42,   1.26,    .06,   44.3,   64.8,
       16,      00,   195804,   5.71,   66.1,   1.89,   1.89,    .85,   1.26,    101,     50,     .5,    .49,    .08,    .48,    .86,    .97,    .33,   55.6,   76.6,
       16,      00,   195805,   5.52,     74,   1.77,   1.77,    .24,   1.19,    289,      1,    .36,    .51,    .54,   -.17,   1.12,   1.14,    .43,   63.7,   84.3,
       16,      00,   195806,   5.58,   80.5,   1.87,   1.87,    .84,   1.48,    469,      0,    .49,     .5,    .59,    .26,    .74,    .63,    .49,   70.7,   90.3,
       16,      00,   195807,   6.15,   82.1,   1.95,   1.95,    .81,   1.79,    523,      0,    .36,    .55,    .57,     .4,    .64,    .92,    .72,   72.4,   91.7,
       16,      00,   195808,   6.41,   80.7,   2.52,   2.52,   2.32,   2.52,    489,      0,      1,    .88,    .87,    .83,    .25,    1.3,    .97,   70.3,     91,
       16,      00,   195809,   9.38,   78.1,   4.04,   4.04,   5.35,   4.04,    407,      0,   1.91,   2.05,   2.13,   1.62,   1.12,   1.46,   1.49,   69.5,   86.7,
       16,      00,   195810,   1.62,   66.5,   -.22,    3.4,   -.67,   3.09,    123,     58,   -.72,      1,   1.26,   1.28,    .96,   1.09,   1.38,   55.9,     77,
       16,      00,   195811,   2.39,   58.8,   -.67,   2.59,  -1.39,   1.68,     43,    193,   -.79,  -1.18,    .39,    .83,    .85,    .34,   1.32,   47.4,   70.2,
       16,      00,   195812,   1.55,   47.6,  -1.62,    1.3,  -3.07,   -.78,      3,    506,  -3.09,  -2.59,  -2.46,   -.03,     .3,     .1,    .93,   36.5,   58.6,
       16,      00,   195901,   3.49,   46.4,  -1.85,    .77,  -1.18,  -1.62,     12,    560,   -.63,  -2.07,  -1.86,   -.42,   -.08,   -.01,    .97,   34.9,     58,
       16,      00,   195902,   7.12,   53.1,    .68,   1.37,   2.03,   -.21,     19,    321,   1.21,    .38,   -.73,   -.29,     .2,    .39,   1.26,   43.8,   62.3,
       16,      00,   195903,   3.33,   56.5,     .2,    .82,  -1.21,  -1.04,     24,    271,   -.69,    .33,   -.13,  -1.44,   -.25,    .13,   1.01,   44.3,   68.6,
       16,      00,   195904,   4.95,   64.6,    .33,    .89,    .45,   -.73,     74,     71,    .19,    -.3,    .31,     -1,   -.26,    .02,    .78,   54.1,   75.2,
       16,      00,   195905,   6.05,   75.5,    .44,    .94,    .42,   -.47,    327,      0,    .56,    .46,    .09,   -.44,   -.29,    .08,    .89,   65.4,   85.6,
       16,      00,   195906,   5.51,   79.1,    .74,   1.18,   1.02,    .08,    430,      0,    .46,    .61,    .53,     .3,   -.81,    .08,    .59,   69.5,   88.6,
       16,      00,   195907,   8.36,     81,    1.7,    2.1,   3.12,   1.47,    494,      0,   1.51,   1.16,   1.12,    .91,   -.18,    .35,    .98,   71.1,   90.8,
       16,      00,   195908,   4.77,   81.3,   1.85,   2.21,    .99,    1.8,    507,      0,    .15,    1.1,      1,    .59,    .11,    .15,   1.14,   71.5,   91.2,
       16,      00,   195909,   2.65,   77.7,   1.35,   1.68,   -.92,    .89,    389,      0,   -.66,   -.43,    .44,    .64,    .42,   -.56,    .76,   67.8,   87.6,
       16,      00,   195910,   5.75,   69.4,   1.83,   2.12,   1.86,   1.92,    189,     29,    .95,    .38,    .33,      1,    .87,   -.08,    .77,   59.2,   79.5,
       16,      00,   195911,   2.34,   53.8,   -.33,   1.57,     -1,     .9,     13,    314,   -.82,    .17,   -.22,    .45,    .28,   -.08,    .17,   41.3,   66.3,
       16,      00,   195912,   4.83,   51.2,   -.43,   1.27,    -.4,    .41,      9,    413,   -.09,   -.79,      0,    .21,    .42,    .27,    .32,   40.3,     62,
       16,      00,   196001,    4.3,   47.6,   -.58,    .95,   -.57,   -.13,     16,    524,   -.23,   -.33,   -.79,   -.46,    .29,    .38,    .28,   38.3,   56.9,
       16,      00,   196002,   4.79,   46.5,   -.41,    .97,    .34,    .03,      3,    492,    .15,    -.1,   -.21,   -.45,    .14,    .07,    .39,   36.1,   56.8,
       16,      00,   196003,   3.33,   51.8,   -.63,    .61,   -.79,   -.57,     10,    377,   -.69,   -.48,   -.54,   -.45,    -.3,    .05,    .21,   41.3,   62.2,
       16,      00,   196004,   3.26,   67.3,   -.94,   -.94,  -1.13,   -.94,    117,     37,   -.59,   -.88,    -.7,     -1,   -.82,   -.17,    .05,   55.6,     79,
       16,      00,   196005,   2.59,   71.5,  -1.44,  -1.44,   -1.8,  -1.44,    210,      4,   -.99,  -1.07,  -1.33,  -1.05,  -1.05,   -.57,   -.22,   59.5,   83.4,
       16,      00,   196006,   2.98,   80.5,  -1.85,  -1.85,  -1.67,  -1.85,    469,      0,   -.72,  -1.26,  -1.31,  -1.28,  -1.04,   -.83,   -.47,   68.7,   92.2,
       16,      00,   196007,   3.67,   83.5,   -2.5,   -2.5,  -2.53,   -2.5,    582,      0,  -1.07,  -1.31,   -1.7,  -1.51,  -1.57,   -1.3,   -.68,   72.1,     95,
       16,      00,   196008,   8.23,   80.6,   1.01,  -1.23,   3.03,    .13,    485,      0,   1.79,    .63,    .03,   -.88,   -.86,   -.91,   -.51,   71.3,     90,
       16,      00,   196009,   2.42,   77.1,   -.53,  -1.63,  -1.58,   -.93,    371,      0,   -.87,    .75,      0,  -1.02,  -1.09,   -.94,  -1.15,     66,   88.2,
       16,      00,   196010,   4.58,   69.1,   -.25,  -1.24,    .66,   -.25,    173,     32,     .6,   -.03,    .81,    -.6,   -.83,  -1.07,   -.84,   57.9,   80.3,
       16,      00,   196011,   2.59,   58.8,   -.76,  -1.65,  -1.61,  -1.24,     40,    198,   -.67,   -.09,   -.51,   -.46,  -1.09,  -1.04,   -.83,   47.1,   70.5,
       16,      00,   196012,   6.44,   47.4,    .29,  -1.19,    .86,   -.42,      3,    508,    .65,    -.1,    .17,    .05,   -.77,   -.88,   -.41,   37.4,   57.5,
       16,      00,   196101,   5.89,   43.6,    .57,   -.76,    .93,    .35,      7,    638,    .45,    .63,    .05,    .51,   -.49,    -.7,   -.22,   33.1,   54.2,
       16,      00,   196102,   7.62,   54.6,    1.3,    1.3,   2.37,    1.3,     25,    287,   1.41,   1.18,   1.19,    .41,    .31,   -.41,   -.19,   43.7,   65.5,
       16,      00,   196103,    8.5,   62.1,   2.06,   2.06,    2.7,   2.06,     78,    149,   1.54,   2.22,   1.79,   1.28,   1.19,    .19,    .25,   51.6,   72.6,
       16,      00,   196104,   2.73,     63,   1.51,   1.51,  -1.04,    .96,     51,     97,   -.86,    .55,    1.1,    .72,   1.05,    .12,    .12,   51.2,   74.8,
       16,      00,   196105,   3.81,   72.2,   1.06,   1.06,   -.89,    .07,    233,      2,   -.36,   -.82,    .24,    .83,    .32,    .26,    -.1,     61,   83.5,
       16,      00,   196106,      8,   76.6,   2.05,   2.05,   3.31,   2.05,    359,      0,   1.32,    .67,    .13,   1.12,    .95,    .88,    .09,   66.9,   86.3,
       16,      00,   196107,   7.44,   79.7,   2.72,   2.72,   2.64,   2.72,    458,      0,   1.05,   1.57,    .99,   1.27,   1.05,    1.3,    .01,   70.1,   89.4,
       16,      00,   196108,   4.49,   79.1,   2.78,   2.78,   1.04,   2.78,    439,      0,   -.02,    .64,    1.3,    .88,   1.25,    .83,      0,   68.9,   89.2,
       16,      00,   196109,   5.68,   76.4,   3.23,   3.23,   2.19,   3.23,    355,      0,    .87,     .6,    .96,    .62,   1.36,   1.18,    .28,   66.6,   86.3,
       16,      00,   196110,   1.52,   65.8,   2.65,   2.65,   -.75,   2.28,    112,     67,   -.79,    .03,   -.06,    .61,   1.04,    .86,   -.09,   52.5,     79,
       16,      00,   196111,   7.63,   56.7,   3.32,   3.32,   2.83,   3.32,     27,    241,   1.29,    .46,    .69,   1.38,   1.08,   1.38,    .31,   46.8,   66.6,
       16,      00,   196112,   8.59,     51,   3.94,   3.94,    2.9,   3.94,     12,    398,    1.4,   1.76,   1.08,   1.47,   1.08,   1.68,    .66,   40.4,   61.7,
       16,      00,   196201,   5.59,   45.3,   3.74,   3.74,    .61,   3.74,     12,    578,    .33,    1.1,   1.56,   1.08,   1.52,   1.65,    .76,   34.1,   56.6,
       16,      00,   196202,   1.88,   59.9,  -1.09,   2.27,  -3.26,    .94,     64,    181,  -1.49,   -.69,    .34,    .65,    1.3,   1.09,    .53,   48.6,   71.3,
       16,      00,   196203,   2.68,   54.5,   -1.5,   1.51,  -1.59,   -.43,     16,    315,  -1.07,  -1.78,   -1.2,   -.02,    .39,    .35,    .46,   42.8,   66.2,
       16,      00,   196204,      5,   64.4,  -1.18,   1.52,    .51,   -.16,     70,     76,    .21,    -.5,  -1.19,    .35,    .14,    .66,    .66,   53.6,   75.1,
       16,      00,   196205,   2.68,   75.2,  -1.84,    .58,  -2.35,  -1.81,    327,      0,   -.94,   -.45,   -.94,   -.45,   -.12,    .48,    .61,   63.1,   87.3,
       16,      00,   196206,   6.42,     79,  -1.23,    .94,   1.25,   -.89,    430,      0,     .8,   -.04,    .04,    -.7,   -.06,    .28,    .89,   68.9,   89.1,
       16,      00,   196207,   2.35,   83.6,  -2.15,  -2.15,  -3.12,  -2.15,    582,      0,  -1.92,   -.44,   -.94,  -1.43,   -.17,   -.29,    .78,   72.6,   94.6,
       16,      00,   196208,   4.55,   83.6,  -2.26,  -2.26,     -1,  -2.26,    570,      0,    .02,  -1.32,   -.42,   -.95,   -.61,   -.28,    .49,   71.8,   95.4,
       16,      00,   196209,   3.21,     78,  -2.54,  -2.54,  -1.55,  -2.54,    401,      0,   -.25,   -.28,  -1.36,   -.81,  -1.28,   -.52,    .57,     67,     89,
       16,      00,   196210,    3.1,   70.4,  -2.56,  -2.56,   -.85,  -2.56,    205,     22,    .06,   -.26,    -.3,  -1.01,  -1.39,   -.33,    .43,   58.7,   82.1,
       16,      00,   196211,   3.18,     55,  -2.72,  -2.72,  -1.26,  -2.72,     15,    290,   -.35,   -.37,   -.54,   -.79,  -1.16,   -.84,    .45,   43.4,   66.5,
       16,      00,   196212,   3.79,     49,  -3.03,  -3.03,  -1.78,  -3.03,      5,    475,   -.75,   -.87,   -.78,  -1.57,  -1.13,  -1.45,    .28,   38.1,   59.9,
       16,      00,   196301,    3.9,   43.2,  -2.97,  -2.97,   -.75,  -2.97,      8,    641,   -.42,   -.85,   -.94,   -.99,  -1.42,  -1.73,     .1,     32,   54.3,
