StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       17,      00,   195601,   4.66,   21.7,  -2.62,  -2.62,   2.06,  -1.76,      0,   1247,   1.14,   -.42,   -.56,   -.93,   -1.3,   -.61,   1.26,   14.8,   28.5,
       17,      00,   195602,   2.57,   16.9,  -2.48,  -2.48,   -.38,  -1.72,      0,   1235,   -.08,     .8,   -.45,  -1.45,  -1.42,  -1.23,    1.1,    5.9,     28,
       17,      00,   195603,    3.6,   20.1,  -2.02,  -2.02,    .62,   -.99,      0,   1293,    .29,    .12,    .71,   -.78,  -1.16,  -1.47,    1.1,    8.1,   32.2,
       17,      00,   195604,   3.26,   36.6,  -1.73,  -1.73,    .22,   -.62,      0,    799,    .06,    .21,    .07,   -.36,   -.79,  -1.14,      1,   27.5,   45.7,
       17,      00,   195605,   3.15,   45.2,  -1.39,  -1.39,    .49,   -.11,      0,    563,   -.11,    -.1,    .08,   -.27,   -1.1,  -1.13,    .76,   33.3,   57.2,
       17,      00,   195606,    2.8,   59.6,  -1.61,  -1.61,   -1.1,   -.71,      9,    142,   -.66,    -.6,   -.53,    .02,    -.9,  -1.19,    .46,   48.1,   71.2,
       17,      00,   195607,   3.84,   61.9,  -1.22,  -1.22,    .67,   -.12,     37,     87,    .11,   -.51,   -.47,   -.38,   -.57,   -.92,    .44,   50.9,   72.8,
       17,      00,   195608,   3.12,   60.6,  -1.14,  -1.14,   -.13,    -.1,     32,    110,   -.26,   -.17,    -.6,   -.41,   -.58,  -1.25,    .16,   48.5,   72.6,
       17,      00,   195609,    3.5,   51.4,   -.92,   -.92,    .32,    .17,      0,    354,    .02,   -.21,   -.17,   -.51,   -.11,   -.88,   -.42,   40.5,   62.2,
       17,      00,   195610,   2.84,   45.1,  -1.11,  -1.11,   -.86,   -.28,      0,    563,   -.54,   -.43,   -.52,    -.7,   -.63,   -.79,   -.71,   32.9,   57.3,
       17,      00,   195611,   3.11,   33.1,  -1.38,  -1.38,  -1.16,    -.7,      0,    859,   -.49,    -.8,   -.73,   -.96,   -.79,    -.9,   -.85,   23.6,   42.6,
       17,      00,   195612,   2.97,   19.8,  -1.54,  -1.54,    -.9,   -.99,      0,   1279,   -.33,   -.62,   -.84,   -.76,   -.88,    -.5,  -1.19,   10.7,   28.9,
       17,      00,   195701,   2.07,    5.9,  -1.89,  -1.89,  -1.54,  -1.77,      0,   1704,   -.91,   -.99,   -1.2,  -1.19,  -1.24,  -1.07,  -1.16,   -6.2,   18.1,
       17,      00,   195702,   1.66,     19,  -2.31,  -2.31,  -1.83,  -2.31,      0,   1170,  -1.22,   -1.8,  -1.46,  -1.47,  -1.58,  -1.33,  -1.71,    7.7,   30.4,
       17,      00,   195703,   2.05,   28.5,  -2.65,  -2.65,  -1.72,  -2.65,      0,   1037,   -.98,  -1.64,  -2.01,  -1.88,  -1.66,  -1.75,  -1.85,   18.5,   38.6,
       17,      00,   195704,   2.44,   39.2,  -2.88,  -2.88,  -1.53,  -2.88,      0,    695,   -.62,  -1.25,  -1.77,  -2.05,  -1.74,  -1.81,  -1.68,   28.3,   50.1,
       17,      00,   195705,   2.52,     51,  -2.99,  -2.99,  -1.22,  -2.99,      0,    372,   -.59,   -.85,   -1.4,  -1.85,  -1.88,  -1.88,  -1.79,   38.1,     64,
       17,      00,   195706,   3.34,   61.7,  -2.96,  -2.96,   -.82,  -2.96,     23,     97,    -.2,   -.65,   -.94,  -1.77,  -1.97,  -1.77,  -1.92,   49.3,   74.1,
       17,      00,   195707,   3.77,   63.5,  -2.55,  -2.55,    .31,  -2.36,     63,     57,    .04,   -.22,   -.55,  -1.56,  -2.23,  -1.92,  -1.84,   52.4,   74.6,
       17,      00,   195708,   2.03,     60,  -2.83,  -2.83,  -1.64,  -2.83,     26,    121,  -1.26,   -.94,     -1,  -1.77,  -2.13,  -2.17,  -2.29,   47.5,   72.4,
       17,      00,   195709,   2.97,   56.7,  -3.06,  -3.06,  -1.54,  -3.06,      6,    200,   -.35,  -1.25,  -1.04,  -1.35,  -2.07,  -2.25,  -2.16,   45.4,     68,
       17,      00,   195710,   2.14,   45.9,  -3.64,  -3.64,   -2.7,  -3.64,      0,    530,  -1.05,  -1.09,  -1.63,  -1.62,  -2.03,  -2.74,   -2.1,   35.6,   56.3,
       17,      00,   195711,   5.32,   36.3,    .07,  -3.19,    .21,  -3.05,      0,    786,    .92,    .02,   -.33,   -.84,  -1.44,  -1.95,  -1.81,   29.3,   43.4,
       17,      00,   195712,   5.63,   25.3,    .91,  -2.02,   2.53,   -.83,      0,   1109,   1.31,   1.42,    .65,   -.08,   -.52,  -1.22,  -1.24,   16.1,   34.5,
       17,      00,   195801,   6.54,   20.2,   2.37,   2.37,   4.67,   2.37,      0,   1280,   2.22,    2.5,   2.25,    .77,    .33,   -.34,   -.95,   12.5,   27.8,
       17,      00,   195802,   3.08,   13.4,   2.27,   2.27,    .44,   2.27,      0,   1350,    .38,   1.86,   2.14,   1.19,    .57,   -.06,   -.87,    2.9,     24,
       17,      00,   195803,   2.88,   31.9,   1.88,   1.88,   -.47,   1.61,      0,    961,   -.25,      0,   1.33,   1.25,    .58,    .09,   -.92,   24.4,   39.3,
       17,      00,   195804,   4.11,   40.9,   1.91,   1.91,    .68,   1.87,      0,    668,    .66,    .27,    .35,   1.77,    .72,    .36,   -.82,     31,   50.8,
       17,      00,   195805,   2.83,   48.1,   1.59,   1.59,   -.37,   1.31,      0,    484,   -.35,    .15,      0,   1.35,    .89,     .4,   -.85,   36.9,   59.3,
       17,      00,   195806,   3.19,     55,   1.51,   1.51,    .23,   1.27,      0,    252,   -.32,   -.55,   -.15,    .75,    .88,    .37,   -.84,   43.7,   66.3,
       17,      00,   195807,   5.18,   63.8,   2.23,   2.23,   2.63,   2.23,     62,     57,   1.16,    .46,    .18,    .23,   1.42,    .64,    -.7,   53.8,   73.9,
       17,      00,   195808,   4.48,   62.6,   2.61,   2.61,   1.83,   2.61,     56,     77,    .77,   1.26,    .79,    .45,   1.42,   1.02,   -.49,   51.1,   74.1,
