StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       18,      00,   195601,   2.44,   31.1,   -1.2,   -1.2,   -.89,   -1.2,      0,   1047,   -.56,  -2.18,  -2.21,    .64,    .15,    .21,   -.97,   23.5,   38.6,
       18,      00,   195602,   3.77,   37.8,    .34,   -.74,   1.01,   -.01,      0,    768,    .76,    .16,  -1.28,  -1.13,    .63,    .36,   -.68,   28.6,     47,
       18,      00,   195603,   4.11,   40.2,    .54,    .54,    .71,    .54,      0,    773,    .34,    .72,    .31,   -.66,     .4,    .29,   -.63,   30.1,   50.3,
       18,      00,   195604,   2.64,   50.3,   -.23,   -.23,   -.68,    .26,      0,    434,   -.55,   -.18,    .25,  -1.23,    .62,     .2,   -.71,     39,   61.5,
       18,      00,   195605,    2.9,   60.8,   -.51,   -.51,   -.93,   -.51,     30,    155,   -.52,   -.81,   -.48,  -1.12,  -1.16,    .26,   -.77,   48.1,   73.4,
       18,      00,   195606,   3.61,   70.7,   -.48,   -.48,   -.05,   -.48,    188,      5,   -.05,   -.51,   -.73,   -.37,   -.97,    -.1,    -.6,   59.4,   82.1,
       18,      00,   195607,    6.7,   73.8,   1.07,   1.07,    3.2,   1.07,    277,      0,   1.48,    .97,    .49,    .48,   -.57,    .71,   -.09,   64.2,   83.4,
       18,      00,   195608,   3.08,   72.5,    .76,    .76,    -.6,    .23,    242,      1,    -.5,    .53,    .38,   -.06,   -.59,   -.73,   -.26,   62.1,   82.9,
       18,      00,   195609,   3.71,   64.5,     .9,     .9,    .67,    .74,     60,     76,    .27,   -.31,    .49,   -.07,    .01,   -.48,   -.07,   54.1,   74.9,
       18,      00,   195610,   4.39,   56.9,   1.32,   1.32,   1.52,   1.32,     11,    272,    .75,    .62,    .13,    .35,    .38,   -.47,   -.01,   47.3,   66.5,
       18,      00,   195611,   3.59,   44.8,   1.66,   1.66,   1.43,   1.66,      0,    612,     .5,    .77,    .66,    .72,    .35,   -.17,    .06,     35,   54.6,
       18,      00,   195612,   3.46,   42.8,    .04,   1.53,    .13,   1.52,      0,    700,    .21,    .43,    .73,    .82,    .32,    .37,    .12,   33.8,   51.8,
       18,      00,   195701,   2.81,   29.8,   -.14,   1.23,   -.43,    .92,      0,   1098,    -.2,   -.06,    .22,    .11,    .35,    .39,    .36,   21.4,   38.3,
       18,      00,   195702,   3.45,   38.1,    .19,   1.29,    .56,   1.19,      0,    761,    .53,    .18,    .23,     .6,    .64,    .35,    .41,   29.6,   46.5,
       18,      00,   195703,   2.92,   42.1,    -.3,    .86,   -.89,     .2,      0,    705,   -.53,   -.05,   -.19,    .44,    .55,    .15,    .22,   32.9,   51.3,
       18,      00,   195704,   3.02,   55.7,    -.6,    -.6,     -1,    -.6,      3,    286,   -.23,   -.62,   -.24,    .03,   -.05,    .18,    .22,   44.3,   67.2,
       18,      00,   195705,   1.81,   63.8,  -1.39,  -1.39,  -2.56,  -1.39,     65,     99,  -1.36,  -1.24,  -1.38,   -.78,   -.15,   -.06,    .14,   51.6,   76.1,
       18,      00,   195706,   3.68,   73.4,  -1.51,  -1.51,   -.76,  -1.51,    260,      0,      0,  -1.06,  -1.02,   -.93,   -.21,   -.09,   -.09,   62.7,   84.1,
       18,      00,   195707,   1.65,     75,  -2.42,  -2.42,   -3.2,  -2.42,    322,      0,  -1.97,  -1.36,  -1.75,  -1.48,  -1.04,   -.88,   -.14,   62.5,   87.6,
       18,      00,   195708,   2.79,   71.9,  -2.87,  -2.87,  -2.09,  -2.87,    229,      1,   -.71,  -1.61,  -1.52,  -1.93,   -1.5,   -.89,  -1.38,   59.8,   84.1,
       18,      00,   195709,   4.43,   68.5,    .03,  -2.54,     .1,  -2.43,    131,     26,     .6,   -.13,     -1,  -1.49,  -1.35,   -.73,   -.99,   58.9,   78.1,
       18,      00,   195710,   3.41,   52.1,    .12,  -2.19,    .27,  -1.91,      0,    402,    .24,    .53,   -.05,  -1.26,  -1.23,   -.95,  -1.02,   41.7,   62.6,
       18,      00,   195711,   3.41,     46,    .01,  -2.06,   -.29,  -1.84,      0,    577,    .38,    .29,    .52,   -.66,  -1.28,  -1.03,   -.83,   36.8,   55.2,
       18,      00,   195712,   5.74,   38.4,    .99,   -.87,   2.93,     .6,      0,    835,   1.58,   1.28,   1.09,   -.03,    -.5,   -.59,   -.22,   29.7,   47.1,
       18,      00,   195801,   3.72,   30.7,   1.12,   1.12,    .71,   1.12,      0,   1055,    .53,    1.4,   1.21,    .73,   -.36,   -.46,   -.07,     23,   38.3,
       18,      00,   195802,   3.78,     28,   1.47,   1.47,   1.38,   1.47,      0,   1037,    .77,    .83,   1.48,   1.29,     .2,   -.39,   -.07,     20,     36,
       18,      00,   195803,   5.71,   38.3,   2.24,   2.24,   2.78,   2.24,      0,    822,   1.37,   1.45,   1.38,   1.53,    .66,    .14,    .12,   30.8,   45.7,
       18,      00,   195804,   4.61,     53,   2.46,   2.46,   1.34,   2.46,      0,    353,    .91,   1.56,   1.62,   1.67,   1.37,    .37,    .33,   42.5,   63.6,
       18,      00,   195805,   4.21,   61.4,   2.34,   2.34,    .41,   2.34,     36,    141,    .36,    .82,   1.39,   1.84,   1.63,    .75,    .46,   50.4,   72.4,
       18,      00,   195806,   4.11,   67.7,   2.44,   2.44,   1.03,   2.44,    110,     24,    .28,    .35,    .71,   1.34,    1.5,    .83,    .51,   56.9,   78.5,
       18,      00,   195807,   6.35,   76.4,    3.1,    3.1,   2.73,    3.1,    354,      0,   1.31,   1.02,    .97,   1.74,   1.82,   1.59,    .52,   66.8,   85.9,
       18,      00,   195808,   6.53,   72.5,    3.8,    3.8,   3.06,    3.8,    239,      1,   1.13,   1.53,   1.41,   1.92,   2.16,   1.97,    .99,   62.4,   82.5,
       18,      00,   195809,   2.49,   65.7,    -.1,   3.31,    -.3,   3.14,     80,     55,   -.45,    .53,      1,   1.14,   1.56,   1.64,    .81,     54,   77.3,
       18,      00,   195810,   2.68,   55.4,   -.13,   2.93,   -.12,   2.65,      8,    304,    -.2,   -.64,    .29,    .78,   1.43,   1.63,    .58,   44.7,     66,
       18,      00,   195811,   2.57,   46.7,   -.12,   2.63,   -.01,   2.29,      0,    557,   -.17,   -.39,   -.68,    .64,   1.19,   1.57,    .43,   36.4,     57,
       18,      00,   195812,   1.83,   28.6,   -.47,   1.99,  -1.11,   1.17,      0,   1123,  -1.09,   -.87,   -.89,    .22,    .56,   1.04,    .28,   19.3,   37.9,
       18,      00,   195901,   2.26,   31.1,    -.8,   1.41,  -1.11,    .16,      0,   1056,   -.76,  -1.34,  -1.13,   -.59,    .12,     .8,     .2,     21,   41.2,
       18,      00,   195902,   1.97,   34.9,  -1.12,    .86,  -1.22,    -.8,      0,    851,   -.71,  -1.16,  -1.71,  -1.56,   -.17,     .5,    .04,   24.1,   45.7,
       18,      00,   195903,   2.91,     42,   -1.3,   -1.3,   -.89,   -1.3,      0,    716,   -.54,   -.92,  -1.31,  -1.63,   -.41,    .02,    .04,   30.1,   53.9,
       18,      00,   195904,    3.7,     55,  -1.19,  -1.19,   -.07,  -1.14,      3,    295,     .3,   -.25,   -.61,  -1.24,    -.8,   -.17,    .11,   43.4,   66.6,
       18,      00,   195905,   2.33,   65.9,  -1.84,  -1.84,  -2.32,  -1.84,    100,     64,   -.95,   -.54,    -.8,  -1.57,  -1.68,   -.54,    .13,   54.3,   77.6,
       18,      00,   195906,   2.85,   71.9,  -2.14,  -2.14,  -1.46,  -2.14,    217,      1,   -.64,  -1.24,   -.85,  -1.53,  -1.75,   -.79,    .01,   60.2,   83.5,
       18,      00,   195907,   6.38,   75.5,  -1.26,  -1.26,   1.97,   -.31,    336,      0,   1.33,    .58,   -.08,   -.47,   -.94,   -.72,    .63,   65.7,   85.3,
       18,      00,   195908,   4.56,   76.2,  -1.19,  -1.19,   -.19,    -.3,    356,      0,    .34,    .92,     .5,   -.14,   -.79,  -1.03,    .91,   66.3,   86.2,
       18,      00,   195909,   1.65,   69.3,  -1.88,  -1.88,  -2.44,  -1.88,    155,     17,   -1.2,   -.57,    .23,   -.36,   -.89,  -1.19,    .56,     58,   80.6,
       18,      00,   195910,   4.66,   58.9,     .3,  -1.39,    .91,   -.88,     22,    209,    .88,   -.08,    .03,   -.09,   -.41,   -.83,    .65,   49.1,   68.7,
       18,      00,   195911,   3.56,   43.8,    .42,  -1.09,    .45,   -.33,      0,    645,    .48,    .87,    .08,    .41,   -.07,   -.68,    .64,   33.8,   53.8,
       18,      00,   195912,   3.43,   38.3,    .52,   -.84,    .44,    .15,      0,    834,    .19,     .4,     .8,    .65,    .14,   -.37,    .41,   29.6,     47,
       18,      00,   196001,    2.7,   34.8,    .24,   -.98,   -.68,   -.28,      0,    942,    -.3,   -.14,    .16,   -.01,   -.06,   -.34,    .28,   27.3,   42.3,
       18,      00,   196002,    3.9,     35,    .69,    .69,    1.4,    .69,      0,    839,    .86,    .37,    .36,    .23,    .42,    .03,     .3,   26.6,   43.5,
       18,      00,   196003,   2.37,   31.6,   -.26,   -.26,   -.77,    .36,      0,   1024,   -.97,    -.1,    -.3,    .44,    .36,   -.05,   -.08,   22.4,   40.9,
       18,      00,   196004,   2.93,   57.1,   -.67,   -.67,  -1.33,   -.67,     10,    240,    -.3,   -.98,   -.32,   -.07,   -.19,   -.22,   -.27,   44.2,   70.1,
       18,      00,   196005,   5.82,   60.5,    .77,    .77,    2.3,    .77,     26,    165,    1.3,    .79,    .14,    .25,    .22,    .34,   -.14,   49.7,   71.2,
       18,      00,   196006,   2.54,   70.3,    .28,    .28,  -1.21,    -.4,    173,      7,   -.94,    .37,    .13,   -.14,    .35,    .24,   -.35,     59,   81.6,
       18,      00,   196007,   5.83,   72.9,    .98,    .98,   2.16,    .98,    256,      1,   1.05,    .23,    .81,    .39,    .37,    .22,   -.39,   62.1,   83.7,
       18,      00,   196008,   4.15,   75.1,    .84,    .84,    -.1,    .84,    321,      0,    .14,     .6,     .1,    .09,     .2,     .2,   -.65,   65.4,   84.8,
       18,      00,   196009,   6.48,   67.5,    1.8,    1.8,   3.15,    1.8,    112,     33,   1.36,   1.03,   1.27,   1.03,    .72,    .91,   -.11,   57.9,     77,
       18,      00,   196010,   2.61,   55.4,   1.62,   1.62,    .01,   1.55,      8,    304,   -.24,    .95,    .75,    .99,    .71,    .63,   -.14,   44.7,   66.1,
       18,      00,   196011,   1.77,     46,    1.2,    1.2,   -.77,    .69,      0,    574,   -.78,   -.79,     .4,    .34,     .3,    .36,   -.26,   34.7,   57.2,
       18,      00,   196012,    2.6,   28.2,      1,      1,   -.21,    .34,      0,   1154,   -.43,   -.89,   -.94,    .46,    .44,    .25,   -.16,   17.6,   38.8,
       18,      00,   196101,      3,   26.6,    .84,    .84,   -.19,    .05,      0,   1203,   -.03,   -.42,   -.79,      0,    .46,    .25,   -.08,   17.1,   36.1,
       18,      00,   196102,   4.84,   35.8,   1.63,   1.63,   2.63,   1.63,      0,    828,   1.48,    .99,    .52,    .57,    .45,    .44,    .25,   26.5,   45.1,
       18,      00,   196103,   4.36,   44.3,   1.65,   1.65,    .57,   1.65,      0,    645,    .51,   1.32,   1.04,    .07,    .86,    .77,    .41,   34.2,   54.4,
       18,      00,   196104,   4.35,   48.6,   2.03,   2.03,   1.64,   2.03,      0,    491,    .74,    .81,   1.42,    .44,    .71,    .98,    .48,   38.6,   58.6,
       18,      00,   196105,   3.63,     59,   1.86,   1.86,    .12,   1.85,     18,    195,   -.02,    .45,    .61,    .67,    .72,    .57,    .62,   48.3,   69.7,
       18,      00,   196106,   4.48,   69.9,   2.05,   2.05,   1.15,   2.05,    169,      7,     .5,    .26,    .55,      1,     .3,    .94,    .82,   58.8,     81,
       18,      00,   196107,   3.53,   75.2,    -.1,   1.74,   -.31,   1.53,    322,      0,   -.32,    .08,   -.05,    .85,    .27,    .53,    .51,     65,   85.4,
       18,      00,   196108,   3.92,   73.7,    -.2,   1.45,   -.32,   1.03,    276,      0,    .02,   -.32,   -.09,    .24,     .4,    .51,    .53,   63.7,   83.6,
       18,      00,   196109,   1.57,   71.7,  -1.08,  -1.08,  -2.69,  -1.08,    217,      5,   -1.3,   -.93,   -.94,   -.35,    .15,   -.26,    .47,   60.9,   82.4,
       18,      00,   196110,   3.36,   56.8,  -1.07,  -1.07,   -.32,  -1.07,     12,    261,    .21,   -.77,   -.72,   -.55,     .2,   -.16,    .29,   44.3,   69.3,
