StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       19,      00,   195601,      5,   26.3,   3.33,   3.33,   1.46,   2.66,      0,   1168,    .98,   -.66,   -.05,   2.47,   1.61,   1.63,   1.67,   19.7,   32.9,
       19,      00,   195602,   4.25,     28,   3.46,   3.46,    1.4,   3.24,      0,   1010,    .82,   1.23,    -.2,   1.19,   2.24,   1.76,   1.86,   19.6,   36.4,
       19,      00,   195603,   5.77,   29.3,   3.89,   3.89,   2.38,   3.89,      0,   1080,   1.04,    1.2,   1.49,   1.74,   2.68,    1.9,   2.09,   20.6,   37.9,
       19,      00,   195604,   3.68,   41.3,   3.57,   3.57,    .22,   3.57,      0,    692,    .01,    .71,    .95,     .6,   3.09,   1.92,    1.9,   31.2,   51.4,
       19,      00,   195605,   2.01,   51.8,   -.45,   2.75,  -1.34,   2.16,      0,    401,  -1.08,   -.72,    .03,   -.12,    .93,   2.04,   1.44,   39.2,   64.3,
       19,      00,   195606,   2.61,   65.7,   -.85,   2.02,  -1.35,    .86,     72,     41,   -.48,  -1.36,     -1,    .38,    .87,   2.01,   1.41,   53.7,   77.7,
       19,      00,   195607,   3.75,   67.4,   -.68,    1.9,    .27,    .83,    110,     18,    .21,    -.3,   -.87,    .01,   -.08,   2.15,   1.55,   56.7,     78,
       19,      00,   195608,   1.78,   67.4,  -1.38,    .93,  -2.33,   -.98,    118,     24,  -1.65,   -.96,  -1.14,   -.82,   -.82,    .22,   1.16,   55.8,   78.9,
       19,      00,   195609,   4.79,   56.9,    -.9,   1.17,   1.01,    -.3,      3,    221,    .63,   -.31,   -.27,   -.94,    .02,    .53,    .82,   46.7,   67.2,
       19,      00,   195610,   2.56,   49.8,  -1.14,    .72,   -.99,   -.99,      0,    451,   -.48,     .1,   -.59,  -1.18,   -.45,   -.43,    .79,   37.1,   62.5,
       19,      00,   195611,   3.78,   40.5,  -1.22,  -1.22,   -.59,  -1.22,      0,    704,   -.07,   -.43,   -.04,   -.81,   -.69,    -.7,    .62,   30.1,   50.9,
       19,      00,   195612,   5.13,   31.9,    -.6,    -.6,   1.47,    .39,      0,    996,     .8,    .48,    .02,    -.2,   -.73,    .04,    .65,   23.7,   40.1,
       19,      00,   195701,   2.31,   18.3,  -1.04,  -1.04,  -1.51,   -.88,      0,   1417,   -.84,    .08,      0,   -.52,     -1,   -.42,    .77,    7.6,   28.9,
       19,      00,   195702,   1.37,   30.2,  -1.78,  -1.78,  -2.54,  -1.78,      0,    949,   -1.8,  -1.97,   -.82,   -.58,  -1.13,   -.96,     .5,   20.7,   39.7,
       19,      00,   195703,   2.66,   35.7,  -2.09,  -2.09,  -1.48,  -2.09,      0,    888,   -.74,  -1.83,  -2.72,  -1.26,   -1.2,  -1.54,    .32,   26.4,   45.1,
       19,      00,   195704,   3.42,   47.5,  -2.19,  -2.19,   -.95,  -2.19,      0,    518,   -.16,   -.73,  -1.42,  -1.04,  -1.21,   -1.5,    .22,   35.9,   59.1,
       19,      00,   195705,    3.1,   56.4,  -2.23,  -2.23,   -.79,  -2.23,      4,    260,   -.26,   -.33,   -.79,  -1.16,   -.93,  -1.29,    .39,   43.9,   68.8,
       19,      00,   195706,   2.07,     68,  -2.72,  -2.72,  -2.15,  -2.72,    115,     17,   -.94,    -.9,   -.88,  -2.17,  -1.47,  -1.35,    .28,   55.7,   80.2,
       19,      00,   195707,   1.95,   69.4,  -3.21,  -3.21,  -2.32,  -3.21,    164,      5,  -1.59,  -1.83,  -1.53,  -2.17,   -1.7,  -1.64,    .29,     57,   81.7,
       19,      00,   195708,    2.2,   65.1,  -3.58,  -3.58,  -2.09,  -3.58,     75,     50,   -1.1,  -2.04,  -2.18,   -1.8,  -1.97,  -1.56,   -.91,   52.7,   77.5,
       19,      00,   195709,   1.61,   61.8,  -4.14,  -4.14,  -2.77,  -4.14,     28,    100,  -1.28,  -1.82,  -2.75,  -2.17,  -2.75,  -2.14,  -1.06,   49.6,   73.9,
       19,      00,   195710,    2.4,   49.5,  -4.36,  -4.36,  -1.96,  -4.36,      0,    457,   -.59,  -1.56,  -2.07,  -2.51,  -2.87,  -2.38,  -1.71,   38.2,   60.7,
       19,      00,   195711,    4.7,   42.2,  -4.18,  -4.18,    -.8,  -4.18,      0,    658,    .45,   -.13,   -.86,  -2.17,  -2.06,  -2.33,  -1.75,     33,   51.5,
       19,      00,   195712,   6.15,   34.7,    .73,  -3.02,   2.18,  -2.13,      0,    908,   1.33,   1.19,    .56,   -.89,  -1.25,  -2.04,  -1.19,   26.4,   42.9,
       19,      00,   195801,   7.16,   25.9,   1.93,  -1.43,   3.84,    .94,      0,   1169,   1.94,   2.27,   2.05,    .38,   -.45,  -1.07,   -.95,     18,   33.8,
       19,      00,   195802,   3.13,   20.6,   1.69,  -1.33,   -.13,    .87,      0,   1212,      0,   1.67,    2.2,    .72,   -.44,   -.78,  -1.06,   11.7,   29.6,
       19,      00,   195803,   3.49,   35.7,   1.33,  -1.37,   -.54,    .54,      0,    887,   -.16,   -.16,   1.14,   1.13,   -.21,   -.61,  -1.26,   28.7,   42.7,
       19,      00,   195804,   6.24,   46.2,   2.07,   2.07,   2.62,   2.07,      0,    558,   1.42,    .81,    .67,   1.92,    .54,   -.18,     -1,   35.7,   56.6,
       19,      00,   195805,   3.73,   52.9,   1.97,   1.97,    .34,   1.97,      0,    365,    .16,   1.06,    .71,   1.93,    .92,    -.1,   -.88,   42.1,   63.6,
       19,      00,   195806,   2.09,   60.3,   1.37,   1.37,  -1.19,    .75,     12,    138,   -.92,   -.49,    .38,    .98,   1.01,   -.12,   -.94,   49.3,   71.4,
       19,      00,   195807,   4.76,   69.5,   1.72,   1.72,   1.46,    1.7,    158,      7,     .8,   -.08,   -.02,    .35,   1.44,    .36,   -.88,   59.8,   79.1,
       19,      00,   195808,   4.27,   67.6,   1.79,   1.79,    .77,   1.79,    122,     22,     .4,    .69,    .01,    .39,   1.51,    .69,   -.58,   56.8,   78.4,
       19,      00,   195809,   5.27,   60.1,   2.16,   2.16,   1.66,   2.16,     13,    143,    .82,    .74,    .95,    .84,   1.31,   1.23,   -.52,   49.6,   70.6,
       19,      00,   195810,   3.34,   48.2,   2.15,   2.15,    .62,   2.15,      0,    498,   -.01,    .52,    .54,    .26,    .53,   1.36,   -.44,   37.6,   58.7,
       19,      00,   195811,    3.7,   40.8,    -.1,   1.83,   -.29,   1.63,      0,    699,   -.11,   -.15,    .32,    .19,    .48,   1.31,   -.45,   31.6,     50,
       19,      00,   195812,   1.64,   20.7,   -.84,    .88,  -2.27,    -.4,      0,   1339,  -1.55,  -1.07,   -.91,    .07,    .19,    .62,   -.81,   11.3,   30.2,
       19,      00,   195901,    3.1,   23.6,   -.97,    .58,   -.64,   -.93,      0,   1247,   -.17,   -1.4,  -1.14,   -.28,   -.33,   -.02,   -.73,     14,   33.3,
       19,      00,   195902,      3,   22.5,   -.97,   -.97,   -.31,   -.97,      0,   1164,    -.1,   -.33,  -1.31,   -.55,   -.48,   -.07,   -.58,   11.7,   33.4,
       19,      00,   195903,   4.97,   33.1,   -.41,   -.41,   1.39,    .46,      0,    963,    .67,    .44,    .23,   -.67,    .05,    .19,   -.35,   23.1,   43.1,
       19,      00,   195904,   3.93,   46.3,   -.42,   -.42,   -.17,   -.42,      0,    553,    .17,    .49,    .33,   -.55,    -.2,   -.24,   -.31,     35,   57.5,
       19,      00,   195905,   1.49,   59.1,  -1.33,  -1.33,  -2.86,  -1.33,     15,    189,  -1.52,   -.85,   -.35,  -1.12,   -.68,   -.62,   -.47,   46.2,   71.9,
