StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       20,      00,   195601,    .72,   19.8,   -3.3,   -3.3,  -2.09,   -3.3,      0,   1329,  -2.06,  -1.71,   -.96,   -.75,  -1.21,  -1.23,   -.06,   12.1,   27.5,
       20,      00,   195602,   1.41,   20.4,  -3.02,  -3.02,   -.19,  -3.02,      0,   1157,   -.11,  -1.34,  -1.39,  -1.08,  -1.14,  -1.22,   -.27,   10.9,   29.9,
       20,      00,   195603,   1.99,   25.3,      0,  -2.71,    .01,  -2.64,      0,   1115,   -.03,   -.14,  -1.03,   -.37,   -.85,  -1.22,   -.43,   15.4,   35.3,
       20,      00,   195604,   3.25,   39.6,     .6,  -1.83,    1.8,   -.96,      0,    668,    .73,     .5,    .36,    -.5,   -.53,   -.96,   -.63,   28.8,   50.4,
       20,      00,   195605,   4.24,   51.4,   1.41,   -.77,   2.61,   1.15,     15,    341,    1.1,   1.22,   1.07,   -.06,   -.33,   -.51,   -.31,   39.1,   63.7,
       20,      00,   195606,   3.03,   65.4,    .96,     -1,   -.92,    .47,    126,     42,   -.17,     .6,    .83,    .05,    .25,   -.33,   -.63,     53,   77.8,
       20,      00,   195607,   3.84,   65.1,   1.63,   1.63,   2.31,   1.63,    131,     29,    .87,     .4,    .97,    .93,    .14,   -.02,   -.36,   54.2,   75.9,
       20,      00,   195608,      4,   65.4,   2.09,   2.09,   1.87,   2.09,    129,     39,     .9,   1.24,    .88,   1.62,    .41,    .07,    .09,   54.6,   76.1,
       20,      00,   195609,   1.54,   55.1,   -.72,   1.15,  -2.17,    .09,      9,    220,  -1.73,   -.56,   -.07,     .5,   -.07,    .17,   -.35,   43.5,   66.7,
       20,      00,   195610,    .61,   52.3,  -1.99,  -1.99,  -4.01,  -1.99,     10,    337,  -2.32,  -2.49,  -1.62,   -.67,   -.41,   -.79,  -1.39,   39.7,     65,
       20,      00,   195611,   2.36,   35.1,  -2.47,  -2.47,  -2.05,  -2.47,      0,    824,   -.21,  -1.82,   -2.4,  -1.12,   -.44,   -.96,  -1.37,   27.5,   42.7,
       20,      00,   195612,   1.54,   26.5,  -2.93,  -2.93,  -2.16,  -2.93,      0,   1064,   -.67,   -.58,  -1.74,  -1.19,   -.58,   -.95,  -1.31,   19.9,   33.1,
       20,      00,   195701,   1.36,   13.8,  -2.94,  -2.94,   -.91,  -2.94,      0,   1482,   -.64,   -.97,   -.82,  -1.59,   -.96,   -.74,  -1.28,    5.7,   21.9,
       20,      00,   195702,   1.25,   22.6,  -2.81,  -2.81,   -.54,  -2.81,      0,   1072,   -.39,   -.76,   -.99,  -2.07,  -1.37,    -.8,  -1.33,   13.3,   31.9,
       20,      00,   195703,   1.29,   29.5,     -3,     -3,  -1.43,     -3,      0,    986,   -.95,  -1.01,  -1.24,  -1.99,  -1.49,   -.97,   -1.4,     19,     40,
       20,      00,   195704,   3.26,   43.6,    .31,  -2.38,    .93,  -1.94,      0,    560,    .74,   -.07,   -.24,   -.78,  -1.55,   -.97,   -1.2,   33.1,     54,
       20,      00,   195705,   3.57,   52.7,    .66,  -1.75,   1.16,   -.79,     16,    331,    .49,     .8,    .21,   -.46,  -1.71,   -1.1,  -1.08,   41.2,   64.1,
       20,      00,   195706,   3.77,   63.8,    .83,  -1.33,    .71,   -.08,    106,     56,    .56,    .65,    .87,   -.01,  -1.05,   -.89,   -.83,   52.4,   75.2,
       20,      00,   195707,   3.54,   68.4,   1.29,   -.66,   1.62,   1.17,    182,     13,    .54,    .74,    .82,    .34,   -.18,   -.98,    -.7,   56.2,   80.7,
       20,      00,   195708,   2.26,     65,    .73,  -1.01,  -1.27,    .27,    117,     45,   -.88,    -.3,   -.02,    .06,    -.4,  -1.47,   -.92,   52.8,   77.1,
       20,      00,   195709,   3.15,   56.9,    .58,   -.98,   -.21,    .19,     17,    176,    -.1,   -.65,   -.31,    .35,   -.29,  -1.13,   -.63,   45.6,   68.2,
       20,      00,   195710,   2.73,   45.8,    .64,   -.77,    .33,    .45,      0,    545,    .05,   -.14,   -.55,    .04,   -.09,   -.44,   -.85,   35.1,   56.5,
       20,      00,   195711,   3.39,   34.8,    1.1,    1.1,   1.59,    1.1,      0,    827,     .9,    .57,    .33,    .22,    .29,   -.14,   -.73,     28,   41.7,
       20,      00,   195712,   2.05,   26.6,   1.16,   1.16,    .51,   1.16,      0,   1072,    .08,    .67,    .45,    .05,    .52,    .03,   -.64,     19,   34.1,
       20,      00,   195801,   1.22,   20.4,   -.35,    .69,  -1.05,   -.08,      0,   1317,   -.89,   -.59,     .1,    -.4,    .09,   -.03,   -.52,     13,   27.8,
       20,      00,   195802,    .83,   15.9,    -.8,    -.8,  -1.46,    -.8,      0,   1297,  -1.22,  -1.45,  -1.03,   -.41,   -.35,   -.19,   -.63,    7.5,   24.4,
       20,      00,   195803,    .57,   30.9,  -1.69,  -1.69,  -2.91,  -1.69,      0,    981,  -1.95,  -2.28,  -2.68,     -1,    -.9,   -.39,    -.9,   22.6,   39.2,
       20,      00,   195804,   1.78,   44.1,  -2.17,  -2.17,  -1.98,  -2.17,      0,    547,   -.93,  -2.01,  -2.38,  -1.29,  -1.31,   -.82,  -1.13,   31.4,   56.8,
       20,      00,   195805,   1.61,   52.5,  -2.69,  -2.69,  -2.22,  -2.69,     21,    303,  -1.73,     -2,  -2.61,  -2.46,  -1.54,   -1.3,  -1.48,   38.3,   66.8,
       20,      00,   195806,   3.23,   58.6,    .21,   -2.2,    .63,  -1.88,     31,    148,    .03,  -1.12,   -1.4,  -2.27,  -1.58,  -1.42,  -1.43,     46,   71.1,
       20,      00,   195807,   3.62,   66.6,    .75,  -1.41,   1.69,   -.33,    158,     20,    .63,    .39,   -.64,  -1.64,  -1.37,  -1.41,  -1.47,   55.2,     78,
       20,      00,   195808,   3.44,   65.7,    .89,  -1.05,    .65,     .3,    131,     37,    .36,    .65,    .46,  -1.33,  -1.59,  -1.14,  -1.63,   53.1,   78.4,
       20,      00,   195809,   3.19,   58.5,   -.09,  -1.03,   -.26,    .18,     25,    147,   -.07,    .16,     .4,   -.76,  -1.67,  -1.22,   -1.5,   47.7,   69.3,
