StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       21,      00,   195601,    .82,    7.7,  -2.15,  -2.15,    -.5,  -2.15,      0,   1739,    .35,    .42,    .12,    -.5,   -.28,   -.34,   -.58,   -2.2,   17.6,
       21,      00,   195602,    .32,    8.3,  -2.34,  -2.34,  -1.24,  -2.34,      0,   1541,  -1.24,   -.55,   -.21,   -.68,   -.13,   -.58,   -.68,   -4.2,   20.9,
       21,      00,   195603,   1.37,   20.3,  -2.24,  -2.24,   -.41,  -2.24,      0,   1338,    .29,   -.35,   -.28,   -.49,    .21,   -.46,   -.68,    9.7,   30.9,
       21,      00,   195604,   1.66,   36.4,  -1.92,  -1.92,    .26,  -1.74,      0,    805,   -.42,   -.28,   -.63,   -.42,   -.79,    -.5,   -.89,   25.5,   47.2,
       21,      00,   195605,    3.1,     53,  -1.59,  -1.59,    .39,  -1.17,     17,    351,   -.02,   -.28,    -.2,    -.3,   -.76,   -.27,     -1,   40.8,   65.2,
       21,      00,   195606,    3.5,   68.2,  -1.95,  -1.95,  -1.55,  -1.95,    147,     48,   -.46,    -.4,   -.53,   -.61,   -.82,   -.28,  -1.05,   56.1,   80.3,
       21,      00,   195607,   3.79,   65.4,  -1.38,  -1.38,   1.09,    -.8,     97,     71,     .3,   -.25,   -.29,   -.53,   -.49,    -.8,   -.87,   54.2,   76.5,
       21,      00,   195608,    4.5,   65.7,   -.58,   -.58,   1.97,    .94,    108,     63,    .92,    .71,    .26,   -.01,   -.09,   -.44,   -.57,     54,   77.4,
       21,      00,   195609,   1.07,   53.9,  -1.19,  -1.19,  -2.02,   -.58,      5,    308,  -1.72,   -.36,   -.21,   -.58,   -.65,   -.78,  -1.01,   41.1,   66.8,
       21,      00,   195610,   1.52,   51.2,  -1.59,  -1.59,  -1.54,  -1.53,      8,    401,    -.3,  -1.49,   -.56,   -.63,   -.78,   -.76,  -1.08,   38.3,   64.1,
       21,      00,   195611,   1.68,   29.3,  -1.32,  -1.32,    .32,  -1.03,      0,   1046,    .64,    .05,     -1,    -.5,   -.54,    -.6,   -.84,   21.1,   37.5,
