StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       22,      00,   195601,   2.69,   42.8,  -2.95,  -2.95,     -2,  -2.95,      5,    681,  -1.24,  -1.91,  -1.58,  -1.94,  -1.35,   -.71,  -2.14,   31.6,   53.9,
       22,      00,   195602,   8.92,   53.3,  -1.67,  -1.67,   2.92,   -.41,     21,    339,   1.68,    .52,   -.25,  -1.02,   -.75,   -.39,  -1.52,   42.9,   63.7,
       22,      00,   195603,   5.91,   54.8,  -1.52,  -1.52,   -.07,   -.29,     22,    331,    .11,   1.23,    .38,   -.57,   -.55,   -.22,  -1.18,   42.4,   67.2,
       22,      00,   195604,   5.32,   62.3,  -1.27,  -1.27,    .27,    .05,     45,    120,    .21,    .15,    .94,   -.23,   -.82,   -.56,  -1.02,   50.2,   74.4,
       22,      00,   195605,   2.99,   74.4,  -1.77,  -1.77,  -1.88,  -1.13,    295,      3,    -.7,    -.3,   -.21,   -.35,    -.9,   -.74,  -1.28,   62.8,   85.9,
       22,      00,   195606,   4.47,   76.7,  -1.44,  -1.44,    .43,   -.63,    351,      0,     .3,   -.33,   -.13,    .11,   -.55,   -.55,     -1,   65.5,   87.9,
       22,      00,   195607,    3.7,   81.5,  -1.79,  -1.79,  -1.49,  -1.39,    507,      0,   -.73,   -.27,   -.71,    .32,   -.52,   -.97,  -1.03,   69.6,   93.4,
       22,      00,   195608,   2.84,   80.8,  -2.14,  -2.14,  -1.59,  -2.14,    488,      0,   -.78,  -1.11,   -.72,   -.65,   -.65,  -1.08,   -.89,   67.7,     94,
       22,      00,   195609,   1.91,   73.3,  -2.48,  -2.48,   -1.7,  -2.48,    257,      6,   -.83,  -1.32,  -1.43,  -1.04,   -.55,  -1.03,    -.9,   58.6,   87.9,
       22,      00,   195610,   3.43,   66.1,  -2.22,  -2.22,    .01,  -2.15,    114,     75,    .39,   -.29,   -.67,  -1.07,   -.12,   -.79,   -.81,   52.9,   79.4,
       22,      00,   195611,   2.09,   52.4,  -2.61,  -2.61,  -1.84,  -2.61,      5,    376,  -1.03,   -.45,   -.78,  -1.13,  -1.03,   -.97,   -.92,   38.8,   65.9,
       22,      00,   195612,   6.36,   54.1,  -2.34,  -2.34,      0,  -2.28,     23,    351,    .51,   -.31,   -.16,   -.98,    -.9,   -.55,   -.75,   42.5,   65.7,
       22,      00,   195701,   5.49,   47.4,  -2.07,  -2.07,    .09,  -1.91,     20,    543,    .23,    .44,   -.17,   -.62,   -.92,   -.18,   -.66,   37.6,   57.2,
       22,      00,   195702,   4.17,   55.9,  -2.32,  -2.32,  -1.39,  -2.32,     35,    278,    -.3,   -.11,    .12,   -.54,   -.84,   -.84,   -.86,     46,   65.8,
       22,      00,   195703,   4.27,   53.5,  -2.52,  -2.52,  -1.32,  -2.52,     17,    363,   -.65,   -.77,   -.56,   -.54,  -1.08,  -1.03,   -.86,   42.1,   64.9,
       22,      00,   195704,   6.06,   65.4,    .16,   -2.1,    .47,  -1.84,     85,     70,    .48,   -.11,   -.33,   -.36,   -.72,   -.96,  -1.01,   53.7,     77,
       22,      00,   195705,   4.11,   72.5,   -.21,  -2.09,   -.62,  -2.03,    242,      7,   -.11,    .25,   -.15,   -.09,   -.54,   -.77,  -1.05,   61.3,   83.6,
       22,      00,   195706,    7.6,   78.7,   1.15,   -.73,   3.45,    .92,    411,      0,   1.61,    .97,    .92,    .33,    .13,   -.38,   -.63,   68.7,   88.8,
       22,      00,   195707,   3.75,   80.7,    .85,   -.84,   -.55,     .5,    489,      0,   -.69,    .89,    .57,     .1,   -.07,   -.36,   -.95,   69.7,   91.8,
       22,      00,   195708,   2.02,   79.5,    .31,   -1.2,  -1.35,   -.41,    448,      0,  -1.63,  -1.44,     .1,   -.15,   -.08,   -.47,   -1.1,   67.4,   91.5,
       22,      00,   195709,   8.99,   73.1,   2.06,   2.06,   5.33,   2.06,    253,      6,   2.21,   1.38,    .78,   1.15,    .58,    .36,    -.4,   63.9,   82.2,
       22,      00,   195710,   3.88,   60.4,   2.47,   2.47,   1.89,   2.47,     37,    176,    .58,   1.82,   1.24,   1.24,    .66,    .43,   -.19,   49.6,     71,
       22,      00,   195711,  10.08,   54.7,   3.71,   3.71,   4.48,   3.71,     12,    312,      2,   1.78,   2.45,    2.3,   1.54,   1.27,     .3,     45,   64.4,
       22,      00,   195712,    3.7,   49.4,   2.83,   2.83,  -1.49,   2.19,      8,    490,   -.79,    1.2,   1.21,   1.34,   1.53,   1.02,     .4,   37.6,   61.1,
       22,      00,   195801,   3.69,   40.4,   2.18,   2.18,  -1.07,   1.08,      1,    756,   -.65,  -1.07,    .65,   1.23,   1.24,    .83,    .44,   29.6,   51.2,
       22,      00,   195802,    3.4,   39.7,   1.59,   1.59,  -1.11,    .06,      0,    701,   -.74,  -1.08,  -1.36,   1.28,   1.14,    .75,   -.01,   28.7,   50.6,
       22,      00,   195803,    5.8,   50.3,    1.5,    1.5,    .22,    .09,      8,    452,    .07,   -.52,   -.84,     .3,    .56,    .91,   -.05,   40.1,   60.5,
       22,      00,   195804,   6.99,   63.6,    1.8,    1.8,   1.37,    .88,     61,     97,    .79,    .55,    .07,    .45,    .97,   1.03,    .13,   52.1,   75.2,
       22,      00,   195805,   5.72,   71.6,   1.92,   1.92,     .9,   1.27,    215,     10,     .6,    .88,    .73,   -.27,   1.24,   1.16,    .36,   60.3,   82.9,
       22,      00,   195806,   5.83,   78.2,   2.35,   2.35,   1.89,   2.21,    395,      0,    .93,    .93,   1.05,    .29,    .79,    .95,    .44,   67.5,   88.9,
       22,      00,   195807,   7.53,   80.3,   3.07,   3.07,   2.88,   3.07,    473,      0,   1.43,   1.48,    1.4,     .9,    .98,   1.34,    .73,   70.2,   90.5,
       22,      00,   195808,    3.5,   79.3,   3.11,   3.11,   1.08,   3.11,    444,      0,   -.24,    .89,    1.2,   1.17,    .24,   1.52,    .78,   68.1,   90.5,
       22,      00,   195809,   8.25,   75.9,   4.45,   4.45,   4.99,   4.45,    332,      2,      2,   1.61,   2.08,   1.99,   1.17,   1.45,   1.22,   65.6,   86.1,
       22,      00,   195810,   1.63,   63.1,   -.11,   3.88,   -.33,    3.7,     70,    122,   -.58,    1.1,    .87,   1.64,   1.19,   1.19,   1.08,   50.7,   75.6,
       22,      00,   195811,   3.36,   55.7,    -.4,   3.18,   -.91,   2.59,     16,    284,    -.2,   -.65,    .66,    1.2,   1.26,    .49,   1.18,   43.2,   68.2,
