StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       23,      00,   195601,    .85,     28,  -4.14,  -4.14,  -2.34,  -4.14,      0,   1170,  -1.09,  -3.01,  -2.77,  -1.69,  -1.25,  -1.23,  -1.47,   17.9,   38.2,
       23,      00,   195602,   2.84,     35,  -3.74,  -3.74,   -.08,  -3.71,      0,    873,    .86,   -.16,  -1.39,   -1.3,  -1.28,  -1.32,  -1.38,   25.2,   44.8,
       23,      00,   195603,    .79,   44.2,  -4.38,  -4.38,  -3.07,  -4.38,      3,    670,  -2.56,   -.95,  -1.46,  -2.02,  -1.91,  -1.65,  -1.48,     31,   57.3,
       23,      00,   195604,   2.76,   52.8,  -4.21,  -4.21,   -.84,  -4.21,      2,    386,   -.77,  -2.48,   -1.4,  -2.72,  -2.16,   -1.6,  -1.49,   39.6,     66,
       23,      00,   195605,   4.77,   67.9,  -3.92,  -3.92,   -.45,  -3.92,    145,     67,    .08,   -.44,  -1.24,  -1.88,  -1.77,  -1.66,  -1.55,   56.2,   79.6,
       23,      00,   195606,   3.38,   73.9,   -3.9,   -3.9,  -1.14,   -3.9,    279,      6,   -.63,   -.43,   -.72,  -1.26,  -1.81,  -1.86,  -1.61,   62.3,   85.5,
       23,      00,   195607,   5.55,   77.1,  -2.75,  -2.75,   2.26,  -1.81,    369,      0,   1.03,    .27,    .14,   -.49,  -1.39,  -1.42,  -1.13,   65.6,   88.6,
       23,      00,   195608,   3.15,   77.9,  -2.57,  -2.57,   -.32,  -1.73,    391,      1,   -.34,    .56,    .01,   -.82,  -1.18,  -1.38,  -1.31,   65.2,   90.6,
       23,      00,   195609,    .95,   69.5,  -3.25,  -3.25,  -2.84,  -3.25,    167,     39,  -2.26,  -1.75,   -.56,   -.95,   -1.4,  -1.89,  -1.48,   53.6,   85.5,
       23,      00,   195610,   1.47,   62.6,  -3.88,  -3.88,  -2.88,  -3.88,     64,    144,  -1.09,  -2.01,     -2,  -1.02,  -1.47,  -2.23,  -2.12,   48.2,   76.9,
       23,      00,   195611,   2.28,   42.9,  -4.06,  -4.06,  -1.73,  -4.06,      0,    676,   -.25,  -1.07,   -1.8,  -1.24,  -1.64,  -1.91,  -1.83,   31.4,   54.4,
       23,      00,   195612,   2.55,   36.9,  -3.98,  -3.98,  -1.01,  -3.98,      0,    904,    .33,   -.04,   -.74,   -.96,  -1.16,   -1.6,  -1.89,   27.3,   46.5,
       23,      00,   195701,   2.02,   25.7,  -3.71,  -3.71,   -.42,  -3.71,      0,   1249,    .19,     .2,   -.08,  -1.48,   -.97,  -1.33,  -1.73,   16.6,   34.9,
       23,      00,   195702,   2.74,   39.2,     .3,  -3.02,    .91,  -2.61,      0,    746,    .78,    .49,    .44,  -1.21,   -.92,  -1.36,  -1.83,   29.8,   48.5,
       23,      00,   195703,    2.9,   42.2,    .19,   -2.8,   -.25,  -2.43,      0,    729,   -.11,    .32,    .23,   -.55,   -.81,  -1.07,  -1.73,   31.6,   52.7,
       23,      00,   195704,   6.83,   54.7,   1.35,  -1.33,   3.53,    .45,      7,    337,   1.61,   1.07,    1.2,    .73,   -.57,   -.39,  -1.25,   45.2,   64.2,
       23,      00,   195705,   7.84,   64.7,   2.28,   2.28,   3.21,   2.28,     93,    115,   1.53,   2.06,   1.58,    1.5,    .17,    .12,  -1.01,   53.7,   75.6,
       23,      00,   195706,   6.59,   72.9,   2.72,   2.72,   2.04,   2.72,    242,     11,   1.05,    1.7,   2.19,   1.68,   1.09,    .62,   -.84,   62.6,   83.2,
       23,      00,   195707,   3.36,   78.8,   2.45,   2.45,    .01,   2.39,    430,      0,   -.11,    .61,    1.2,   1.53,   1.24,    .25,   -.83,   67.6,   89.9,
       23,      00,   195708,    2.2,   76.3,   1.75,   1.75,  -1.34,   1.06,    355,      4,  -1.08,   -.92,    .04,   1.15,   1.15,     .1,   -.86,   64.1,   88.5,
       23,      00,   195709,   3.07,   65.7,   1.37,   1.37,   -.59,    .41,     99,     87,   -.33,  -1.05,   -.98,   1.02,    .93,    .49,   -.88,   53.5,   77.8,
       23,      00,   195710,   3.53,   53.4,   1.39,   1.39,    .47,     .6,      7,    374,    .35,   -.11,   -.67,     .5,    .97,    .78,   -.94,   41.7,   65.2,
       23,      00,   195711,   3.62,   41.6,   1.51,   1.51,     .8,      1,      0,    718,    .55,    .54,    .07,    .06,    .94,    .98,   -.59,   32.2,     51,
       23,      00,   195712,   3.37,   39.1,   1.84,   1.84,   1.44,   1.79,      0,    826,    .89,    .82,    .76,   -.19,    1.2,   1.12,   -.25,   28.9,   49.2,
       23,      00,   195801,   1.54,     30,   1.61,   1.61,   -.12,   1.43,      0,   1108,   -.22,    .39,    .52,   -.24,    .62,   1.02,   -.19,   20.8,   39.3,
       23,      00,   195802,   1.54,   25.3,   1.33,   1.33,   -.32,    .94,      0,   1140,   -.42,   -.58,   -.01,   -.01,      0,    .86,   -.32,     15,   35.7,
       23,      00,   195803,   4.06,   36.7,   1.75,   1.75,   1.66,   1.75,      0,    887,    .66,     .3,      0,    .52,   -.26,    1.1,   -.03,   29.3,     44,
