StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       24,      00,   195601,   1.25,   14.9,   1.87,   1.87,    1.1,   1.87,      0,   1461,    .03,   1.33,   1.57,    .13,    .54,    .82,   -.07,    5.4,   24.5,
       24,      00,   195602,    .88,   16.6,   2.01,   2.01,   1.02,   2.01,      0,   1321,   -.37,   -.29,   1.05,    .63,    .19,    .66,   -.11,    5.5,   27.7,
       24,      00,   195603,    .98,   29.1,   2.17,   2.17,   1.09,   2.17,      0,   1121,   -.73,   -.84,   -.64,    .96,    .37,    .52,   -.29,   17.8,   40.4,
       24,      00,   195604,    1.2,     38,   2.04,   2.04,    .29,   2.04,      0,    806,   -.61,   -.99,  -1.08,    .78,   -.38,     .2,   -.31,   25.1,   50.9,
       24,      00,   195605,   2.23,   51.2,   -.06,   1.77,   -.18,   1.62,      1,    468,   -.12,   -.45,    -.7,    .08,    .06,   -.25,   -.12,   39.4,     63,
       24,      00,   195606,   1.92,   61.5,   -.68,    .96,  -1.87,   -.11,     36,    232,    -.9,   -.78,   -.96,  -1.16,   -.13,   -.39,   -.43,   46.9,   76.1,
       24,      00,   195607,   1.79,   65.1,   -.52,    .95,    .25,   -.01,     68,    108,     .5,   -.45,    -.5,   -.95,    .14,   -.63,    -.2,   50.5,   79.8,
       24,      00,   195608,   1.98,   62.1,      0,   1.32,    1.4,    .92,     31,    180,   1.01,    .92,    .05,   -.45,    .05,    .02,   -.34,   47.4,   76.8,
       24,      00,   195609,    .66,   54.9,   -.58,    .61,  -1.73,   -.51,     10,    344,  -1.11,    .01,    .23,   -.65,   -.88,   -.04,    -.7,   39.7,     70,
       24,      00,   195610,    .99,   43.8,   -.74,   -.74,   -.66,   -.74,      0,    697,   -.46,  -1.18,   -.28,   -.63,     -1,    -.1,   -.66,   31.1,   56.6,
       24,      00,   195611,    .78,   30.5,  -1.05,  -1.05,  -1.15,  -1.05,      0,   1071,   -.81,     -1,  -1.36,   -.86,  -1.06,   -.63,   -.59,   20.5,   40.6,
       24,      00,   195612,   1.22,   24.9,  -1.16,  -1.16,   -.67,  -1.16,      0,   1219,    .06,   -.55,   -.83,    -.4,   -.92,  -1.11,   -.46,     15,   34.8,
       24,      00,   195701,   1.39,    5.4,  -1.23,  -1.23,   -.57,  -1.23,      0,   1801,    .29,    .12,   -.35,   -.52,   -.73,  -1.05,   -.21,   -4.8,   15.6,
       24,      00,   195702,   1.23,   19.9,  -1.18,  -1.18,   -.23,  -1.18,      0,   1208,    .53,    .39,    .24,   -.88,   -.64,   -.87,   -.22,    9.1,   30.7,
       24,      00,   195703,   1.15,   29.7,  -1.26,  -1.26,   -.58,  -1.26,      0,   1096,   -.27,    .14,    .19,   -.54,   -.29,    -.8,   -.27,   19.2,   40.2,
       24,      00,   195704,   1.89,   38.6,    .42,    -.7,   1.27,    .15,      0,    817,    .67,    .35,    .52,   -.08,   -.29,   -.54,   -.29,   27.9,   49.3,
       24,      00,   195705,   2.79,   52.2,    .61,    .61,     .7,    .61,      1,    439,    .43,    .61,    .46,    .43,   -.46,   -.37,   -.43,   39.9,   64.5,
       24,      00,   195706,   3.35,   57.9,      1,      1,   1.36,      1,     12,    280,    .53,    .62,    .74,    .68,    .12,    .22,   -.15,   45.5,   70.2,
       24,      00,   195707,    .98,   67.4,    .95,    .95,    .15,    .95,     88,     98,   -.68,    .04,     .2,    .36,    .07,   -.07,   -.55,   51.6,   83.1,
       24,      00,   195708,   1.37,   63.8,    .91,    .91,    .18,    .91,     50,    144,    .22,   -.41,    .05,    .25,    .31,   -.36,   -.24,   49.2,   78.5,
       24,      00,   195709,   1.08,   54.2,    .56,    .56,   -.77,   -.23,      9,    357,   -.39,   -.18,    -.6,    .15,    .17,   -.23,   -.21,   40.1,   68.3,
       24,      00,   195710,    1.8,     40,   1.16,   1.16,   1.98,   1.16,      0,    798,    .87,     .2,    .25,    .24,    .38,    .08,   -.01,   30.2,   49.7,
       24,      00,   195711,    .93,   29.7,    -.1,    .94,    -.3,    .65,      0,   1090,   -.51,    .18,   -.16,   -.12,    .09,    .14,   -.35,   21.3,   38.2,
       24,      00,   195712,    .94,   29.8,   -.28,    .65,   -.58,   -.09,      0,   1095,   -.48,   -.72,   -.16,    -.6,    .04,    .04,   -.82,   20.4,   39.2,
       24,      00,   195801,     .8,     27,   -.64,   -.64,  -1.17,   -.64,      3,   1191,  -1.04,  -1.04,  -1.11,   -.59,   -.27,   -.15,   -.88,   16.7,   37.3,
       24,      00,   195802,   1.49,   22.2,    .22,    .22,    .65,   -.36,      0,   1102,   1.09,   -.05,    -.4,    -.4,   -.25,   -.03,    -.7,   12.8,   31.7,
       24,      00,   195803,   1.14,   26.9,    .22,    .22,    .08,    -.3,      0,   1162,   -.29,    .54,   -.22,   -.29,   -.66,   -.03,   -.65,   17.9,   35.8,
       24,      00,   195804,   1.76,   40.2,    .53,    .53,    .98,    .53,      0,    791,    .44,    .15,    .66,   -.49,   -.28,   -.07,   -.48,   29.6,   50.9,
       24,      00,   195805,    .96,   57.2,   -1.3,   -1.3,   -3.9,   -1.3,     11,    304,  -1.86,  -1.15,  -1.22,  -1.19,  -1.06,   -.88,    -.8,   41.6,   72.7,
       24,      00,   195806,   3.78,   56.7,     .5,   -.67,   1.49,    .29,      8,    294,    .93,   -.34,   -.21,   -.35,   -.44,   -.71,   -.36,   44.9,   68.4,
       24,      00,   195807,   2.28,   61.9,   1.08,   1.08,   1.89,   1.08,     32,    168,   1.02,   1.23,    .14,    .37,   -.25,   -.11,   -.22,   48.3,   75.5,
       24,      00,   195808,    .77,   67.1,   -.32,    .65,   -.95,   -.11,     88,     80,   -.75,    .28,    .78,   -.16,   -.33,   -.39,   -.51,     51,   83.1,
       24,      00,   195809,    .83,   54.8,   -.77,   -.77,  -1.47,   -.77,      9,    362,    -.8,  -1.17,    -.2,   -.36,   -.47,   -.51,   -.55,   40.3,   69.2,
       24,      00,   195810,   1.08,   45.3,   -.95,   -.95,   -.77,   -.95,      0,    644,    -.3,   -.87,  -1.19,   -.56,   -.33,   -.79,   -.51,   30.5,     60,
       24,      00,   195811,   2.64,     29,   1.06,   1.06,   3.19,   1.06,      0,   1076,   1.79,   1.32,    .44,    .88,    .05,   -.14,      0,   19.5,   38.5,
       24,      00,   195812,   1.65,   22.9,   1.41,   1.41,   1.38,   1.41,      0,   1241,    .74,   1.62,   1.37,    .68,    .29,    .15,    .08,   14.1,   31.6,
       24,      00,   195901,   1.75,   16.5,   1.88,   1.88,   1.84,   1.88,      0,   1397,    .85,    .96,   1.63,    .52,    .41,    .56,    .23,    7.1,   25.9,
       24,      00,   195902,   1.64,   13.6,   2.64,   2.64,   2.84,   2.64,      0,   1349,   1.39,   1.32,   1.38,   1.16,   1.37,     .6,    .33,    2.2,   24.9,
       24,      00,   195903,    .77,   32.9,   2.47,   2.47,    .32,   2.47,      0,   1018,   -1.4,    .19,    .61,   1.34,    .84,    .47,    .23,   23.3,   42.5,
       24,      00,   195904,   1.49,   39.9,   2.38,   2.38,    .48,   2.38,      0,    777,   -.05,   -.85,    .07,   1.36,    .44,    .38,    .16,   27.5,   52.2,
       24,      00,   195905,   2.44,   46.2,   2.56,   2.56,   1.27,   2.56,      0,    640,     .1,      0,   -.45,    .48,    .63,      1,    .04,   34.2,   58.1,
       24,      00,   195906,   2.61,   60.4,   2.19,   2.19,   -.33,   1.98,     26,    236,   -.19,   -.11,   -.18,    .07,    .76,    .53,   -.16,   46.9,   73.9,
       24,      00,   195907,    .52,   65.9,   1.53,   1.53,  -1.28,    .72,     71,    109,  -1.81,   -.94,   -.73,   -.68,    .39,   -.16,   -.27,   49.4,   82.3,
       24,      00,   195908,    .89,   63.3,     .9,     .9,  -1.42,   -.52,     45,    168,   -.53,  -1.51,  -1.12,  -1.13,    -.4,   -.17,   -.38,   47.7,   78.9,
       24,      00,   195909,   2.42,     52,   1.55,   1.55,   2.21,   1.01,      5,    429,   1.27,    .63,   -.24,   -.36,   -.14,    .43,   -.08,   40.2,   63.8,
       24,      00,   195910,    1.8,   40.3,   2.02,   2.02,   1.91,   2.02,      0,    761,    .87,   1.53,    .93,   -.09,   -.11,    .72,   -.07,     30,   50.7,
       24,      00,   195911,   2.14,   24.5,   2.65,   2.65,    2.5,   2.65,      0,   1212,   1.25,   1.56,   1.83,    .35,   -.02,    .52,    .27,   14.5,   34.5,
       24,      00,   195912,    .47,   27.6,   -.34,   2.04,  -1.02,   1.54,      0,   1178,  -1.73,    .15,    .53,     .1,   -.11,    .06,    .09,   18.6,   36.5,
       24,      00,   196001,    .96,   15.8,   -.43,    1.7,   -.37,      1,      0,   1493,    -.6,  -1.56,   -.18,     .5,   -.19,   -.21,    .19,    6.2,   25.4,
       24,      00,   196002,    .97,   18.3,    .02,   1.55,    .06,    .83,      0,   1267,   -.12,   -.59,  -1.35,    .66,   -.23,   -.45,    .03,    8.9,   27.6,
       24,      00,   196003,   1.06,   27.2,    .07,   1.44,    .15,    .75,      0,   1135,   -.51,   -.49,   -.81,   -.07,   -.27,   -.33,    .02,   15.5,   38.9,
       24,      00,   196004,   1.71,   39.9,    .38,   1.61,    .95,   1.23,      0,    783,    .36,   -.04,   -.14,   -.32,    .33,   -.24,    .04,   28.7,   51.2,
       24,      00,   196005,   1.91,   49.6,   -.16,   1.29,   -.47,    .68,      1,    543,   -.47,   -.28,   -.46,   -1.2,    .21,   -.51,    .26,   36.9,   62.4,
