StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       25,      00,   195601,     .5,   21.4,   -4.9,   -4.9,   -.69,   -4.9,      0,   1409,    .24,    .16,   -.51,  -1.42,   -1.2,  -1.49,  -1.48,   11.3,   31.4,
       25,      00,   195602,    .36,   23.5,  -4.87,  -4.87,  -1.42,  -4.87,      0,   1151,   -.81,   -.59,   -.41,   -.84,  -1.42,  -1.62,  -1.52,   11.8,   35.1,
       25,      00,   195603,    .26,   36.1,  -5.49,  -5.49,  -3.35,  -5.49,      0,    882,  -2.09,  -1.88,  -1.85,  -2.33,  -2.14,  -1.75,  -1.71,   22.1,   50.1,
       25,      00,   195604,   1.54,   43.1,  -5.45,  -5.45,   -1.6,  -5.45,      0,    592,   -.72,  -1.42,  -1.59,  -1.74,  -2.25,  -1.77,  -1.74,   29.2,     57,
       25,      00,   195605,      2,   60.8,  -6.22,  -6.22,  -3.98,  -6.22,     84,    156,  -1.18,  -1.31,  -1.71,  -1.85,  -1.98,  -2.26,  -2.05,   47.6,     74,
       25,      00,   195606,   3.28,   73.9,  -6.61,  -6.61,  -3.11,  -6.61,    313,     10,   -.21,  -1.01,  -1.23,   -1.7,  -2.03,  -2.21,  -2.23,   59.2,   88.6,
       25,      00,   195607,   2.55,   73.6,  -6.79,  -6.79,  -2.57,  -6.79,    316,     11,   -.25,   -.36,   -.98,  -1.55,  -1.68,  -2.04,  -1.94,   59.7,   87.4,
       25,      00,   195608,   2.56,   72.5,  -6.61,  -6.61,  -1.57,  -6.61,    308,     10,    -.1,   -.31,   -.39,  -1.46,  -1.54,  -1.59,  -2.18,   58.5,   86.3,
       25,      00,   195609,    .59,   64.4,  -7.11,  -7.11,  -3.54,  -7.11,    109,     90,  -1.85,  -1.24,  -1.08,  -1.59,  -1.94,  -2.04,   -2.3,   47.3,   81.6,
       25,      00,   195610,      1,   56.1,  -6.96,  -6.96,  -1.75,  -6.96,     28,    231,    -.4,  -1.63,  -1.27,  -1.49,  -1.87,  -1.95,  -2.34,     40,   72.2,
       25,      00,   195611,    .98,   35.1,  -6.26,  -6.26,   -.05,  -6.23,      0,    837,    .45,   -.21,   -1.3,  -1.05,  -1.65,  -1.73,  -2.16,   23.7,   46.6,
       25,      00,   195612,    .22,   30.9,  -6.12,  -6.12,  -1.52,  -6.12,      0,   1073,     -1,   -.15,   -.52,  -1.16,  -1.56,  -1.82,  -2.18,   18.9,   42.9,
       25,      00,   195701,    .24,   15.4,  -5.95,  -5.95,  -1.37,  -5.95,      0,   1522,   -.83,  -1.44,   -.49,  -1.48,  -1.56,  -1.87,   -2.2,    4.1,   26.8,
       25,      00,   195702,    .15,   31.1,     -6,     -6,  -1.99,     -6,      0,    950,  -1.55,  -2.05,  -2.13,  -1.87,  -1.44,   -1.9,  -2.26,   17.4,   44.7,
       25,      00,   195703,   1.77,   34.7,  -5.51,  -5.51,   -.37,  -5.51,      0,    895,    .82,    .12,   -.13,   -.57,  -1.19,  -1.59,  -2.13,   23.5,   45.9,
       25,      00,   195704,   2.73,   44.5,    .21,  -4.73,    .64,  -4.44,      0,    538,     .4,    .68,    .32,    .02,   -.98,  -1.32,   -1.9,     34,   54.9,
       25,      00,   195705,   5.54,   56.1,   1.22,  -3.21,    3.1,  -1.72,     36,    247,   1.44,   1.27,   1.36,    .83,    .03,   -.29,  -1.62,   45.6,   66.6,
       25,      00,   195706,    4.7,   66.6,   1.79,  -2.19,   2.07,    .04,    154,     53,    .81,   1.48,   1.41,   1.23,    .83,    .08,  -1.53,   53.9,   79.2,
       25,      00,   195707,   3.16,     77,      2,  -1.57,   1.18,    .98,    424,      0,    .27,     .7,   1.28,   1.21,      1,    .28,  -1.16,   63.6,   90.5,
       25,      00,   195708,   2.93,   73.5,   2.21,   -.99,   1.25,    1.8,    303,     10,     .3,    .31,    .72,   1.36,    .99,    .37,    -.8,   60.7,   86.2,
       25,      00,   195709,   2.31,   59.8,   2.33,   2.33,   1.06,   2.33,     45,    169,    .32,    .36,    .36,   1.22,   1.08,    .78,   -.82,     46,   73.6,
       25,      00,   195710,   2.19,   48.9,   2.85,   2.85,   2.27,   2.85,      0,    474,    .85,    .72,    .69,   1.31,   1.25,   1.09,   -.52,   39.6,   58.2,
       25,      00,   195711,    .92,   34.7,   2.82,   2.82,    .79,   2.82,      0,    882,    .36,    .74,    .71,    .88,   1.41,   1.07,   -.42,   25.1,   44.4,
