StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       26,      00,   195601,    1.9,   35.2,   1.81,   1.81,   2.39,   1.81,      0,    646,   1.08,   1.78,   1.56,   1.17,   1.06,    .22,   -.52,   25.8,   44.7,
       26,      00,   195602,    .49,   28.2,   -.02,   1.61,   -.05,   1.52,      0,    729,   -.99,    .31,   1.25,     .5,     .7,    .16,   -.54,   16.5,     40,
       26,      00,   195603,    .14,   40.2,   -.64,    .82,  -1.86,   -.24,      8,    473,  -2.15,  -1.83,   -.52,   -.04,    .32,    .08,  -1.05,     26,   54.5,
       26,      00,   195604,   1.14,   46.4,    .17,    .91,    .52,    .09,     32,    291,    .57,   -.88,  -1.31,    .54,    .36,     .4,   -.91,   33.1,   59.7,
       26,      00,   195605,   1.39,   55.9,    .62,   1.28,   1.38,      1,    151,    113,     .8,     .8,   -.18,    .82,    .27,    .48,   -.52,   42.4,   69.3,
       26,      00,   195606,    .37,   64.7,    .54,   1.14,   -.03,    .78,    363,     35,   -.31,    .32,    .42,   -.17,    .19,    .45,   -.71,   47.8,   81.5,
       26,      00,   195607,    .65,   71.1,    .68,   1.21,    .57,   1.02,    480,      3,    .48,   -.03,    .44,   -.71,    .59,    .42,   -.69,   54.7,   87.5,
       26,      00,   195608,    .01,   67.8,   -.62,   -.62,  -1.85,   -.62,    417,     12,  -2.19,   -.72,   -.87,   -.68,    .35,    -.1,   -.74,   50.6,   84.9,
       26,      00,   195609,    .28,   63.8,   -.94,   -.94,  -1.15,   -.94,    338,     34,   -.46,  -1.66,   -.96,   -.17,   -.55,   -.16,    -.8,   46.2,   81.4,
       26,      00,   195610,    .87,     49,   -.66,   -.66,    .54,   -.66,     51,    225,    .31,   -.13,   -.88,   -.29,  -1.02,    .18,   -.51,   35.1,   62.8,
       26,      00,   195611,    .08,   36.2,   -1.2,   -1.2,  -1.84,   -1.2,      0,    592,  -1.97,   -.92,  -1.17,  -1.68,  -1.24,   -.15,   -.74,   20.3,   52.1,
       26,      00,   195612,    .45,   31.5,  -1.65,  -1.65,  -1.71,  -1.65,      0,    742,  -1.01,  -1.74,  -1.33,  -1.73,  -1.02,  -1.19,    -.9,   17.1,     46,
       26,      00,   195701,   1.19,     25,  -1.54,  -1.54,   -.17,  -1.54,      0,    871,    .26,   -.44,  -1.23,  -1.64,  -1.09,  -1.66,   -.88,   13.2,   36.8,
       26,      00,   195702,    .71,   38.4,  -2.01,  -2.01,   -1.9,  -2.01,      7,    458,   -.49,   -.18,   -.74,  -1.46,   -1.7,  -1.51,   -.81,   26.8,   49.9,
       26,      00,   195703,   1.22,   40.6,  -1.93,  -1.93,   -.36,  -1.93,     10,    454,    .44,   -.15,   -.01,   -.92,  -1.31,   -.87,   -.52,   29.4,   51.8,
       26,      00,   195704,    .91,   45.1,    .07,  -1.66,     .2,  -1.49,     29,    313,    .14,    .31,   -.14,   -.97,  -1.38,     -1,   -.38,     32,   58.2,
       26,      00,   195705,   2.51,   52.4,   1.34,   1.34,   3.84,   1.34,     76,    182,   1.89,   1.65,   1.49,    .54,   -.02,   -.39,    .04,   40.1,   64.7,
       26,      00,   195706,    .55,   65.4,   -.19,   1.01,   -.56,    .61,    378,     25,    .09,   1.56,   1.34,     .8,    .08,   -.28,    .07,   49.5,   81.2,
       26,      00,   195707,     .2,   71.1,    -.8,    -.8,   -1.9,    -.8,    511,      4,  -1.06,   -.55,   1.19,    .68,   -.12,   -.51,    -.1,   54.2,   87.9,
       26,      00,   195708,    .41,   68.8,  -1.04,  -1.04,   -.97,  -1.04,    428,     12,   -.21,   -.85,   -.65,    .81,    .17,   -.31,   -.35,   51.6,     86,
       26,      00,   195709,    .33,   62.3,  -1.26,  -1.26,   -.96,  -1.26,    248,     33,   -.28,   -.54,   -.96,    .61,    .36,   -.26,   -.39,     45,   79.5,
       26,      00,   195710,   1.63,   47.7,    .98,    .98,   2.93,    .98,     30,    268,   1.37,    .91,    .59,   1.15,    .79,    .09,    .16,   35.6,   59.8,
       26,      00,   195711,   1.32,   34.2,   1.47,   1.47,   1.79,   1.47,      0,    635,    .91,   1.51,   1.17,    .51,   1.19,    .61,    .34,   23.4,   45.1,
       26,      00,   195712,    .79,   34.1,   1.16,   1.16,   -.48,    .82,      0,    694,   -.32,    .28,    .99,    .31,   1.02,    .78,   -.25,   22.1,     46,
       26,      00,   195801,    .77,   32.3,    .89,    .89,   -.47,    .23,      0,    737,    -.4,   -.53,   -.05,    .26,    .81,     .6,    -.6,   20.6,     44,
       26,      00,   195802,   1.54,   39.2,   1.02,   1.02,    .66,    .65,      0,    503,    .83,    .24,   -.01,    .68,    .26,    .95,   -.24,   28.8,   49.6,
       26,      00,   195803,   1.65,     35,   1.75,   1.75,   2.51,   1.75,      0,    635,   1.03,   1.14,    .62,   1.06,    .61,   1.13,    .21,   24.8,   45.2,
       26,      00,   195804,   1.05,   43.8,   1.96,   1.96,   1.17,   1.96,     22,    343,    .41,    .95,   1.14,     .7,    .83,   1.19,    .24,   30.9,   56.7,
       26,      00,   195805,    .61,   59.5,   1.73,   1.73,   -.06,   1.63,    202,     71,   -.43,    -.2,    .42,    .21,    .74,    .39,   -.02,   43.2,   75.8,
       26,      00,   195806,   1.08,   63.8,   2.17,   2.17,   1.84,   2.17,    316,     36,    .94,    .24,    .28,    .58,    .99,    .63,     .2,   48.5,   79.1,
       26,      00,   195807,    .27,   70.7,   2.04,   2.04,    .29,   2.04,    465,      4,   -.76,    .46,   -.05,    .74,    .52,    .65,    .08,   54.2,   87.1,
       26,      00,   195808,    .84,   73.6,   2.13,   2.13,    .89,   2.13,    550,      0,    .72,    .18,    .63,    .62,    .39,    .83,     .4,   57.6,   89.6,
       26,      00,   195809,    .47,   62.6,   -.11,    1.8,   -.34,   1.57,    272,     37,    .14,    .41,    .05,     .2,    .49,    .88,    .47,   46.1,   78.9,
       26,      00,   195810,    .22,   53.7,   -.77,    .95,  -1.99,   -.23,    104,    139,   -1.1,    -.9,   -.36,   -.36,    .41,    .27,    .23,   37.1,   70.4,
       26,      00,   195811,    .84,   39.7,   -.83,    .71,   -.43,   -.63,      0,    509,     .1,   -.74,   -.72,   -.03,    .19,    .03,    .45,   26.2,   53.3,
       26,      00,   195812,    .31,   37.7,   -1.7,   -1.7,  -2.88,   -1.7,      0,    636,  -1.35,   -.89,  -1.37,   -1.1,   -.67,   -.15,    .34,   24.2,   51.2,
       26,      00,   195901,    .64,   34.8,  -2.24,  -2.24,  -2.15,  -2.24,      0,    680,   -.67,  -1.47,  -1.15,  -1.22,  -1.09,   -.23,    .17,     24,   45.6,
       26,      00,   195902,   1.36,   32.4,  -1.92,  -1.92,    .29,  -1.72,      0,    654,    .59,   -.08,   -.78,  -1.21,   -.65,   -.35,    .37,   22.1,   42.8,
       26,      00,   195903,    .29,   40.9,  -2.61,  -2.61,  -2.67,  -2.61,     10,    448,  -1.55,   -.47,   -.76,   -1.6,  -1.48,  -1.09,     .1,   26.8,     55,
       26,      00,   195904,    .19,   49.9,  -3.46,  -3.46,  -3.37,  -3.46,     74,    213,  -2.03,  -2.58,  -1.23,  -1.84,  -1.85,  -1.68,   -.07,     34,   65.8,
       26,      00,   195905,    .85,     52,  -3.61,  -3.61,  -1.51,  -3.61,    118,    164,    .03,  -1.06,  -1.73,  -1.75,  -2.08,  -1.48,   -.67,   38.3,   65.7,
       26,      00,   195906,    .37,   67.6,  -4.38,  -4.38,  -3.44,  -4.38,    412,     20,   -.31,   -.36,  -1.14,  -1.34,  -2.07,  -1.97,   -.76,   50.9,   84.3,
       26,      00,   195907,    .28,   74.9,  -4.99,  -4.99,  -3.19,  -4.99,    624,      0,   -.72,   -.77,   -.65,  -1.39,  -1.96,  -1.94,   -.75,   58.1,   91.7,
       26,      00,   195908,    .46,   69.5,  -4.88,  -4.88,   -1.2,  -4.88,    445,      8,   -.08,   -.53,   -.73,  -1.88,  -1.92,  -2.22,   -.75,   53.1,   85.9,
       26,      00,   195909,   1.06,   59.4,  -3.77,  -3.77,   1.84,  -3.02,    222,     57,    1.2,     .7,    .32,   -.71,  -1.09,  -1.76,   -.46,   45.4,   73.4,
       26,      00,   195910,    .18,   52.1,  -4.02,  -4.02,  -1.93,  -3.94,     79,    173,  -1.22,    .01,   -.14,   -.61,  -1.24,  -1.72,  -1.01,   36.8,   67.4,
       26,      00,   195911,    .14,   39.7,  -4.37,  -4.37,  -2.29,  -4.37,      0,    495,  -1.73,  -2.28,   -.94,  -1.32,   -2.4,   -2.1,  -1.47,   22.8,   56.6,
       26,      00,   195912,    .85,   30.9,  -4.14,  -4.14,   -.66,  -4.14,      0,    734,   -.21,   -1.1,  -1.63,  -1.08,  -1.83,  -1.95,  -1.31,   17.8,   44.1,
       26,      00,   196001,    .95,   26.6,  -3.93,  -3.93,   -.64,  -3.93,      0,    891,   -.09,   -.25,   -.98,   -.94,   -1.2,  -1.71,  -1.23,   16.8,   36.4,
       26,      00,   196002,   1.28,   31.2,  -3.32,  -3.32,    .61,  -3.03,      0,    685,    .47,    .16,   -.03,   -.67,   -.96,  -1.76,  -1.28,   21.2,   41.2,
       26,      00,   196003,     .8,   42.9,  -3.47,  -3.47,  -1.48,  -3.47,     15,    398,   -.28,    .02,   -.08,  -1.16,   -.92,  -1.43,   -1.6,   29.6,   56.2,
       26,      00,   196004,    .66,   47.6,  -3.47,  -3.47,  -1.07,  -3.47,     52,    261,   -.41,    -.6,   -.24,   -.87,   -.89,  -1.16,  -1.86,   33.1,     62,
       26,      00,   196005,    .41,   54.6,  -3.93,  -3.93,  -2.43,  -3.93,    141,    135,   -.95,  -1.01,  -1.04,   -.74,  -1.18,  -1.43,  -1.96,   39.4,   69.7,
       26,      00,   196006,    .18,   68.3,  -4.58,  -4.58,  -3.17,  -4.58,    435,     16,   -.89,   -1.4,  -1.34,   -.92,  -1.77,  -1.55,  -2.38,   51.5,     85,
       26,      00,   196007,    .51,   74.4,   -4.8,   -4.8,  -2.08,   -4.8,    584,      0,    .08,   -.68,  -1.32,   -.98,  -1.42,  -1.38,  -2.41,   57.7,   91.2,
       26,      00,   196008,     .2,   69.6,  -4.98,  -4.98,  -2.04,  -4.98,    481,      8,   -.93,    -.6,  -1.13,  -1.54,  -1.16,  -1.55,  -3.09,   52.4,   86.8,
       26,      00,   196009,    .42,     65,  -4.78,  -4.78,   -.94,  -4.78,    330,     26,      0,   -.79,   -.61,  -1.59,  -1.15,  -1.98,  -3.09,   48.4,   81.5,
       26,      00,   196010,    .74,   50.5,  -4.31,  -4.31,   -.07,  -4.28,     57,    206,    .08,   -.11,   -.59,  -1.36,  -1.12,  -1.52,  -2.79,     36,   64.9,
       26,      00,   196011,   2.21,   39.2,  -2.78,  -2.78,   3.25,  -1.46,      0,    503,   2.08,   1.51,   1.25,    .38,   -.35,   -.41,  -1.89,   28.9,   49.4,
       26,      00,   196012,    .44,   31.9,  -2.84,  -2.84,  -1.03,  -1.89,      0,    751,  -1.03,    .87,     .7,     .2,   -.61,   -.59,   -1.6,   19.7,   44.1,
       26,      00,   196101,    .37,   32.9,  -3.09,  -3.09,  -1.61,  -2.68,      0,    731,  -1.41,  -1.76,    .07,   -.35,   -.94,   -.93,  -1.67,   18.3,   47.4,
       26,      00,   196102,    .59,   37.2,  -3.29,  -3.29,  -1.57,  -3.29,      0,    531,   -.75,  -1.53,  -2.02,   -.42,    -.9,  -1.36,  -1.92,     26,   48.4,
       26,      00,   196103,   1.07,   39.4,  -3.02,  -3.02,   -.21,  -3.02,      7,    498,     .2,   -.46,  -1.03,   -.29,   -.56,  -1.19,  -1.67,   27.8,   50.9,
       26,      00,   196104,    .28,   46.6,  -3.25,  -3.25,  -1.63,  -3.25,     47,    272,   -1.6,   -.77,  -1.11,   -.66,   -.93,  -1.47,  -1.73,   32.1,   61.1,
       26,      00,   196105,    .68,   54.5,  -3.47,  -3.47,  -1.64,  -3.47,    127,    139,   -.28,  -1.18,   -.86,  -1.93,   -.87,  -1.27,  -1.83,   39.9,     69,
       26,      00,   196106,    .42,   69.1,  -3.91,  -3.91,  -2.41,  -3.91,    436,     11,   -.19,   -.53,  -1.18,  -1.56,   -.86,  -1.12,  -1.85,   52.8,   85.4,
       26,      00,   196107,    .66,     74,  -3.98,  -3.98,  -1.41,  -3.98,    590,      0,    .51,    .06,   -.29,  -1.09,   -.76,  -1.02,  -1.77,   57.8,   90.3,
       26,      00,   196108,    1.4,   71.7,    .72,  -2.85,   2.17,  -1.95,    495,      3,   1.55,   1.39,    .91,   -.05,  -1.11,   -.36,  -1.48,   57.3,   86.1,
       26,      00,   196109,     .5,     58,      0,  -2.56,   -.01,  -1.63,    185,     69,    .21,   1.17,   1.12,   -.09,   -.79,    -.3,  -1.81,   43.2,   72.8,
       26,      00,   196110,    .62,   49.8,   -.11,   -2.4,   -.31,  -1.56,     46,    221,   -.15,   -.17,    .74,    .26,   -.44,   -.36,  -1.48,   35.8,   63.7,
       26,      00,   196111,    .68,   35.6,   -.15,  -2.21,   -.17,   -1.4,      0,    595,   -.23,   -.37,   -.36,     .4,   -.24,  -1.19,  -1.19,   23.7,   47.4,
       26,      00,   196112,     .9,   30.6,   -.24,  -2.09,   -.32,  -1.36,      0,    801,   -.12,   -.35,   -.43,    .37,   -.36,   -.94,  -1.09,   20.7,   40.6,
       26,      00,   196201,    .71,   26.6,   -.55,  -2.21,     -1,  -1.76,      0,    837,   -.52,   -.47,   -.61,   -.04,   -.23,   -.76,  -1.15,   14.2,   38.9,
       26,      00,   196202,   2.56,     33,   1.29,   -.68,   3.88,   1.16,      0,    598,   1.95,   1.04,    .82,    .43,    .73,    .21,   -.69,   24.2,   41.9,
       26,      00,   196203,    .85,   35.2,    1.4,    1.4,    .72,    1.4,      0,    624,   -.18,   1.34,    .73,    .28,    .72,     .1,   -.69,   24.2,   46.2,
       26,      00,   196204,    .26,   51.3,   -.75,   -.75,  -2.26,   -.75,     98,    181,  -1.69,  -1.17,    .64,    .03,    .34,    .13,   -.82,   35.7,   66.9,
       26,      00,   196205,   1.73,   52.6,    .79,    .79,   2.38,    .79,    101,    167,   1.18,     .2,   -.02,    .55,     .3,    .59,    -.4,   39.9,   65.2,
       26,      00,   196206,    .56,   63.7,    .96,    .96,    .76,    .96,    312,     32,    .11,    .87,    .09,    .57,    .27,    .65,   -.29,     48,   79.3,
       26,      00,   196207,    .44,   70.1,   1.04,   1.04,    .52,   1.04,    478,      4,   -.14,   -.07,    .74,    .87,    .33,    .55,   -.32,   53.8,   86.3,
       26,      00,   196208,     .1,   69.5,   -.49,   -.49,  -1.47,   -.49,    487,      9,  -1.45,  -1.06,   -.75,   -.49,    .15,   -.04,   -.34,   52.7,   86.2,
       26,      00,   196209,    .29,   63.7,    -.8,    -.8,  -1.08,    -.8,    306,     29,   -.42,  -1.36,  -1.18,   -.56,    .09,   -.13,   -.39,   46.6,   80.7,
       26,      00,   196210,    .73,   53.4,   -.87,   -.87,   -.45,   -.87,     96,    152,    .06,   -.33,   -.94,   -.06,     .3,   -.09,   -.38,   38.5,   68.3,
       26,      00,   196211,    .43,   41.7,  -1.41,  -1.41,  -1.88,  -1.41,      7,    408,   -.82,   -.58,   -.83,  -1.24,   -.87,   -.24,  -1.04,   28.3,   55.1,
       26,      00,   196212,    .23,     34,  -2.12,  -2.12,  -2.57,  -2.12,      0,    695,  -1.56,  -1.55,  -1.35,  -1.86,  -1.43,   -.54,  -1.06,   20.4,   47.6,
       26,      00,   196301,    .88,   27.8,  -2.29,  -2.29,  -1.17,  -2.29,      0,    867,   -.21,  -1.18,  -1.45,  -1.87,  -1.01,   -.47,   -.87,   13.2,   42.4,
       26,      00,   196302,    1.1,   42.4,  -2.73,  -2.73,  -2.03,  -2.73,     10,    396,     .2,    -.1,   -.89,  -1.38,  -1.57,  -1.31,   -.67,   30.6,   54.2,
       26,      00,   196303,    .78,   37.7,  -2.82,  -2.82,   -1.1,  -2.82,      4,    542,   -.32,   -.21,   -.31,   -1.2,   -1.7,  -1.35,   -.78,   25.2,   50.2,
       26,      00,   196304,   1.58,   41.2,    .86,  -1.66,   2.58,   -.53,     14,    408,   1.25,    .58,    .45,   -.63,  -1.07,   -.58,   -.33,   29.3,   53.1,
       26,      00,   196305,   1.15,   57.5,    .74,  -1.53,    -.1,   -.43,    184,     91,    .49,      1,    .59,   -.22,   -.63,   -.93,    -.2,   43.9,   71.1,
       26,      00,   196306,   2.18,   59.1,    1.6,    1.6,   2.81,    1.6,    234,     60,    2.1,   1.77,   2.05,   1.11,    .36,   -.05,    .37,   46.1,     72,
       26,      00,   196307,    .01,   69.8,   -.64,     .8,  -1.91,   -.26,    485,      8,  -2.18,   1.42,   1.26,   1.13,    .16,   -.27,    .16,   52.6,   86.9,
