StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       27,      00,   195601,   4.74,   21.7,    .57,    .57,   1.71,    .57,      0,   1299,   1.12,   -.42,   -.35,    .67,    .06,    .25,   1.21,   14.4,   28.9,
       27,      00,   195602,   3.09,   21.7,    .58,    .58,    .21,    .58,      0,   1165,    .26,      1,    -.3,   -.26,    .24,    .05,   1.18,   11.7,   31.6,
       27,      00,   195603,   4.82,   22.6,   1.13,   1.13,   1.83,   1.13,      0,   1262,    .88,    .78,   1.23,    .61,    .33,    .13,   1.22,   11.3,   33.9,
       27,      00,   195604,    3.4,   37.2,   1.12,   1.12,    .32,   1.12,      0,    804,   -.01,    .61,     .6,    .09,    .75,    .21,   1.09,   27.1,   47.3,
       27,      00,   195605,   3.28,     48,    .03,   1.04,    .09,      1,      0,    483,   -.12,   -.16,    .34,    .03,   -.08,    .26,    .66,   34.5,   61.5,
       27,      00,   195606,   2.67,   62.3,   -.53,   -.53,   -1.6,   -.53,     34,     80,   -.78,   -.64,    -.6,    .31,    .11,   -.06,    .38,   49.4,   75.2,
       27,      00,   195607,   4.01,   63.3,   -.32,   -.32,    .48,   -.32,     49,     68,    .11,   -.57,   -.53,   -.08,   -.31,    .33,    .48,   51.8,   74.8,
       27,      00,   195608,   2.49,   62.9,   -.77,   -.77,  -1.46,   -.77,     55,     82,  -1.04,   -.73,   -1.3,   -.54,   -.63,   -.53,    .31,   50.4,   75.3,
       27,      00,   195609,   5.01,   52.7,   -.14,   -.14,   1.65,    .55,      0,    342,    .76,    .07,    .03,   -.52,    .19,    .08,   -.05,   41.3,     64,
       27,      00,   195610,      2,   46.1,    -.6,    -.6,  -1.43,    -.6,      0,    563,   -.95,   -.11,   -.55,   -.91,   -.47,   -.59,    -.2,   32.1,     60,
       27,      00,   195611,   3.13,   35.5,   -.93,   -.93,  -1.16,   -.93,      0,    850,   -.43,   -1.1,   -.45,  -1.12,   -.73,   -.78,   -.45,   24.5,   46.5,
       27,      00,   195612,    4.1,   24.8,   -.67,   -.67,    .49,   -.67,      0,   1205,    .38,   -.06,   -.63,   -.53,   -.78,   -.14,   -.35,   16.1,   33.6,
       27,      00,   195701,   2.24,   10.3,  -1.04,  -1.04,  -1.31,  -1.04,      0,   1642,   -.66,   -.21,   -.45,   -.83,  -1.04,   -.63,   -.27,   -2.6,   23.2,
       27,      00,   195702,    1.4,     23,  -1.72,  -1.72,  -2.39,  -1.72,      0,   1125,  -1.69,  -1.75,   -.99,   -.95,  -1.43,  -1.04,   -.58,   10.9,     35,
       27,      00,   195703,   1.56,   30.4,  -2.37,  -2.37,  -2.48,  -2.37,      0,   1026,  -1.52,  -2.81,  -2.57,  -2.07,  -1.54,  -1.73,   -.86,   20.3,   40.6,
       27,      00,   195704,   2.24,   43.3,  -2.92,  -2.92,  -2.37,  -2.92,      0,    609,   -.94,  -1.88,  -2.74,  -2.04,  -1.72,  -1.91,   -.91,   30.9,   55.7,
       27,      00,   195705,    3.4,   53.1,  -2.78,  -2.78,    -.5,  -2.78,      0,    336,   -.05,   -.63,  -1.42,  -1.72,  -1.47,  -1.74,   -.88,   39.9,   66.3,
       27,      00,   195706,   3.63,   64.5,  -2.74,  -2.74,   -.72,  -2.74,     62,     49,   -.08,    -.1,   -.63,  -1.93,  -1.92,  -1.52,   -.96,   51.3,   77.7,
       27,      00,   195707,   4.08,   64.9,  -2.28,  -2.28,    .52,     -2,     77,     42,    .16,   -.05,   -.07,  -1.73,  -1.62,  -1.59,   -.76,   52.3,   77.4,
       27,      00,   195708,   1.54,   61.1,  -2.83,  -2.83,  -2.36,  -2.83,     31,    115,  -2.13,  -1.57,  -1.24,  -1.98,  -2.11,  -1.81,   -1.5,   47.5,   74.6,
       27,      00,   195709,   2.72,   58.2,  -3.13,  -3.13,  -1.77,  -3.13,      9,    181,   -.53,  -2.01,   -1.6,  -1.49,  -2.48,  -2.64,  -1.46,   45.1,   71.3,
       27,      00,   195710,   2.74,   46.3,  -3.36,  -3.36,  -1.65,  -3.36,      0,    552,    -.4,   -.81,  -1.71,  -1.37,  -2.68,  -2.52,  -1.88,   34.6,     58,
       27,      00,   195711,    5.4,   37.3,    .15,  -2.87,    .45,  -2.63,      0,    796,    .91,    .29,   -.18,   -.88,  -1.64,  -1.93,  -1.65,   28.1,   46.5,
       27,      00,   195712,   6.02,   28.4,   1.09,  -1.62,   2.86,   -.18,      0,   1086,   1.48,   1.54,    .93,   -.07,   -.42,  -1.35,    -.9,   19.4,   37.4,
       27,      00,   195801,   7.16,   20.8,   2.52,   2.52,   4.62,   2.52,      0,   1332,   2.28,   2.72,   2.39,    .88,    .57,    -.3,   -.61,   12.2,   29.4,
       27,      00,   195802,   2.74,   14.8,   -.11,   2.15,   -.32,   1.95,      0,   1360,   -.04,   1.95,   2.33,   1.38,    .59,   -.07,   -.65,    4.2,   25.4,
       27,      00,   195803,   2.58,   32.7,   -.51,   1.52,  -1.23,    .73,      0,    970,    -.6,   -.53,   1.17,   1.38,    .45,    .07,    -.9,   25.1,   40.4,
       27,      00,   195804,   4.18,   42.4,   -.27,   1.54,    .54,    .94,      0,    648,    .53,   -.09,   -.15,    1.8,    .56,    .38,   -.81,     31,   53.8,
       27,      00,   195805,   3.13,   49.7,   -.35,   1.28,   -.32,    .51,      0,    438,   -.22,    .11,   -.26,   1.37,     .9,    .29,   -.86,   37.7,   61.7,
       27,      00,   195806,   2.29,   56.6,   -.72,    .74,  -1.23,   -.51,      0,    217,  -1.14,   -.97,    -.5,    .33,    .77,    .07,   -.88,   44.4,   68.8,
       27,      00,   195807,   5.41,   65.9,    .69,   1.35,   2.08,    .86,     92,     31,    .98,   -.05,   -.17,   -.35,   1.22,    .32,   -.76,   55.2,   76.6,
       27,      00,   195808,   2.37,   64.1,   -.47,    .75,   -1.4,   -.26,     71,     64,  -1.16,    .09,   -.73,   -.76,    .74,    .47,   -.77,   51.3,   76.9,
       27,      00,   195809,   3.74,   56.6,   -.43,    .66,   -.03,   -.33,      5,    221,    .12,   -.64,    .03,   -.45,    .21,    .66,   -.95,   45.5,   67.9,
       27,      00,   195810,   3.62,   44.1,   -.27,    .71,    .36,   -.13,      0,    620,    .12,    .03,   -.46,   -.58,   -.64,     .8,   -.76,     33,   55.1,
       27,      00,   195811,   3.77,     35,   -.35,   -.35,   -.34,   -.35,      0,    868,   -.01,   -.01,   -.09,   -.57,   -.66,    .57,   -.69,   25.8,   44.1,
       27,      00,   195812,   1.61,     13,  -1.18,  -1.18,  -2.58,  -1.18,      0,   1547,  -1.54,  -1.04,   -.73,   -.58,   -.77,   -.17,   -.92,      2,   24.1,
       27,      00,   195901,   3.76,   16.6,   -.88,   -.88,    .52,   -.45,      0,   1446,    .54,   -.77,   -.61,   -.86,   -.85,   -.86,   -.73,    6.1,   27.1,
       27,      00,   195902,    2.8,   14.3,   -.87,   -.87,   -.23,    -.5,      0,   1359,    .01,    .32,   -.75,   -.52,   -.85,   -.88,   -.57,    1.1,   27.5,
       27,      00,   195903,   3.67,   27.1,   -.67,   -.67,    .31,   -.05,      0,   1124,    .19,    .12,    .31,   -.45,   -.48,   -.65,   -.35,   15.9,   38.2,
       27,      00,   195904,   2.57,   41.9,  -1.16,  -1.16,  -1.66,  -1.16,      0,    658,   -.66,   -.36,   -.35,   -.75,   -.95,   -.99,   -.34,   29.9,   53.9,
