StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       28,      00,   195601,    2.4,   29.4,  -1.48,  -1.48,  -1.06,  -1.48,      0,   1112,   -.72,  -2.52,  -2.34,    .85,   -.12,   -.27,   -.82,   22.3,   36.6,
       28,      00,   195602,   4.69,   34.5,    .75,   -.58,   2.24,    .69,      0,    871,   1.26,    .39,  -1.12,   -.34,    .56,    .04,   -.49,   26.1,   42.8,
       28,      00,   195603,   4.84,   35.9,   1.13,   1.13,   1.39,   1.13,      0,    920,    .68,   1.26,     .7,    .27,    .64,    .15,   -.33,   26.9,   44.9,
       28,      00,   195604,   3.34,   46.5,    .99,    .99,   -.08,    .83,      0,    568,   -.13,    .35,    .87,   -.76,   1.09,    .23,   -.35,   35.7,   57.1,
       28,      00,   195605,   2.63,   57.3,    .56,    .56,   -.97,   -.33,      8,    258,    -.6,   -.59,   -.05,    -.8,   -.34,    .39,   -.52,     45,   69.5,
       28,      00,   195606,   4.04,   69.4,    .63,    .63,    .39,   -.04,    136,     13,    .28,    -.3,    -.4,    .14,   -.03,    .31,    -.2,   57.7,   81.1,
       28,      00,   195607,    5.9,   71.1,   1.23,   1.23,   1.98,   1.23,    180,      6,    .78,    .67,    .19,    .71,   -.51,    .97,    .24,   61.5,   80.7,
       28,      00,   195608,   3.41,   71.2,    .98,    .98,   -.38,    .65,    188,      7,   -.38,    .16,    .17,    .02,   -.55,   -.25,   -.12,   60.7,   81.8,
       28,      00,   195609,   3.57,   62.6,    .96,    .96,    .26,    .71,     29,    120,    .09,   -.36,     .1,   -.17,    .11,   -.04,   -.31,   52.1,     73,
       28,      00,   195610,   4.13,   54.7,   1.28,   1.28,   1.24,   1.28,      4,    336,    .49,    .28,    -.1,    .01,    .41,   -.53,   -.09,     44,   65.4,
       28,      00,   195611,   3.76,   43.8,   1.27,   1.27,    .37,   1.27,      0,    650,    .34,    .47,    .31,    .34,    .16,   -.33,    -.3,   34.3,   53.4,
       28,      00,   195612,   4.14,   39.1,    1.3,    1.3,    .49,    1.3,      0,    826,    .32,    .37,    .52,    .32,     .1,    .32,    -.2,   30.4,   47.7,
       28,      00,   195701,   1.92,   26.3,   -.53,    .64,   -1.6,   -.38,      0,   1220,  -1.23,   -.42,   -.18,   -.32,   -.13,    .22,   -.04,   17.7,   34.9,
       28,      00,   195702,   2.68,   34.9,   -.65,   -.65,   -.52,   -.65,      0,    858,    -.2,  -1.09,   -.51,   -.13,   -.01,    -.1,   -.07,   26.7,   43.1,
       28,      00,   195703,   2.98,   39.5,   -.92,   -.92,  -1.02,   -.92,      0,    803,   -.56,   -.62,  -1.29,   -.24,   -.25,   -.38,   -.18,   30.5,   48.5,
       28,      00,   195704,   4.69,   51.9,   -.59,   -.59,    .72,   -.59,      0,    406,    .74,    .13,   -.06,   -.17,   -.34,   -.17,    .03,   40.9,   62.9,
       28,      00,   195705,   1.44,   60.7,  -1.37,  -1.37,  -2.54,  -1.37,     23,    170,  -1.56,    -.5,   -.77,   -.94,   -.51,   -.38,   -.01,   48.3,   73.1,
       28,      00,   195706,   2.42,     72,  -1.96,  -1.96,  -2.17,  -1.96,    203,      3,   -.88,  -1.96,  -1.01,  -1.69,   -.75,   -.67,   -.17,   60.2,   83.7,
       28,      00,   195707,   1.52,   73.9,  -2.94,  -2.94,  -3.56,  -2.94,    263,      0,  -1.95,  -2.29,  -2.45,  -2.09,  -1.62,  -1.34,   -.18,   61.3,   86.5,
       28,      00,   195708,   2.07,   69.9,  -3.63,  -3.63,  -2.99,  -3.63,    152,     11,  -1.45,  -2.37,  -2.43,  -2.52,  -2.31,  -1.53,  -1.38,   57.8,     82,
       28,      00,   195709,   3.14,   66.7,  -3.73,  -3.73,  -1.41,  -3.73,     85,     50,   -.15,  -1.07,  -2.07,  -2.84,  -2.87,  -1.72,  -1.26,     56,   77.4,
       28,      00,   195710,   2.72,   52.1,  -3.83,  -3.83,  -1.46,  -3.83,      0,    414,   -.28,   -.44,  -1.16,  -2.88,  -2.47,  -2.13,  -1.83,   41.1,     63,
       28,      00,   195711,   3.96,   45.2,   -3.7,   -3.7,   -.79,   -3.7,      0,    606,    .44,    .02,   -.19,  -1.98,  -2.07,  -2.28,  -1.57,   36.1,   54.3,
       28,      00,   195712,   6.49,   36.9,    .87,  -2.45,    2.6,  -1.37,      0,    884,   1.53,   1.33,    .85,   -.77,  -1.18,  -1.68,   -.84,     29,   44.9,
       28,      00,   195801,   4.77,   28.9,   1.31,  -1.66,    1.6,    .04,      0,   1133,      1,   1.62,   1.49,    .16,  -1.09,  -1.07,   -.52,   21.2,   36.5,
       28,      00,   195802,   4.82,   25.3,   2.03,   -.64,   2.55,   1.93,      0,   1125,   1.33,   1.59,   1.91,   1.18,   -.31,   -.68,    -.5,   17.7,     33,
       28,      00,   195803,    5.3,   37.6,    2.4,    2.4,   1.76,    2.4,      0,    859,    .95,   1.49,    1.7,   1.53,    .18,   -.23,   -.42,   30.4,   44.7,
