StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       29,      00,   195601,    .55,   38.4,  -3.55,  -3.55,  -1.36,  -3.55,      0,    801,   -.03,   -.64,  -1.13,  -1.15,   -.72,  -1.03,  -1.24,     24,   52.7,
       29,      00,   195602,    .66,   32.8,  -3.04,  -3.04,    .42,  -2.82,      0,    876,    .27,    .07,   -.46,  -1.18,   -.88,   -.88,  -1.14,   18.3,   47.2,
       29,      00,   195603,    .06,   44.7,  -3.39,  -3.39,  -1.98,  -3.39,      0,    602,  -2.45,   -.91,   -.74,  -1.25,   -.82,   -.93,  -1.34,   26.8,   62.6,
       29,      00,   195604,    .15,     50,  -3.84,  -3.84,  -2.41,  -3.84,      1,    424,  -1.68,  -3.09,  -1.39,  -1.61,  -1.54,  -1.03,   -1.4,   33.1,   66.9,
       29,      00,   195605,    .57,   63.4,   -4.4,   -4.4,  -2.87,   -4.4,     77,    102,   -.54,  -1.17,  -1.79,  -1.42,  -1.65,  -1.33,  -1.61,   45.2,   81.6,
       29,      00,   195606,     .7,   72.9,  -4.86,  -4.86,  -2.74,  -4.86,    277,      9,   -.55,   -.85,  -1.33,  -1.34,  -1.57,  -1.21,   -1.5,   56.3,   89.4,
       29,      00,   195607,   1.77,   72.5,  -4.95,  -4.95,  -1.76,  -4.95,    263,      4,    -.7,   -.98,  -1.23,  -1.85,     -2,  -1.78,  -1.47,   57.3,   87.7,
       29,      00,   195608,   1.34,   70.1,  -5.39,  -5.39,  -2.84,  -5.39,    197,     14,  -1.42,  -1.56,  -1.83,   -2.5,  -2.24,  -2.25,  -2.01,   54.7,   85.5,
       29,      00,   195609,    .07,   67.2,  -6.33,  -6.33,  -4.49,  -6.33,    129,     36,  -2.16,  -2.72,  -2.36,  -2.67,  -2.69,  -3.06,  -2.42,   48.8,   85.5,
       29,      00,   195610,    .51,   56.1,  -6.29,  -6.29,  -1.83,  -6.29,      8,    264,   -.66,  -2.31,  -2.96,   -2.7,  -2.97,  -3.09,  -3.09,   39.4,   72.8,
       29,      00,   195611,    .07,   38.2,     -6,     -6,  -1.09,     -6,      0,    795,   -1.4,  -1.39,  -2.53,  -2.59,  -3.09,  -3.09,  -3.09,   21.1,   55.2,
       29,      00,   195612,    .13,   34.6,  -5.94,  -5.94,  -1.65,  -5.94,      0,    936,  -1.47,  -2.28,   -1.8,  -2.71,  -2.93,  -3.01,  -2.49,   18.5,   50.7,
       29,      00,   195701,    .88,   36.9,  -5.34,  -5.34,   -.05,  -5.31,      0,    833,    .73,   -.37,     -1,  -2.77,  -2.58,  -3.03,  -2.46,   24.7,   49.1,
       29,      00,   195702,     .6,   45.2,  -5.37,  -5.37,  -1.74,  -5.37,      0,    527,    .12,    .48,   -.34,  -2.05,  -2.52,  -3.09,  -2.43,   31.6,   58.7,
       29,      00,   195703,    1.1,   43.8,   -4.6,   -4.6,    .64,  -4.31,      0,    628,    .97,    .68,    .79,   -.64,   -2.2,  -2.41,  -2.13,   30.3,   57.2,
       29,      00,   195704,    .91,   49.5,  -3.85,  -3.85,    .83,   -3.2,      1,    430,     .6,    .82,    .68,   -.08,  -1.84,  -2.09,  -2.09,   34.4,   64.5,
