StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       30,      00,   195601,      2,   20.2,    .83,    .83,  -1.27,   -.88,      0,   1215,   -.84,  -1.82,  -1.74,   1.36,    .09,    .38,    .53,   13.3,   27.2,
       30,      00,   195602,   3.39,   23.9,   1.26,   1.26,   1.54,    .19,      0,    994,    .98,    .04,  -1.03,    .68,    .61,    .49,    .53,   15.5,   32.3,
       30,      00,   195603,   4.49,   25.7,   1.99,   1.99,   2.59,   1.77,      0,   1059,   1.36,   1.57,     .9,   1.48,   1.39,    .44,    .61,   16.1,   35.2,
       30,      00,   195604,   3.77,   39.7,   2.28,   2.28,   1.48,   2.28,      0,    669,    .55,   1.27,   1.58,   -.06,   1.83,    .69,    .49,     30,   49.3,
       30,      00,   195605,   3.81,   50.4,   2.36,   2.36,    .95,   2.36,      0,    362,    .26,    .48,   1.04,    .23,   1.05,    .98,    .49,   38.4,   62.5,
       30,      00,   195606,   2.37,     64,   1.45,   1.45,  -1.99,    .52,     86,     37,  -1.16,   -.57,   -.23,    .29,    .92,    .97,    .26,   52.3,   75.7,
       30,      00,   195607,   4.15,   65.3,   1.65,   1.65,   1.05,   1.14,    129,     18,    .36,   -.56,   -.35,    .62,   -.28,    1.3,    .58,   55.2,   75.4,
       30,      00,   195608,   3.69,   65.4,   1.53,   1.53,    .15,   1.03,    144,     21,    .04,    .16,    -.5,    .32,   -.21,    .59,    .52,   54.5,   76.4,
       30,      00,   195609,   4.29,   55.5,   1.84,   1.84,    1.4,   1.84,     13,    183,    .51,    .41,    .47,    .05,    .44,    .94,    .56,   44.7,   66.3,
       30,      00,   195610,   1.78,   49.3,   -.58,   1.07,  -1.73,    .17,      0,    391,  -1.23,   -.55,   -.47,   -.62,    .18,   -.55,    .35,   36.9,   61.8,
       30,      00,   195611,   2.81,   37.7,   -.91,    .58,  -1.16,   -.87,      0,    708,   -.44,  -1.29,   -.73,   -.93,   -.21,   -.61,    .09,   28.6,   46.7,
       30,      00,   195612,   3.46,     29,   -.66,    .67,    .45,   -.52,      0,    960,    .32,   -.09,    -.9,   -.37,   -.46,   -.09,    .04,   21.3,   36.6,
       30,      00,   195701,   2.39,   14.5,    -.8,    -.8,   -.63,    -.8,      0,   1370,   -.35,   -.13,   -.36,   -.64,   -.76,   -.01,    .23,    4.4,   24.6,
       30,      00,   195702,   1.61,     26,   -1.3,   -1.3,  -1.73,   -1.3,      0,    960,  -1.16,  -1.16,   -.69,  -1.07,  -1.19,   -.47,    .01,   16.8,   35.3,
       30,      00,   195703,   1.75,   32.1,  -1.86,  -1.86,  -2.09,  -1.86,      0,    889,  -1.35,  -1.91,  -1.93,  -2.05,  -1.17,  -1.15,   -.43,     23,   41.2,
       30,      00,   195704,   3.54,   45.4,  -1.72,  -1.72,   -.15,  -1.72,      0,    502,    .34,   -.71,  -1.24,  -1.15,  -1.23,  -1.24,    -.3,   34.9,   55.8,
       30,      00,   195705,   3.77,   53.7,  -1.44,  -1.44,    .31,  -1.21,     10,    256,    .23,    .35,   -.35,   -.78,  -1.05,  -1.22,   -.12,   42.1,   65.3,
       30,      00,   195706,   3.74,     67,  -1.44,  -1.44,   -.44,  -1.35,    149,     12,    .07,    .13,    .22,   -.87,  -1.21,   -.84,    .09,   55.3,   78.8,
       30,      00,   195707,   3.78,   67.1,  -1.15,  -1.15,    .41,   -.78,    191,     10,    .04,   -.01,    .05,   -.68,   -.77,   -.93,     .3,   55.5,   78.7,
       30,      00,   195708,   1.62,   63.6,  -2.08,  -2.08,  -3.14,  -2.08,    106,     38,  -2.61,  -1.47,   -1.1,  -1.07,   -1.3,   -1.4,   -.52,   51.5,   75.8,
       30,      00,   195709,   3.23,   59.5,  -2.25,  -2.25,  -1.14,  -2.25,     45,     97,   -.27,  -1.99,  -1.52,   -.73,  -1.57,  -1.74,   -.42,   47.9,   71.1,
       30,      00,   195710,   1.96,     47,   -2.8,   -2.8,  -2.35,   -2.8,      0,    446,  -1.06,  -1.03,     -2,   -1.3,  -1.81,  -1.84,  -1.51,   36.4,   57.6,
       30,      00,   195711,   3.01,   38.4,  -3.29,  -3.29,  -2.36,  -3.29,      0,    666,   -.25,  -1.02,  -1.08,  -1.51,  -1.57,  -1.81,   -1.5,   30.1,   46.7,
       30,      00,   195712,   4.33,   30.2,     .5,  -2.46,   1.49,   -1.8,      0,    936,   1.06,    .51,   -.28,  -1.14,   -.77,  -1.51,  -1.04,   22.4,     38,
       30,      00,   195801,   4.04,   20.2,   1.15,  -1.51,    2.1,    .02,      0,   1230,   1.16,   1.58,      1,   -.73,   -.56,  -1.03,   -.66,   12.3,   28.2,
       30,      00,   195802,   3.13,   15.8,   1.38,     -1,   1.06,    .89,      0,   1223,    .73,   1.35,   1.69,    .22,   -.49,   -.66,   -.73,    7.1,   24.4,
       30,      00,   195803,   2.16,   31.8,    .78,  -1.35,  -1.38,   -.04,      0,    912,   -.91,   -.19,    .57,    .06,   -.76,   -.55,  -1.07,   25.1,   38.5,
       30,      00,   195804,    3.7,     45,    .77,  -1.14,    .22,    .21,      0,    513,    .48,   -.27,    .09,    .79,    -.6,   -.51,  -1.03,   33.6,   56.5,
       30,      00,   195805,   3.21,   51.4,    .67,  -1.04,   -.06,    .24,      0,    346,   -.21,    .14,   -.35,     .8,   -.08,   -.64,  -1.15,   39.6,   63.2,
       30,      00,   195806,   4.09,   58.8,   1.12,   1.12,   1.53,   1.12,     21,    118,    .31,    .03,     .2,    .46,    .12,   -.54,   -.89,   47.4,   70.2,
       30,      00,   195807,   4.55,   68.1,   1.52,   1.52,   1.56,   1.52,    200,      5,    .68,    .54,    .27,    .24,    .72,   -.33,   -.89,   58.3,     78,
       30,      00,   195808,   3.18,   65.6,   1.27,   1.27,   -.29,   1.04,    150,     20,   -.47,    .09,    .25,   -.13,    .68,    .01,   -.97,     54,   77.1,
       30,      00,   195809,   5.02,   58.8,    1.9,    1.9,   2.29,    1.9,     28,    121,    .98,    .53,    .74,    .55,    .75,    .41,   -.85,     49,   68.6,
       30,      00,   195810,   4.22,   47.2,   2.43,   2.43,   2.18,   2.43,      0,    457,    .56,    .98,    .63,    .62,    .57,    .91,   -.46,   37.1,   57.2,
       30,      00,   195811,   3.31,   38.1,    .02,   2.21,    .07,   2.17,      0,    692,    .01,    .41,    .83,    .68,    .38,      1,   -.37,   29.7,   46.4,
       30,      00,   195812,   1.45,   16.3,   -.91,   1.07,  -2.72,   -.22,      0,   1325,  -1.91,  -1.15,   -.43,    .12,    .18,    .38,   -.68,    6.8,   25.7,
       30,      00,   195901,   3.89,     18,    -.2,   1.58,   1.85,   1.07,      0,   1272,   1.05,   -.49,   -.36,    .29,    .34,    .34,   -.41,      9,     27,
       30,      00,   195902,   2.66,   18.1,   -.11,   1.48,     .2,   1.01,      0,   1142,    .23,    .92,   -.36,    .51,    .47,    .22,   -.28,    6.9,   29.3,
       30,      00,   195903,   2.92,   28.6,   -.13,    1.3,   -.09,    .75,      0,    974,   -.13,    .03,    .66,      0,    .37,    .37,   -.12,   18.4,   38.8,
       30,      00,   195904,   2.81,   44.3,   -.52,    .76,  -1.23,   -.29,      0,    521,    -.4,   -.36,   -.28,    -.5,    .09,    .17,   -.22,   33.1,   55.5,
       30,      00,   195905,   2.19,   57.3,  -1.31,  -1.31,   -2.5,  -1.31,     23,    183,  -1.11,  -1.02,     -1,  -1.04,   -.16,   -.07,   -.47,   44.9,   69.8,
       30,      00,   195906,    3.2,   64.3,  -1.49,  -1.49,   -.96,  -1.49,     79,     38,   -.35,  -1.04,  -1.06,   -.52,   -.68,   -.27,   -.54,     54,   74.6,
       30,      00,   195907,   3.05,   69.7,  -1.87,  -1.87,   -1.6,  -1.87,    217,      3,   -.67,   -.72,   -1.2,  -1.18,  -1.23,    -.6,   -.68,     58,   81.5,
