StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       31,      00,   195601,   1.79,   37.1,  -1.63,  -1.63,  -2.21,  -1.63,      0,    854,   -1.5,  -2.85,  -2.26,    .24,   -.01,   -.19,   -1.4,   26.8,   47.4,
       31,      00,   195602,   5.87,   45.9,     .7,   -.75,   2.11,    .39,      1,    541,   1.36,    .09,   -.94,   -.16,    .48,    .27,     -1,   35.3,   56.6,
       31,      00,   195603,   3.51,   48.4,    .35,   -.96,   -.84,   -.22,      3,    513,   -.46,    .66,   -.17,  -1.14,    .53,    .29,  -1.16,     36,   60.7,
       31,      00,   195604,   4.03,   56.2,    .64,    .64,    .98,    .64,      3,    265,     .4,   -.11,     .7,   -.82,    .56,     .3,     -1,   43.8,   68.5,
       31,      00,   195605,    3.4,   67.1,   -.27,   -.27,   -.81,     .3,    122,     46,   -.39,    .03,    -.3,   -.84,   -.28,    .24,  -1.14,   54.9,   79.2,
       31,      00,   195606,   3.44,   73.9,    -.6,    -.6,  -1.06,    -.6,    282,      3,   -.71,   -.79,   -.43,   -.46,  -1.16,    .18,   -.93,   61.9,   85.9,
       31,      00,   195607,   6.39,     77,   -.36,   -.36,    .52,   -.36,    384,      0,    .51,   -.08,   -.27,    .23,   -.89,     .3,   -.61,   66.4,   87.7,
       31,      00,   195608,   4.07,   75.9,   -.72,   -.72,  -1.18,   -.72,    351,      0,   -.53,   -.12,   -.46,   -.57,   -.98,    -.5,   -.58,   64.6,   87.1,
       31,      00,   195609,    5.9,   68.2,    .58,    .58,   1.75,    .58,    129,     30,    .82,    .27,    .42,    .04,   -.14,   -.76,   -.02,   57.2,   79.2,
       31,      00,   195610,    4.7,   61.5,    1.1,    1.1,   1.71,    1.1,     46,    158,    .84,   1.07,    .62,    .24,    .52,   -.39,    .05,   52.4,   70.5,
       31,      00,   195611,   1.66,   48.1,   -.43,    .56,  -1.28,   -.41,      0,    509,   -.89,    .12,    .51,    .05,   -.15,   -.61,   -.16,   36.3,   59.8,
       31,      00,   195612,    2.9,   50.3,   -.83,   -.83,  -1.35,   -.83,     10,    466,   -.49,  -1.05,   -.19,    .12,   -.14,   -.27,   -.28,   38.9,   61.8,
       31,      00,   195701,   3.47,     41,   -.89,   -.89,   -.44,   -.89,      1,    742,   -.12,   -.42,   -.88,   -.16,   -.35,      0,   -.16,   31.2,   50.8,
       31,      00,   195702,   5.06,     47,   -.44,   -.44,   1.09,   -.44,      1,    504,    .85,     .5,    .12,    .44,    .05,   -.12,    .03,   36.7,   57.3,
       31,      00,   195703,   3.75,   47.8,   -.55,   -.55,   -.48,   -.55,      3,    532,   -.29,    .42,    .23,   -.02,    .19,   -.06,    .11,   37.5,     58,
       31,      00,   195704,   3.35,   61.2,   -.74,   -.74,   -.72,   -.74,     28,    134,   -.14,   -.32,    .28,   -.41,      0,   -.23,    .13,   48.3,   74.1,
       31,      00,   195705,   3.95,   67.7,   -.74,   -.74,   -.26,   -.74,    135,     40,    .01,   -.04,   -.25,   -.12,    .23,   -.12,    .16,   56.2,   79.2,
       31,      00,   195706,   6.06,   74.9,     .7,     .7,    2.1,     .7,    304,      1,   1.01,    .72,     .6,    .46,     .2,    .33,    .44,   64.4,   85.3,
       31,      00,   195707,   2.58,   76.6,    -.9,    -.9,   -2.7,    -.9,    370,      0,   -2.1,   -.62,   -.51,   -.23,   -.69,    -.3,    .06,   64.4,   88.7,
       31,      00,   195708,   4.28,   74.3,  -1.18,  -1.18,  -1.12,  -1.18,    298,      1,   -.39,   -1.6,   -.81,   -.81,   -.57,   -.18,   -.56,   62.6,   85.9,
       31,      00,   195709,   7.56,   71.8,    .91,    .91,   2.73,    .91,    215,     10,   1.37,    .87,   -.16,    .16,    .17,    .03,   -.52,   62.3,   81.3,
       31,      00,   195710,   2.65,   55.2,    .94,    .94,    .37,    .94,      8,    311,   -.24,    .95,    .57,    .06,    .15,   -.26,   -.52,   44.7,   65.8,
       31,      00,   195711,   7.04,   50.6,   2.42,   2.42,   4.71,   2.42,      1,    432,      2,   1.27,   1.73,    .94,    .69,    .57,   -.06,   40.1,     61,
       31,      00,   195712,    4.3,   43.5,   2.47,   2.47,    .91,   2.47,      0,    669,    .49,   1.83,   1.28,    .78,    .88,    .84,    .37,   32.3,   54.6,
       31,      00,   195801,   4.05,   34.8,   2.41,   2.41,    .58,   2.41,      0,    937,    .28,    .49,   1.57,   1.48,    .95,    .93,    .66,   24.7,   44.9,
       31,      00,   195802,   3.91,   34.5,   2.34,   2.34,    .55,   2.34,      0,    851,    .11,    .23,    .42,   1.63,   1.03,    .76,     .4,   23.9,   45.2,
       31,      00,   195803,   4.03,   44.3,   2.18,   2.18,    .24,   2.18,      0,    640,   -.09,    .05,    .13,    .98,     .7,    .82,     .5,   35.2,   53.4,
       31,      00,   195804,   5.63,   57.7,   2.88,   2.88,   2.78,   2.88,      8,    219,    1.6,     .9,    .75,   1.51,    1.6,   1.23,    .75,   46.5,   68.9,
       31,      00,   195805,   4.85,   66.8,   2.92,   2.92,      1,   2.92,    116,     50,    .64,   1.49,    1.1,    .93,   1.78,   1.38,    .98,   55.8,   77.8,
       31,      00,   195806,   4.35,   72.7,   2.76,   2.76,    .41,   2.76,    251,      3,   -.02,    .37,   1.11,    .75,   1.29,   1.06,   1.05,   61.7,   83.6,
       31,      00,   195807,      5,   78.1,    -.2,   2.28,   -.59,   1.97,    414,      0,   -.31,   -.29,    .07,    .49,   1.31,   1.41,    .88,   68.2,     88,
       31,      00,   195808,   6.01,   76.1,    .28,   2.32,    .83,   2.29,    351,      0,    .55,    .09,    .03,    .69,    .75,    1.6,   1.11,   65.8,   86.3,
       31,      00,   195809,   2.27,   69.2,   -.52,   1.56,  -1.56,    .79,    155,     21,   -.98,   -.36,   -.52,    .23,    .18,    .78,    .65,   56.9,   81.5,
       31,      00,   195810,   4.19,   57.9,   -.15,   1.72,    .96,   1.32,     17,    239,     .6,   -.32,   -.02,   -.03,    .33,   1.03,    .53,   45.9,   69.8,
       31,      00,   195811,   1.71,   52.5,    -.7,    .97,  -1.71,   -.18,      3,    378,   -.85,   -.07,   -.71,   -.59,    .05,    .17,    .48,   40.6,   64.4,
       31,      00,   195812,   4.14,   36.8,   -.25,   1.25,   1.14,    .55,      0,    876,    .39,   -.35,    .09,   -.45,    .19,    .16,    .72,   25.4,   48.2,
       31,      00,   195901,   2.62,   38.7,   -.66,    .68,  -1.31,   -.51,      0,    817,   -.77,   -.23,    -.7,   -.57,    -.5,   -.11,    .58,   26.6,   50.7,
       31,      00,   195902,   3.67,   43.7,   -.68,   -.68,   -.26,   -.68,      0,    598,   -.05,   -.58,   -.25,   -.76,   -.71,   -.13,    .39,   33.4,   53.9,
       31,      00,   195903,   4.92,   47.4,    .33,    .33,    .98,    .33,      2,    548,    .51,    .33,   -.15,   -.09,   -.53,    .05,    .58,   34.7,     60,
       31,      00,   195904,   5.65,   59.4,   1.13,   1.13,   2.52,   1.13,     15,    174,   1.62,   1.31,    .96,     .2,    .06,   -.01,    .91,   47.2,   71.6,
       31,      00,   195905,   3.25,   69.2,   -.46,    .55,  -1.39,   -.45,    171,     26,    -.5,    .78,    .84,    .32,    -.2,   -.27,    .87,   57.8,   80.7,
       31,      00,   195906,      3,   73.3,   -.96,   -.96,  -1.62,   -.96,    267,      3,  -1.11,  -1.13,    .03,   -.18,   -.14,   -.51,    .44,     61,   85.6,
       31,      00,   195907,   9.14,   76.6,   1.08,   1.08,   3.24,   1.08,    367,      0,   1.86,    .84,    .46,    .92,    .37,    .22,   1.26,   67.1,     86,
       31,      00,   195908,   4.51,   77.3,    .85,    .85,   -.36,    .49,    391,      0,   -.25,   1.07,    .44,    .83,    .52,    .06,   1.27,   66.9,   87.8,
       31,      00,   195909,   5.36,   70.4,   1.24,   1.24,   1.45,   1.24,    179,     15,    .62,    .23,   1.13,    .82,    .56,    .48,    .97,   60.1,   80.7,
