StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       32,      00,   195601,    .67,    5.3,   -.01,  -1.24,    .41,    -.7,      0,   1866,    .78,    .26,    .63,   -.37,   -.05,   -.08,    .11,   -4.2,   14.9,
       32,      00,   195602,    .24,    7.8,   -.28,  -1.39,   -.81,  -1.13,      0,   1629,   -.79,    .06,   -.18,   -.25,   -.22,   -.18,     .1,   -3.2,   18.9,
       32,      00,   195603,   1.06,   21.2,   -.04,  -1.03,    .63,   -.43,      0,   1386,    .85,    .36,    .57,    .01,   -.01,    .04,    .14,   10.9,   31.6,
       32,      00,   195604,    .35,   34.8,   -.44,  -1.33,  -1.22,  -1.19,      0,    917,  -1.67,   -.85,  -1.13,   -.48,   -.87,   -.36,    .01,   23.3,   46.2,
       32,      00,   195605,    2.6,   53.1,    -.1,    -.9,    .89,   -.23,     13,    380,    .27,   -.53,   -.28,    -.4,    -.4,   -.35,    .07,   40.7,   65.6,
       32,      00,   195606,   3.28,   68.2,   -.55,  -1.27,   -1.4,  -1.23,    156,     54,   -.03,    .04,   -.51,   -.36,   -.54,   -.42,    -.3,     55,   81.4,
       32,      00,   195607,   3.24,     66,    .46,   -.68,   1.38,    .24,    111,     79,    .73,    .31,     .3,   -.17,   -.01,   -.36,    .03,   53.9,     78,
       32,      00,   195608,   2.83,     66,    .96,    .96,   1.65,    .96,    108,     75,    .87,      1,    .64,    .24,    .16,    .01,    .08,   52.3,   79.7,
       32,      00,   195609,    .63,     54,    -.6,    -.6,  -1.81,    -.6,      8,    340,  -1.19,    -.1,    .27,   -.24,   -.16,   -.31,   -.56,   39.9,   68.2,
       32,      00,   195610,    .74,   47.6,   -.99,   -.99,  -1.35,   -.99,      0,    530,   -.25,   -1.1,   -.34,   -.07,   -.41,   -.28,   -.55,   32.8,   62.4,
       32,      00,   195611,   1.34,   28.2,   -.13,   -.13,   2.29,    .76,      0,   1104,   1.39,    .55,   -.36,    .21,   -.06,   -.11,   -.25,   19.4,   37.1,
       32,      00,   195612,    .43,     17,   -.11,   -.11,      0,    .69,      0,   1509,   -.11,   1.16,    .44,    .36,   -.18,   -.09,   -.15,    7.5,   26.5,
       32,      00,   195701,     .3,      1,   -.29,   -.29,   -.57,    .42,      0,   1992,   -.59,   -.53,    .79,   -.03,    .11,   -.22,   -.18,   -8.8,   10.8,
       32,      00,   195702,    .21,     12,   -.51,   -.51,   -.75,   -.51,      0,   1498,  -1.02,  -1.25,  -1.06,    -.7,      0,   -.23,   -.25,    1.8,   22.3,
