StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       33,      00,   195601,   1.85,   25.2,  -1.63,  -1.63,   -.69,  -1.63,      0,   1238,   -.52,  -2.24,  -1.12,   -.54,  -1.01,   -.53,   -.73,   17.7,   32.8,
       33,      00,   195602,   4.56,   32.5,   1.16,   1.16,   3.47,   1.16,      0,    927,   1.88,     .8,   -.41,    .15,   -.26,   -.34,   -.28,   24.1,   40.8,
       33,      00,   195603,   4.26,   36.8,   1.56,   1.56,   1.56,   1.56,      0,    889,    .72,   1.63,    .99,    .54,    .34,   -.35,   -.17,   26.7,   46.9,
       33,      00,   195604,    3.7,   46.7,   1.65,   1.65,    .75,   1.65,      0,    561,    .22,    .63,   1.42,    .27,    .38,   -.22,   -.23,   35.7,   57.7,
       33,      00,   195605,   5.47,   59.3,   2.19,   2.19,   2.15,   2.19,     37,    229,   1.14,    .97,   1.12,    .58,    .83,    .34,    .19,   47.4,   71.2,
       33,      00,   195606,   4.08,     69,   2.07,   2.07,     .3,   2.07,    143,     30,    .15,    .81,    .76,   1.22,    .93,    .66,    .29,   57.6,   80.4,
       33,      00,   195607,    4.7,   71.7,   2.37,   2.37,   1.54,   2.37,    207,      6,    .65,    .45,    .93,   1.72,    .79,    .81,    .47,   61.4,   81.9,
       33,      00,   195608,   3.99,   70.5,   2.55,   2.55,   1.28,   2.55,    182,     15,    .55,    .78,    .61,    1.3,    .83,   1.04,    .36,   59.6,   81.4,
       33,      00,   195609,   2.34,   61.1,   -.04,   2.25,   -.11,   2.14,     29,    155,   -.49,    .04,    .35,    .71,   1.17,    .91,    .51,   48.7,   73.5,
       33,      00,   195610,   1.15,   56.4,   -.68,   1.37,  -1.94,    .37,     14,    285,  -1.27,  -1.19,   -.68,    .21,   1.05,     .3,   -.32,   43.5,   69.4,
       33,      00,   195611,   1.59,   40.7,  -1.18,    .66,  -1.71,  -1.05,      0,    735,   -.96,  -1.57,  -1.51,   -.65,     .1,   -.13,   -.27,   30.7,   50.7,
