StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       34,      00,   195601,    .74,   35.8,  -4.07,  -4.07,  -2.25,  -4.07,      0,    916,   -.69,  -1.85,  -2.57,   -.88,   -.56,   -.75,  -1.68,   24.1,   47.5,
       34,      00,   195602,   1.78,     41,  -4.18,  -4.18,  -1.59,  -4.18,      0,    656,    .36,   -.24,  -1.14,   -.87,  -1.17,   -.78,  -1.58,   29.4,   52.6,
       34,      00,   195603,    .78,   50.7,  -4.76,  -4.76,  -3.03,  -4.76,     13,    441,  -1.49,   -.87,  -1.06,  -1.74,  -1.44,  -1.04,  -1.62,   36.4,   65.1,
       34,      00,   195604,   1.53,   58.2,   -5.1,   -5.1,  -2.48,   -5.1,     20,    219,  -1.44,  -2.07,  -1.63,  -2.73,  -1.67,  -1.14,  -2.04,     44,   72.4,
       34,      00,   195605,   4.09,   73.2,  -5.62,  -5.62,  -3.15,  -5.62,    267,      8,   -.21,  -1.13,   -1.7,  -1.95,  -1.66,  -1.84,  -2.55,   60.9,   85.5,
       34,      00,   195606,   2.08,   79.7,  -6.37,  -6.37,  -3.98,  -6.37,    427,      0,   -1.1,   -.93,  -1.67,  -1.73,  -2.12,  -1.85,  -2.11,   67.3,   92.1,
       34,      00,   195607,   2.35,   83.8,  -6.73,  -6.73,  -3.07,  -6.73,    597,      0,   -.29,  -1.01,  -1.01,   -1.7,  -2.34,   -1.8,  -1.93,   70.6,     97,
       34,      00,   195608,   1.21,   84.5,  -7.12,  -7.12,  -3.23,  -7.12,    631,      0,  -1.35,  -1.01,  -1.43,  -2.22,  -2.22,  -2.03,  -2.09,   69.4,   99.6,
       34,      00,   195609,    .25,   76.7,  -7.67,  -7.67,  -3.85,  -7.67,    370,      6,  -2.48,  -2.35,  -1.98,   -2.7,  -2.67,  -2.98,  -2.17,   60.4,     93,
       34,      00,   195610,   2.26,   66.1,  -7.36,  -7.36,  -1.43,  -7.36,    119,     70,   -.22,   -1.6,  -2.28,  -2.06,  -2.45,  -2.82,  -2.05,   52.1,     80,
       34,      00,   195611,   1.91,   46.6,  -6.82,  -6.82,   -.68,  -6.82,      0,    541,   -.01,   -.28,  -1.35,  -1.99,  -2.58,   -2.5,   -1.8,   33.7,   59.5,
       34,      00,   195612,   1.74,   42.4,  -6.37,  -6.37,   -.74,  -6.37,      0,    704,    .23,   -.01,   -.27,  -1.63,  -2.23,  -2.21,  -1.87,   30.4,   54.4,
       34,      00,   195701,    1.6,   33.8,   -5.8,   -5.8,   -.26,   -5.8,      0,    976,    .35,    .22,    .07,   -1.6,  -1.75,  -2.09,  -1.83,   23.8,   43.7,
       34,      00,   195702,   1.63,   46.1,  -5.51,  -5.51,   -.94,  -5.51,      4,    532,    .21,    .26,    .18,  -1.03,  -1.73,  -2.18,  -1.91,   36.3,   55.9,
       34,      00,   195703,   3.84,   46.6,    .56,  -4.39,   1.68,  -3.71,      1,    563,   1.07,    .86,    .77,    .23,  -1.05,   -1.7,  -1.74,   36.8,   56.4,
       34,      00,   195704,   8.04,   56.9,   2.46,  -1.98,   5.86,    .89,     15,    242,   2.44,   2.31,   2.11,   1.55,    .21,   -.43,  -1.11,   47.1,   66.7,
       34,      00,   195705,  10.54,   66.5,   4.06,   4.06,   5.56,   4.06,    119,     50,   2.19,   3.08,   3.05,   2.66,   1.53,    .66,   -.71,   56.7,   76.4,
       34,      00,   195706,   7.04,   75.3,    4.8,    4.8,   3.49,    4.8,    318,      1,   1.48,   2.47,   3.05,   2.77,   2.22,   1.37,   -.25,   64.6,     86,
