StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       35,      00,   195601,   8.37,   32.1,   3.92,   3.92,   4.12,   3.92,      0,    836,   1.78,   2.33,   2.21,   2.28,   1.87,   1.78,    .35,   25.6,   38.6,
       35,      00,   195602,   4.57,     28,   3.99,   3.99,   1.42,   3.99,      0,    875,    .59,   1.77,   2.57,   2.47,   2.19,   2.11,    .56,   20.3,   35.6,
       35,      00,   195603,   3.12,   37.2,   3.42,   3.42,   -.47,   3.18,      0,    749,   -.16,    .34,   1.36,   2.15,   2.16,   1.93,    .63,   27.5,   46.9,
       35,      00,   195604,   1.08,   45.2,   2.39,   2.39,  -2.04,   1.31,      0,    494,  -1.49,   -.93,   -.19,   1.74,   1.87,   1.54,    .53,   32.8,   57.7,
       35,      00,   195605,   3.29,   52.8,   2.62,   2.62,   1.44,   2.06,      4,    302,   1.12,   -.01,   -.17,   2.14,   2.21,   1.96,    .83,   41.2,   64.4,
       35,      00,   195606,   1.63,   55.4,   2.51,   2.51,    .47,   2.07,      1,    261,    .29,      1,    .06,   1.19,   2.15,   2.12,    .72,   42.4,   68.4,
       35,      00,   195607,    .68,     66,   2.73,   2.73,   1.43,   2.73,     81,     54,    .68,    .44,   1.08,    .32,   1.94,   2.06,    .76,   50.5,   81.4,
       35,      00,   195608,    .71,   62.7,   2.61,   2.61,     .5,   2.61,     46,     88,     .5,    .58,    .49,    .02,   2.02,   2.15,     .7,     48,   77.5,
       35,      00,   195609,    .59,   58.1,   1.99,   1.99,  -1.07,   1.47,     17,    163,   -.76,   -.42,   -.19,   -.11,   1.06,   2.05,    .65,   42.7,   73.6,
       35,      00,   195610,   5.56,     46,   3.17,   3.17,   4.17,   3.17,      0,    487,   1.93,   1.52,    1.5,   1.93,    .97,   2.32,    1.1,   35.9,   56.2,
       35,      00,   195611,    1.1,     36,   2.13,   2.13,  -2.15,    1.2,      0,    737,  -1.81,   -.12,   -.37,   -.22,   -.32,    1.6,    .89,   25.9,   46.1,
       35,      00,   195612,   3.89,   33.1,   1.56,   1.56,  -1.04,     .2,      0,    832,   -.42,  -1.44,   -.35,   -.42,   -.36,    .51,    .85,   24.8,   41.3,
       35,      00,   195701,   2.74,     22,     .7,     .7,  -2.12,  -1.43,      0,   1097,  -1.01,   -.92,  -1.65,   -.88,   -.45,   -.59,    .87,   13.6,   30.4,
       35,      00,   195702,   4.25,   34.2,    .88,    .88,    .76,   -.84,      0,    704,    .43,   -.53,   -.68,   -.72,   -.59,   -.64,   1.08,   25.8,   42.5,
       35,      00,   195703,   6.37,     39,   2.06,   2.06,   3.81,   1.55,      0,    668,   1.79,   1.34,    .51,    .07,      0,    .03,   1.37,   31.3,   46.7,
       35,      00,   195704,   1.91,   44.3,   1.63,   1.63,   -.64,    .87,      0,    496,   -.47,   1.25,   1.12,   -.69,   -.13,    .17,    1.2,   33.6,     55,
       35,      00,   195705,   3.35,   52.2,   2.06,   2.06,   1.79,   1.81,      4,    308,   1.16,    .57,   1.55,     .3,    .07,    .18,   1.49,   41.6,   62.8,
       35,      00,   195706,    .91,   58.9,   1.51,   1.51,  -1.01,    .81,     12,    172,   -.66,    .53,    .16,    .47,    .08,    .03,   1.51,   45.3,   72.4,
       35,      00,   195707,    .34,   62.8,   1.27,   1.27,   -.27,    .43,     36,    105,   -.15,   -.75,    .43,   1.12,   -.57,   -.04,   1.45,   47.4,   78.2,
       35,      00,   195708,    .33,     61,    .98,    .98,   -.49,   -.05,     24,    124,   -.24,    -.5,   -.92,   1.04,    .07,   -.11,   1.45,   45.7,   76.4,
       35,      00,   195709,   1.16,   60.2,    .79,    .79,   -.27,   -.31,     49,     99,    .13,   -.18,   -.37,    -.1,    .33,   -.01,   1.45,   44.8,   75.6,
       35,      00,   195710,   3.45,     46,   1.17,   1.17,   1.39,    .54,      0,    450,     .8,    .64,    .44,    .57,   1.21,   -.42,    1.4,   37.4,   54.6,
       35,      00,   195711,   2.75,   35.5,    .63,    .63,  -1.25,   -.37,      0,    725,   -.79,    -.3,   -.33,   -.68,    .46,   -.11,   1.05,   25.7,   45.3,
       35,      00,   195712,    7.2,   35.4,   1.23,   1.23,   1.98,    .69,      0,    757,   1.05,    .21,    .45,    .33,    .34,    .55,    .71,   28.2,   42.6,
       35,      00,   195801,   5.91,   33.7,   1.52,   1.52,   1.24,   1.29,      0,    768,    .69,   1.08,    .46,     .6,    .66,    1.1,    .39,   27.1,   40.4,
       35,      00,   195802,   6.18,   40.5,   2.21,   2.21,   2.54,   2.21,      0,    537,   1.36,   1.45,   1.66,    1.1,    .88,   1.41,    .57,   33.8,   47.1,
       35,      00,   195803,   2.66,     36,   1.67,   1.67,   -.93,   1.19,      0,    729,   -.53,    .76,    .95,    .89,     .8,    .78,    .53,   26.7,   45.3,
       35,      00,   195804,   3.14,   42.8,   1.99,   1.99,   1.46,   1.99,      0,    536,    .78,    .03,    .95,    .86,    .96,    .98,    .82,     33,   52.7,
       35,      00,   195805,   1.58,   56.4,   1.27,   1.27,  -1.53,    .49,     12,    222,   -.46,    .23,   -.22,   1.29,    .89,     .7,    .66,   42.2,   70.7,
       35,      00,   195806,   3.09,   59.3,   1.78,   1.78,   1.93,   1.78,     26,    128,   1.69,    .82,   1.01,   1.34,   1.19,   1.09,    .83,   47.9,   70.8,
       35,      00,   195807,    .66,   66.8,   1.81,   1.81,    .64,   1.81,    132,     25,    .64,   1.64,    .91,   1.17,   1.05,   1.13,    .83,   51.6,     82,
       35,      00,   195808,    .34,   67.6,   -.26,   1.37,   -.77,    .93,    121,     27,   -.22,    .05,   1.28,     .4,   1.51,   1.12,    .76,   51.6,   83.6,
       35,      00,   195809,    .96,   57.2,    -.4,   1.06,   -.51,    .32,     18,    162,   -.14,   -.42,   -.22,    .74,   1.19,    1.1,    .81,   43.3,   71.1,
       35,      00,   195810,   1.39,   50.5,   -.98,   -.98,  -1.86,   -.98,      0,    355,   -.75,   -.84,   -.95,   -.17,    .62,    .73,    .26,   35.9,   65.1,
       35,      00,   195811,   5.18,     39,   -.84,   -.84,    .11,   -.84,      0,    636,    .39,   -.16,   -.27,    .26,    .02,   1.19,    .76,   30.5,   47.5,
       35,      00,   195812,   3.81,   38.3,  -1.31,  -1.31,  -1.67,  -1.31,      0,    672,   -.46,   -.08,    -.4,   -.48,    .04,    .57,    .75,   30.8,   45.8,
       35,      00,   195901,   6.13,     35,   -.72,   -.72,   1.37,    .16,      0,    773,    .79,    .18,    .29,   -.08,     .2,    .58,   1.16,   28.3,   41.7,
       35,      00,   195902,   3.57,   34.1,   -.68,   -.68,    -.1,    .16,      0,    718,    .04,    .54,    .08,   -.07,    .26,    .12,   1.03,   26.7,   41.4,
       35,      00,   195903,   3.14,   38.7,   -.83,   -.83,   -.67,   -.31,      0,    679,   -.15,   -.06,    .34,   -.07,   -.14,    .23,    .66,   28.3,   49.1,
       35,      00,   195904,   1.07,   45.6,  -1.46,  -1.46,  -2.12,  -1.46,      0,    493,   -1.5,   -.92,   -.62,   -.12,   -.44,   -.17,     .6,   32.6,   58.6,
       35,      00,   195905,   2.26,   47.5,  -1.09,  -1.09,    .66,   -.65,      0,    431,    .25,   -.82,    -.7,   -.32,   -.37,   -.05,    .51,   35.8,   59.2,
       35,      00,   195906,   1.04,   58.8,  -1.26,  -1.26,   -.86,  -1.21,     10,    184,   -.47,    -.2,   -.98,   -.19,   -.41,   -.47,    .52,   45.3,   72.2,
       35,      00,   195907,    .25,   66.5,  -1.42,  -1.42,   -.87,  -1.42,     86,     51,   -.47,   -.69,   -.35,   -.76,   -.24,   -.54,     .5,   49.6,   83.4,
       35,      00,   195908,    .46,   62.4,  -1.52,  -1.52,   -.74,  -1.52,     41,     95,    .05,   -.43,   -.72,   -.99,   -.48,   -.51,    .51,   46.6,   78.1,
       35,      00,   195909,   2.84,   55.3,   1.09,   1.09,   3.27,   1.09,      7,    228,   1.75,   1.44,   1.23,   -.14,    .17,   -.16,    .72,   44.3,   66.3,
       35,      00,   195910,   2.26,   48.9,   -.14,    .84,   -.42,    .45,      0,    391,   -.01,    .93,     .8,    .36,   -.31,    .01,    .55,   37.5,   60.3,
       35,      00,   195911,   1.57,   37.7,  -1.18,  -1.18,  -3.18,  -1.18,      0,    677,  -1.49,  -1.22,   -.59,   -.85,  -1.09,   -.72,    .37,   25.3,   50.2,
       35,      00,   195912,   2.25,   31.3,  -2.16,  -2.16,  -3.29,  -2.16,      0,    842,  -1.37,  -1.89,  -1.75,  -1.34,  -1.67,  -1.02,   -.29,   21.9,   40.6,
