StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       36,      00,   195601,    1.7,   25.1,  -1.54,  -1.54,  -1.61,  -1.54,      0,   1183,   -1.2,  -2.59,  -2.16,    .62,   -.49,   -.18,    -.3,   18.1,   32.2,
       36,      00,   195602,   4.68,   29.8,   1.15,   1.15,   3.45,   1.15,      0,    930,   1.82,    .51,   -.91,   -.09,    .44,    .18,    .03,   21.6,   37.9,
       36,      00,   195603,   4.51,   32.9,   1.68,   1.68,   1.94,   1.68,      0,    949,    .93,   1.97,   1.03,    .59,    .85,    .14,    .05,   23.1,   42.6,
       36,      00,   195604,   3.77,   44.4,   1.74,   1.74,    .71,   1.74,      0,    582,    .25,    .74,   1.53,   -.25,   1.29,    .24,   -.05,   33.1,   55.5,
       36,      00,   195605,   4.31,   55.1,   1.77,   1.77,    .62,   1.77,     11,    275,    .34,     .4,    .76,   -.02,    .34,    .71,    .05,   42.3,   67.8,
       36,      00,   195606,   4.44,   66.4,   1.74,   1.74,    .47,   1.74,    113,     30,     .3,    .37,    .39,    .88,    .64,    .88,     .2,   54.5,   78.4,
       36,      00,   195607,   6.12,     68,   2.71,   2.71,   3.44,   2.71,    146,     17,   1.59,    1.1,   1.03,   1.82,    .42,   1.58,    .75,   57.9,   78.1,
       36,      00,   195608,   5.43,   67.4,   3.47,   3.47,    3.1,   3.47,    144,     23,   1.16,   1.88,   1.55,   1.63,    .91,    .97,    .87,   56.4,   78.3,
       36,      00,   195609,   3.83,   58.2,   3.63,   3.63,   1.55,   3.63,     15,    175,    .28,    .85,   1.33,    1.2,   1.48,   1.16,    .98,   47.1,   69.2,
       36,      00,   195610,   2.63,   52.1,   3.24,   3.24,   -.04,   3.17,      1,    374,   -.34,   -.14,    .48,    .96,   1.63,    .55,    .53,   40.3,   63.8,
       36,      00,   195611,   2.47,   39.7,    2.7,    2.7,   -.63,   2.31,      0,    723,   -.46,   -.66,   -.41,    .69,    .96,    .52,    .46,   30.2,   49.2,
       36,      00,   195612,   4.05,   35.4,   2.86,   2.86,   1.33,   2.86,      0,    871,    .79,    .12,   -.18,    .86,     .9,   1.18,     .6,   27.8,     43,
       36,      00,   195701,   2.14,   21.9,   -.32,   2.24,   -.97,   1.78,      0,   1275,   -.68,    .06,   -.29,    .14,    .66,   1.23,    .71,   13.6,   30.2,
       36,      00,   195702,   2.17,   31.4,    -.5,    1.8,   -.63,   1.03,      0,    899,   -.35,   -.88,   -.18,   -.46,    .49,    .76,     .6,     23,   39.8,
       36,      00,   195703,   2.43,   36.1,   -.96,    1.1,  -1.53,   -.31,      0,    847,   -.95,  -1.02,   -1.5,   -.98,    .21,    .36,     .3,   26.6,   45.6,
       36,      00,   195704,   5.56,   49.3,   -.04,   1.81,   2.47,   1.35,      0,    431,   1.49,    .59,    .29,    .02,    .28,    .71,    .57,   38.8,   59.8,
       36,      00,   195705,   2.39,   58.1,   -.77,     .9,  -2.19,   -.39,     26,    199,  -1.11,    .34,   -.19,   -.33,   -.54,     .3,    .62,   45.1,   71.1,
