StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       37,      00,   195601,   4.74,   28.9,   2.56,   2.56,    .89,    1.7,      0,   1119,    .64,  -1.08,   -.45,   2.03,   1.38,   1.29,    1.5,   22.6,   35.2,
       37,      00,   195602,   4.37,   30.9,   2.73,   2.73,    1.3,   2.32,      0,    955,     .7,    .88,   -.59,    .84,   1.84,   1.28,   1.61,   23.6,   38.3,
       37,      00,   195603,   5.86,   31.8,   3.13,   3.13,   2.04,   3.13,      0,   1029,    .86,   1.01,   1.14,   1.13,   2.08,   1.41,   1.78,   23.9,   39.7,
       37,      00,   195604,   3.24,   42.7,   -.14,   2.67,   -.42,   2.44,      0,    669,   -.35,    .34,    .57,    .08,   2.14,   1.41,   1.58,   33.2,   52.1,
       37,      00,   195605,   2.02,   52.2,   -.49,   2.03,  -1.09,    1.3,      0,    397,   -.95,   -.92,   -.14,   -.54,    .52,    1.5,   1.32,   41.3,   63.1,
       37,      00,   195606,   2.19,   65.7,   -.84,   1.42,   -1.2,    .19,     64,     43,   -.48,  -1.22,  -1.27,    .08,    .35,   1.39,   1.35,     55,   76.4,
       37,      00,   195607,   4.96,   68.6,    -.1,   1.92,   1.95,   1.42,    125,     13,   1.06,     .3,   -.17,    .25,    -.1,   1.64,   1.61,   59.2,     78,
       37,      00,   195608,   1.42,   68.9,    -.8,   1.02,  -2.11,   -.29,    137,     16,  -1.85,   -.25,    -.6,   -.63,   -.88,     .1,    .89,   58.8,     79,
       37,      00,   195609,   3.46,     59,   -.77,    .86,   -.17,   -.46,      6,    186,    .07,   -.95,   -.24,  -1.07,   -.24,    .07,    .44,   49.8,   68.2,
       37,      00,   195610,   2.97,   51.7,   -.94,   -.94,   -.75,   -.94,      0,    412,   -.21,   -.23,     -1,  -1.01,    -.5,   -.65,    .44,   40.1,   63.2,
       37,      00,   195611,    3.9,   42.6,  -1.11,  -1.11,   -.79,  -1.11,      0,    672,   -.05,   -.24,   -.28,   -.69,   -.72,   -.95,    .36,   33.3,   51.9,
       37,      00,   195612,   5.08,   35.3,   -.69,   -.69,    .92,    .03,      0,    921,    .57,     .3,    .03,   -.17,   -.82,   -.18,    .34,   27.1,   43.5,
       37,      00,   195701,    2.3,   21.7,  -1.13,  -1.13,  -1.54,  -1.13,      0,   1342,     -1,   -.18,   -.26,   -.98,  -1.06,   -.61,    .46,   12.2,   31.1,
       37,      00,   195702,   1.63,   32.7,  -1.74,  -1.74,  -2.19,  -1.74,      0,    904,  -1.48,  -1.96,   -.94,   -.87,  -1.19,  -1.11,    .17,   24.1,   41.3,
