StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       38,      00,   195601,   1.74,   41.6,   -3.1,   -3.1,  -2.09,   -3.1,      2,    732,  -1.27,  -2.07,  -1.79,  -1.28,  -1.11,  -1.28,  -2.22,   29.4,   53.7,
       38,      00,   195602,   6.01,   51.4,  -2.15,  -2.15,   1.89,  -1.32,      8,    401,   1.24,     .1,   -.83,   -.47,   -.76,   -.72,  -1.83,   40.1,   62.7,
       38,      00,   195603,   3.68,   53.2,  -2.14,  -2.14,   -.63,  -1.52,     13,    385,   -.18,    .66,   -.03,   -.77,   -.58,   -.42,  -1.84,   40.1,   66.3,
       38,      00,   195604,   3.72,   60.4,  -1.71,  -1.71,    .62,   -.82,     17,    160,    .37,    .01,    .67,   -.59,   -.56,   -.58,  -1.81,   47.7,   73.1,
       38,      00,   195605,   2.69,   71.7,  -1.95,  -1.95,  -1.24,  -1.49,    216,     12,   -.48,   -.15,   -.27,   -.73,   -.54,   -.78,  -1.88,   59.7,   83.7,
       38,      00,   195606,   3.26,   77.4,  -2.22,  -2.22,   -1.4,  -2.22,    369,      0,   -.83,  -1.03,   -.67,   -.45,   -.96,    -.8,  -1.73,   64.8,   90.1,
       38,      00,   195607,   4.38,   80.4,  -2.53,  -2.53,  -1.61,  -2.53,    474,      0,   -.47,   -.94,  -1.08,   -.23,  -1.11,  -1.04,  -1.79,   69.2,   91.7,
       38,      00,   195608,   3.85,   79.8,  -2.94,  -2.94,  -2.03,  -2.94,    460,      0,   -.65,   -.94,  -1.27,  -1.16,  -1.34,  -1.21,  -1.58,   68.2,   91.5,
       38,      00,   195609,   5.86,   71.2,  -2.16,  -2.16,   1.44,  -1.51,    189,      8,    .88,     .2,   -.13,   -.57,   -.48,   -.96,     -1,   59.7,   82.6,
       38,      00,   195610,    2.9,   64.4,  -1.98,  -1.98,   -.13,  -1.33,     75,    103,    .14,    .62,    .16,    -.7,   -.15,   -.93,   -.99,   55.3,   73.4,
       38,      00,   195611,   1.09,   51.6,  -2.31,  -2.31,  -1.61,  -2.25,      1,    413,  -1.17,    -.5,    .08,    -.9,   -.94,  -1.18,  -1.09,   38.6,   64.6,
       38,      00,   195612,   2.31,   54.2,  -2.85,  -2.85,  -2.33,  -2.85,     20,    361,   -.82,  -1.38,   -.92,    -.9,   -1.1,   -.96,  -1.32,   41.9,   66.6,
       38,      00,   195701,   2.47,   46.9,  -3.14,  -3.14,  -1.76,  -3.14,     10,    582,   -.69,     -1,  -1.38,   -.77,  -1.41,    -.8,  -1.38,   36.6,   57.1,
       38,      00,   195702,   2.66,   53.4,  -3.37,  -3.37,  -1.64,  -3.37,     13,    346,   -.72,  -1.03,  -1.19,   -.71,  -1.51,  -1.42,  -1.38,   42.3,   64.4,
       38,      00,   195703,   4.59,   52.1,  -2.92,  -2.92,    .31,  -2.73,     10,    417,    .32,   -.24,   -.58,  -1.02,  -1.01,  -1.18,  -1.11,   41.5,   62.7,
       38,      00,   195704,   2.45,     64,  -3.04,  -3.04,  -1.27,  -3.04,     52,     84,    -.5,   -.13,   -.43,  -1.24,   -.91,  -1.39,  -1.33,   51.4,   76.7,
       38,      00,   195705,      6,   70.9,    .84,  -1.89,   2.51,   -.81,    193,     15,   1.49,    .75,    .68,   -.34,    -.2,   -.83,  -1.12,   59.7,     82,
       38,      00,   195706,   4.74,   77.5,    .95,  -1.49,     .6,   -.16,    371,      0,    .14,    1.1,    .63,   -.05,    -.5,   -.59,   -.96,   67.2,   87.7,
       38,      00,   195707,   3.25,   79.3,   -.52,  -1.87,  -1.57,  -1.13,    441,      0,  -1.46,   -.78,    .12,   -.25,   -.93,   -.74,  -1.38,   67.9,   90.6,
       38,      00,   195708,   4.03,   77.9,   -.87,  -2.08,  -1.21,  -1.73,    397,      0,   -.54,  -1.38,  -1.07,   -.26,   -.86,   -.71,  -1.38,     66,   89.7,
       38,      00,   195709,   6.66,     75,    .63,  -1.24,   1.88,   -.14,    294,      0,   1.16,    .55,   -.19,    .21,   -.19,   -.57,  -1.13,   65.1,   84.8,
       38,      00,   195710,    2.4,   58.9,     .6,  -1.07,    .11,    .05,     20,    216,   -.11,    .71,     .3,    .29,   -.08,   -.68,  -1.11,   48.3,   69.4,
       38,      00,   195711,   6.69,   54.5,   2.01,   2.01,   4.43,   2.01,      7,    331,   2.01,   1.16,   1.53,    .62,    .86,    .15,   -.68,   43.4,   65.5,
       38,      00,   195712,   2.86,   46.5,   1.75,   1.75,   -.16,   1.61,      2,    583,   -.41,   1.31,    .83,    .49,    .65,    .25,   -.55,   34.7,   58.3,
       38,      00,   195801,   4.23,   38.6,   1.89,   1.89,    .97,   1.89,      0,    825,    .43,   -.02,   1.17,    .92,    .86,    .49,   -.31,   28.3,   48.9,
       38,      00,   195802,   3.92,   39.2,   1.88,   1.88,    .56,   1.88,      0,    727,    .03,    .27,   -.06,   1.12,    .47,    .68,    -.5,     27,   51.5,
       38,      00,   195803,   4.73,   48.8,   1.93,   1.93,    .73,   1.93,      3,    514,    .39,    .29,     .4,    .78,    .54,    .68,   -.36,     39,   58.6,
       38,      00,   195804,   6.75,   61.7,   2.96,   2.96,   3.69,   2.96,     26,    132,   1.96,   1.49,   1.16,   1.49,    1.3,   1.28,    .01,     50,   73.4,
       38,      00,   195805,   3.34,   70.5,   2.56,   2.56,    -.3,   2.37,    184,     17,   -.03,   1.41,   1.21,    .75,   1.42,    .88,    .08,     59,     82,
       38,      00,   195806,   4.85,     77,    2.5,    2.5,    .62,    2.5,    359,      0,    .21,    .03,   1.21,    .95,   1.11,    .89,    .26,     66,   87.9,
       38,      00,   195807,   6.47,   80.3,   2.55,   2.55,    .92,   2.55,    472,      0,    .67,     .5,    .32,   1.01,   1.39,   1.28,     .5,   70.6,   90.1,
