StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       39,      00,   195601,    .54,   13.2,  -3.02,  -3.02,    .13,   -2.5,      0,   1596,    .46,    .99,    .35,   -.45,   -.62,   -.91,  -1.03,    3.7,   22.8,
       39,      00,   195602,    .24,   14.9,  -3.08,  -3.08,  -1.11,  -2.93,      0,   1396,  -1.18,   -.46,    .36,   -.55,   -.67,  -1.12,  -1.07,    3.2,   26.7,
       39,      00,   195603,    .81,   29.3,  -3.12,  -3.12,  -1.08,  -3.12,      0,   1122,   -.31,   -.92,   -.66,  -1.26,   -.75,   -.99,  -1.21,   17.8,   40.9,
       39,      00,   195604,   1.23,   38.9,  -3.06,  -3.06,   -.77,  -3.06,      0,    770,   -.79,   -.93,  -1.18,   -.86,  -1.09,  -1.04,  -1.23,   25.6,   52.2,
       39,      00,   195605,   2.25,   56.8,  -3.19,  -3.19,  -1.35,  -3.19,     34,    273,   -.44,   -.87,   -.98,   -.86,  -1.13,  -1.13,  -1.24,   44.5,   69.2,
       39,      00,   195606,   2.06,   72.5,  -4.27,  -4.27,  -4.21,  -4.27,    256,     29,  -1.12,  -1.13,   -1.3,  -1.47,  -1.66,  -1.37,  -1.68,   57.4,   87.5,
       39,      00,   195607,   3.36,   70.5,  -3.67,  -3.67,    .46,  -3.44,    201,     40,     .9,   -.28,    -.5,   -.99,   -.87,  -1.04,  -1.24,   56.8,   84.1,
       39,      00,   195608,   3.28,     69,  -2.62,  -2.62,   2.03,  -1.56,    168,     42,   1.35,   1.46,    .36,   -.39,   -.33,   -.61,  -1.02,   55.5,   82.4,
       39,      00,   195609,    .69,   59.9,  -3.03,  -3.03,  -2.04,   -2.7,     46,    187,  -1.17,    .25,    .69,   -.61,   -.78,     -1,  -1.23,   43.7,   76.1,
       39,      00,   195610,    .88,   52.7,  -3.21,  -3.21,  -1.48,  -3.21,      8,    364,   -.31,  -1.04,   -.05,   -.46,   -.86,    -.8,  -1.37,   36.6,   68.8,
       39,      00,   195611,   1.39,   31.7,  -2.21,  -2.21,   2.02,  -1.34,      0,    999,   1.39,    .45,   -.32,      0,   -.51,   -.47,  -1.16,   21.7,   41.7,
       39,      00,   195612,    .25,   25.4,   -2.2,   -2.2,   -.66,  -1.55,      0,   1218,   -.77,    .94,    .24,    .54,   -.52,   -.65,  -1.11,   14.6,   36.2,
       39,      00,   195701,    .23,    7.6,   -2.2,   -2.2,   -.68,  -1.77,      0,   1749,    -.8,  -1.21,     .5,    .09,   -.34,   -.73,  -1.08,   -3.5,   18.7,
       39,      00,   195702,    .33,   22.2,  -2.21,  -2.21,   -.69,  -1.97,      0,   1178,    -.7,  -1.13,  -1.56,    -.8,   -.25,    -.7,  -1.19,   10.2,   34.2,
       39,      00,   195703,    .67,   30.5,  -2.37,  -2.37,  -1.16,  -2.37,      0,   1070,   -.64,  -1.06,  -1.52,   -.55,    .17,   -.76,  -1.12,   19.9,     41,
       39,      00,   195704,   2.41,   41.9,    .39,  -1.73,   1.17,  -1.15,      0,    676,    .52,    .08,   -.12,    .14,   -.01,    -.4,   -.91,   30.7,   53.1,
       39,      00,   195705,   5.03,   54.1,   1.88,   1.88,   4.59,   1.88,     17,    352,   1.46,   1.43,   1.18,    .77,    .38,    .46,   -.39,   43.5,   64.7,
       39,      00,   195706,   4.07,   63.4,   2.49,   2.49,   2.41,   2.49,     88,    128,    .56,   1.43,   1.38,      1,    .88,   1.02,    -.2,   51.3,   75.4,
       39,      00,   195707,   2.37,   75.1,   2.91,   2.91,   2.04,   2.91,    329,     13,   -.01,    .34,   1.15,    .93,    .98,    .73,   -.19,   61.5,   88.7,
       39,      00,   195708,   2.81,   70.6,   3.63,   3.63,   3.04,   3.63,    197,     28,    .88,    .46,    .65,   1.21,    .94,     .6,   -.05,   58.3,   82.9,
       39,      00,   195709,   1.62,   57.7,   3.62,   3.62,   1.09,   3.62,     25,    244,    .17,     .6,    .37,   1.27,    .97,    .88,   -.07,   43.9,   71.4,
       39,      00,   195710,   1.73,   46.6,   3.85,   3.85,   1.81,   3.85,      0,    566,    .64,    .43,    .69,   1.21,   1.05,    1.1,    .17,   37.1,   56.2,
       39,      00,   195711,    .99,   32.3,   3.93,   3.93,   1.45,   3.93,      0,    980,    .84,     .8,     .6,    .78,    1.2,    .98,    .29,   23.1,   41.6,
       39,      00,   195712,    .13,     29,   3.33,   3.33,   -.59,   3.05,      0,   1118,  -1.41,    .13,     .5,    .44,   1.22,    .95,    .21,     17,   40.9,
       39,      00,   195801,    .24,   24.3,   2.92,   2.92,   -.21,   2.49,      0,   1268,   -.74,   -1.7,   -.25,    .52,   1.08,    .94,    .15,   12.2,   36.3,
       39,      00,   195802,    .91,   16.9,   3.17,   3.17,   1.65,   3.17,      0,   1332,    1.2,    .43,   -.27,    .44,    .67,   1.09,    .26,    5.6,   28.3,
       39,      00,   195803,    .55,   27.9,   2.75,   2.75,   -.27,   2.58,      0,   1151,   -.95,   -.06,   -.45,    .13,    .29,   1.08,    .21,   19.8,     36,
       39,      00,   195804,   2.54,   44.2,   3.11,   3.11,   1.91,   3.11,      0,    621,    .65,    .09,    .38,     .2,    .62,   1.15,    .51,   32.1,   56.2,
       39,      00,   195805,   1.48,   60.3,   2.01,   2.01,  -2.34,    .99,     59,    201,   -1.2,   -.51,    -.8,   -.89,    -.3,     .1,    .35,   44.9,   75.8,
       39,      00,   195806,   3.16,   61.9,   1.99,   1.99,    .56,   1.17,     72,    148,   -.16,   -.93,   -.51,   -.68,   -.41,   -.19,    .56,   49.8,     74,
       39,      00,   195807,   3.27,   67.7,   2.74,   2.74,   2.88,   2.74,    153,     65,    .82,    .34,   -.38,   -.18,   -.26,    .11,    .51,   54.9,   80.4,
       39,      00,   195808,    .97,   72.8,   -.52,   1.93,  -1.57,   1.21,    248,     17,  -1.89,   -.27,   -.36,   -.79,   -.86,   -.45,    .05,   56.8,   88.7,
       39,      00,   195809,    .47,   62.7,  -1.32,    .88,  -2.55,   -.92,     74,    139,  -1.66,   -2.5,  -1.02,  -1.01,  -1.12,   -.83,    .03,   47.1,   78.4,
