StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       40,      00,   195601,   4.89,   34.2,    .03,  -2.08,    .08,   -1.5,      0,    953,    .25,   -.64,   -.68,  -1.04,   -.93,    .14,   -1.2,   24.8,   43.6,
       40,      00,   195602,    9.8,   45.6,   1.53,   1.53,   4.51,   1.53,      3,    547,   2.18,   1.61,    .84,    .34,   -.14,    .59,    -.6,   36.1,     55,
       40,      00,   195603,   4.16,   48.2,    .96,    .96,  -1.22,    .25,      8,    526,    -.5,    1.3,   1.11,     .2,   -.21,   -.05,   -.54,     36,   60.4,
       40,      00,   195604,   5.85,   55.7,    1.5,    1.5,   1.91,    1.5,      7,    285,    .82,    .13,    1.4,    .51,    .03,   -.04,   -.38,   43.7,   67.8,
       40,      00,   195605,   3.09,   68.4,   -.54,    .81,  -1.62,   -.14,    152,     45,   -.75,     .1,   -.29,    .34,    .03,   -.31,   -.44,   56.6,   80.2,
       40,      00,   195606,   3.23,   73.2,   -.74,   -.74,   -.76,   -.74,    250,      3,   -.57,   -.97,   -.27,     .6,   -.02,   -.33,   -.41,   60.9,   85.4,
       40,      00,   195607,   4.33,   77.4,   -.83,   -.83,   -.48,   -.83,    386,      0,   -.04,    -.5,   -.87,    .58,    .04,   -.31,   -.27,   65.6,   89.2,
       40,      00,   195608,   3.01,   76.7,  -1.11,  -1.11,  -1.11,  -1.11,    367,      0,   -.49,   -.47,   -.76,   -.77,      0,   -.23,   -.25,   63.8,   89.6,
       40,      00,   195609,   1.72,   67.9,  -1.62,  -1.62,  -1.88,  -1.62,    131,     43,  -1.15,  -1.21,  -1.06,   -.91,    .13,   -.37,   -.29,   53.6,   82.2,
       40,      00,   195610,   2.42,   61.6,  -1.92,  -1.92,  -1.39,  -1.92,     53,    157,    -.3,  -1.01,  -1.16,  -1.43,   -.05,   -.38,   -.27,   48.4,   74.7,
       40,      00,   195611,   2.36,     46,  -2.51,  -2.51,  -2.38,  -2.51,      0,    567,   -.93,   -.92,  -1.26,  -1.43,  -1.42,   -.57,   -.27,   33.6,   58.5,
       40,      00,   195612,   6.46,   47.8,     .1,  -2.15,     .3,  -1.96,      8,    540,    .75,    .07,   -.17,   -.78,   -.81,   -.02,   -.19,   37.9,   57.7,
       40,      00,   195701,   9.11,   37.3,   1.25,   -.77,   3.47,    .96,      0,    856,   1.61,   1.57,   1.07,    .18,    -.3,    .52,    .48,   28.3,   46.3,
       40,      00,   195702,   6.88,   46.9,   1.67,   1.67,   1.65,   1.67,      6,    511,   1.23,   1.88,   1.88,    .84,    .36,    .12,    .47,   37.4,   56.3,
       40,      00,   195703,   2.79,   46.8,     .7,     .7,  -2.41,   -.59,      5,    566,  -1.39,    .06,    1.1,    .65,    .09,    -.1,   -.07,   36.5,   57.1,
       40,      00,   195704,   5.33,     61,     .8,     .8,    .54,   -.19,     34,    152,    .55,   -.59,    .24,    .87,    .23,   -.18,   -.12,   48.7,   73.3,
       40,      00,   195705,   5.36,   67.7,    .97,    .97,    .75,     .3,    139,     51,    .62,    .74,   -.18,   1.28,    .48,    .12,   -.09,   55.3,   80.1,
       40,      00,   195706,   6.15,   74.9,   1.67,   1.67,    2.4,   1.67,    300,      0,   1.19,   1.14,    1.1,   1.47,   1.01,    .53,    .09,   64.3,   85.4,
       40,      00,   195707,   2.82,   76.7,   1.01,   1.01,  -1.47,     .2,    366,      0,  -1.32,    .19,    .46,    .36,    .87,    .34,   -.04,   64.8,   88.6,
       40,      00,   195708,   2.64,   75.2,    .57,    .57,  -1.01,   -.75,    319,      0,   -.82,  -1.46,   -.35,   -.42,   1.03,    .33,   -.04,   61.8,   88.7,
       40,      00,   195709,   6.54,   70.1,   1.57,   1.57,   3.19,   1.57,    176,     21,   1.73,    .92,    .15,    .94,   1.37,    .97,    .31,   59.7,   80.4,
       40,      00,   195710,   3.46,   54.7,    1.9,    1.9,   1.46,    1.9,     10,    325,    .35,   1.39,    .82,    .84,    .76,   1.12,    .43,     44,   65.4,
       40,      00,   195711,   9.72,   47.8,   3.67,   3.67,    5.9,   3.67,      0,    511,   2.35,      2,    2.3,   1.82,   1.26,   1.93,   1.01,   37.4,   58.3,
       40,      00,   195712,   5.52,   42.8,   3.48,   3.48,    .57,   3.48,      0,    687,    .37,   1.79,   1.71,   1.44,   1.73,   1.98,    1.4,   32.9,   52.7,
       40,      00,   195801,   2.71,   33.5,   -.57,   2.55,   -1.7,   1.82,      0,    975,   -.97,   -.35,   1.07,   1.29,   1.27,   1.15,   1.15,   24.3,   42.6,
       40,      00,   195802,    2.8,   29.8,  -1.01,   1.79,  -1.51,    .43,      0,    983,   -.79,  -1.53,    -.8,   1.16,    .87,    .59,    .47,   18.9,   40.6,
       40,      00,   195803,   4.12,   42.9,  -1.17,   1.34,    -.8,    -.3,      0,    681,   -.52,   -.95,  -1.48,    .34,    .29,    .75,    .45,   34.4,   51.3,
       40,      00,   195804,   6.49,   57.3,     .8,      2,   2.39,   1.24,     12,    239,   1.13,    .33,   -.19,     .6,    .86,    .91,    .48,   45.3,   69.4,
       40,      00,   195805,   4.47,   66.3,    .74,   1.82,    .07,   1.05,    115,     69,    .13,    .83,    .29,   -.42,    .97,    .74,    .59,   54.3,   78.4,
       40,      00,   195806,   3.13,   73.5,    .41,   1.38,   -.76,    .35,    263,      0,   -.65,   -.41,    .33,    -.8,    .37,    .33,    .55,   61.1,     86,
       40,      00,   195807,   6.06,   77.5,    .97,   1.84,   1.81,   1.31,    392,      0,   1.13,    .29,    .24,   -.09,    .55,    .77,     .7,   67.4,   87.7,
