StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       41,      00,   195601,   1.16,   46.1,   -4.8,   -4.8,  -1.63,   -4.8,     12,    529,   -.31,   -1.1,  -1.39,   -1.1,   -.89,  -1.07,  -1.74,   32.9,   59.4,
       41,      00,   195602,   1.55,   49.2,  -4.65,  -4.65,  -1.04,  -4.65,     18,    358,    .06,    -.2,    -.8,  -1.17,  -1.01,  -1.12,  -1.66,   36.8,   61.6,
       41,      00,   195603,    .43,   57.2,  -4.92,  -4.92,  -2.24,  -4.92,     46,    236,   -1.7,  -1.01,   -.91,  -1.54,  -1.25,  -1.19,  -1.71,   42.5,     72,
       41,      00,   195604,   1.31,   64.3,  -5.11,  -5.11,  -2.08,  -5.11,    101,     69,   -.85,  -1.87,  -1.27,  -1.56,  -1.46,  -1.23,  -2.03,   50.9,   77.7,
       41,      00,   195605,   2.51,     76,  -5.67,  -5.67,  -3.26,  -5.67,    369,      0,   -.53,   -.99,  -1.63,  -1.54,  -1.59,  -1.46,  -2.41,   63.1,   88.9,
       41,      00,   195606,   1.17,     82,  -6.52,  -6.52,  -4.31,  -6.52,    511,      0,  -1.47,  -1.38,  -1.61,  -1.72,  -1.85,  -1.71,  -2.63,   69.1,     95,
       41,      00,   195607,   1.05,     84,  -7.03,  -7.03,  -3.54,  -7.03,    623,      0,  -1.39,  -1.89,  -1.84,  -2.11,  -2.16,  -1.94,  -2.62,   70.8,   97.2,
       41,      00,   195608,   1.07,   83.3,  -7.26,  -7.26,  -2.86,  -7.26,    607,      0,  -1.29,  -1.78,   -2.1,  -2.84,  -2.35,  -2.12,  -2.56,   69.6,   96.9,
       41,      00,   195609,    .54,   77.9,  -7.77,  -7.77,  -3.78,  -7.77,    436,      0,  -2.11,  -2.31,  -2.25,  -2.69,  -2.75,  -2.56,  -2.54,   63.1,   92.6,
       41,      00,   195610,   1.64,   69.4,   -7.5,   -7.5,  -1.57,   -7.5,    223,     21,   -.47,  -1.79,  -1.95,  -2.48,  -2.72,  -2.74,  -2.52,   55.4,   83.3,
       41,      00,   195611,   1.14,   52.2,  -7.03,  -7.03,   -.93,  -7.03,     17,    318,   -.54,   -.74,  -1.82,  -2.43,  -3.03,  -2.85,  -2.41,   38.4,     66,
       41,      00,   195612,   1.41,     50,  -6.69,  -6.69,  -1.16,  -6.69,     16,    377,   -.19,   -.58,   -.74,  -2.15,   -2.5,  -2.65,  -2.03,   36.6,   63.4,
       41,      00,   195701,    .92,   46.8,  -6.58,  -6.58,  -1.73,  -6.58,     19,    500,   -.64,   -.66,   -.83,  -1.95,  -2.33,  -2.64,  -2.22,   35.4,   58.1,
       41,      00,   195702,   2.07,   55.9,  -6.19,  -6.19,   -.84,  -6.19,     45,    239,    .67,    .02,   -.17,  -1.36,  -2.17,  -2.58,   -2.3,   45.7,   66.1,
       41,      00,   195703,   2.87,   55.2,    .66,  -4.89,   1.98,  -4.11,     37,    287,   1.28,   1.25,     .6,   -.22,   -1.5,  -1.92,  -2.09,   43.5,   66.9,
       41,      00,   195704,   6.19,   62.7,    2.5,  -2.48,   5.71,     .4,     86,     89,   2.37,   2.24,   2.24,   1.17,   -.14,   -.93,  -1.49,   51.5,   73.9,
       41,      00,   195705,   5.69,   70.8,   3.57,   -.89,   4.01,   3.23,    263,     10,   1.59,    2.6,   2.48,   1.93,    .66,   -.26,  -1.24,   60.5,   81.2,
       41,      00,   195706,   3.04,   78.6,   3.82,   3.82,   1.85,   3.82,    440,      0,    .23,   1.22,   2.21,   1.89,   1.11,    .13,  -1.16,   67.6,   89.6,
       41,      00,   195707,    .99,   84.5,   3.42,   3.42,   -.03,   3.35,    627,      0,  -1.47,   -.67,    .52,   1.76,   1.09,    .13,  -1.39,   71.5,   97.4,
       41,      00,   195708,   1.25,   82.9,   2.29,   2.29,  -2.33,   1.26,    586,      0,     -1,  -1.69,  -1.12,   1.41,   1.07,    .14,  -1.56,   70.1,   95.7,
       41,      00,   195709,   3.46,   74.3,   2.27,   2.27,    .63,   1.45,    326,      3,    .47,   -.21,   -.87,   1.26,   1.25,    .63,  -1.52,   61.5,     87,
       41,      00,   195710,   4.64,   62.7,   3.03,   3.03,   2.99,   3.03,     86,     99,   1.26,   1.16,    .63,    .75,   1.74,   1.19,   -.99,   51.9,   73.5,
       41,      00,   195711,   3.71,     51,   4.02,   4.02,   3.91,   4.02,     18,    329,   1.49,   1.66,   1.62,    .61,   1.93,   1.67,   -.57,     41,   61.1,
       41,      00,   195712,    .95,   50.1,   3.55,   3.55,   -.17,   3.43,     12,    384,    -.8,     .7,    1.2,    .37,    1.6,   1.57,   -.43,   36.8,   63.5,
       41,      00,   195801,   2.88,   43.7,    4.2,    4.2,   3.03,    4.2,      6,    591,   1.44,    .47,   1.21,   1.15,   1.18,   1.99,   -.22,     32,   55.2,
       41,      00,   195802,   2.27,   45.3,   4.49,   4.49,   2.17,   4.49,      2,    513,    .89,   1.45,    .74,   1.63,    .82,   1.99,   -.12,     35,   55.6,
       41,      00,   195803,   1.85,   49.3,   4.52,   4.52,    1.5,   4.52,     13,    408,    .24,    .67,   1.17,   1.45,    .84,   1.91,    .06,   39.1,   59.5,
       41,      00,   195804,   2.54,   62.7,   4.47,   4.47,   1.22,   4.47,     91,     88,    .38,    .39,    .63,   1.06,   1.18,   1.23,    .26,   50.8,   74.6,
       41,      00,   195805,   2.88,   72.6,   3.99,   3.99,   -.06,   3.91,    291,      4,   -.22,      0,     .1,    .43,   1.22,    .66,    .33,   60.3,   84.9,
       41,      00,   195806,   2.62,   81.3,   3.79,   3.79,    .63,   3.79,    514,      0,   -.09,   -.28,   -.11,    .56,    .99,    .58,    .54,   69.1,   93.5,
       41,      00,   195807,   2.52,   83.3,   3.51,   3.51,    .34,   3.51,    591,      0,    .23,   -.02,   -.21,    .21,    .67,    .82,    .74,   71.3,   95.3,
       41,      00,   195808,   2.11,   82.9,   2.99,   2.99,   -.49,   2.73,    591,      0,      0,   -.01,   -.17,   -.05,    .25,    .93,    .86,   69.9,   95.8,
       41,      00,   195809,   5.86,   76.3,   3.82,   3.82,   3.43,   3.82,    392,      1,    1.9,   1.38,   1.25,    .69,   1.05,   1.32,   1.66,   66.6,   85.9,
       41,      00,   195810,   3.01,   63.9,   3.89,   3.89,   1.39,   3.89,    113,     70,    .45,   1.43,   1.21,    .73,    .83,   1.11,   1.86,   54.3,   73.5,
       41,      00,   195811,   1.21,   55.3,   3.31,   3.31,   -.55,   3.04,     35,    235,   -.46,    .05,   1.07,    .68,    .54,    .71,   1.92,   42.8,   67.8,
       41,      00,   195812,    .84,   44.7,   2.65,   2.65,   -.97,   1.94,      2,    562,   -.97,   -.94,   -.35,    .53,     .3,    .68,   1.42,   31.7,   57.7,
       41,      00,   195901,    .45,   43.1,   1.82,   1.82,  -1.65,    .46,      5,    621,  -1.41,  -1.58,  -1.37,    .19,   -.03,    .22,    1.4,   30.2,   56.1,
       41,      00,   195902,   2.13,   48.4,    1.8,    1.8,    .49,    .62,      8,    407,    .74,    -.3,   -.77,    .42,    .24,     .2,   1.43,   37.3,   59.6,
       41,      00,   195903,    .59,   54.5,   1.18,   1.18,  -1.31,   -.44,     29,    286,  -1.43,    -.4,   -.89,   -.76,    .03,   -.08,   1.19,   39.7,   69.3,
       41,      00,   195904,   2.61,   62.5,    1.3,    1.3,    .72,   -.02,     66,     96,    .43,   -.35,      0,   -.88,    .09,   -.06,    .84,   50.1,     75,
       41,      00,   195905,   3.54,   74.3,   1.04,   1.04,   -.36,   -.34,    335,      2,    .29,    .38,   -.14,   -.58,    .18,    .08,    .57,   62.6,     86,
       41,      00,   195906,   4.05,   79.7,    1.3,    1.3,   1.09,    .28,    464,      0,    .91,    .74,    .73,    .11,    -.2,    .37,    .72,   67.9,   91.4,
       41,      00,   195907,   3.72,   80.4,   1.89,   1.89,   2.18,   1.33,    517,      0,   1.18,   1.32,   1.15,    .74,    .01,    .58,   1.07,   68.9,   91.9,
       41,      00,   195908,   2.33,   81.7,   1.84,   1.84,    .43,   1.34,    541,      0,    .19,    .86,   1.17,    .61,    .17,    .58,   1.19,   69.8,   93.6,
       41,      00,   195909,   1.85,   77.5,   1.02,   1.02,  -1.89,   -.15,    416,      0,   -.76,   -.51,    .11,    .57,    .12,   -.12,   1.04,   64.9,     90,
       41,      00,   195910,   4.54,   64.9,   1.79,   1.79,   2.64,   1.42,    143,     62,   1.21,    .51,     .4,   1.01,    .76,    .17,    .99,   52.4,   77.5,
       41,      00,   195911,   1.19,   49.1,   1.66,   1.66,    .14,   1.28,      7,    412,   -.48,    .72,    .19,    .78,    .51,    .18,     .6,   35.5,   62.7,
       41,      00,   195912,   2.69,   48.4,   2.08,   2.08,   1.77,   2.08,      8,    434,   1.01,    .26,    .91,    .75,    .92,    .52,     .7,   36.8,     60,
       41,      00,   196001,   1.94,   44.1,   2.31,   2.31,   1.34,   2.31,      8,    569,    .58,      1,    .38,     .5,      1,     .8,    .61,   33.6,   54.6,
       41,      00,   196002,   1.83,   43.7,   2.58,   2.58,   1.53,   2.58,      2,    536,     .4,    .58,    .92,    .58,   1.05,    .75,    .58,   31.3,   56.1,
       41,      00,   196003,   1.01,   50.6,   2.33,   2.33,    .05,   2.29,     11,    413,   -.81,   -.31,    .03,    .65,    .62,    .82,    .49,   38.4,   62.8,
       41,      00,   196004,   1.53,   66.6,   1.86,   1.86,    -.7,   1.45,    134,     41,   -.57,    -.9,   -.54,   -.14,    .11,    .62,    .42,   53.2,   79.9,
       41,      00,   196005,   1.51,   71.5,   1.02,   1.02,  -1.93,   -.25,    232,      7,  -1.58,   -1.6,   -1.8,   -.46,    -.3,    .22,    .26,     58,     85,
       41,      00,   196006,   3.69,   81.2,   1.12,   1.12,    .61,    .11,    498,      0,    .68,   -.44,   -.69,   -.46,    .11,    .17,    .42,   68.1,   94.3,
       41,      00,   196007,   3.95,   81.7,   1.74,   1.74,    2.2,   1.51,    561,      0,   1.34,   1.26,    .28,   -.13,    .06,    .22,    .61,   70.1,   93.4,
       41,      00,   196008,   3.39,   81.2,   2.26,   2.26,   2.11,   2.26,    530,      0,    .99,   1.59,   1.59,    .11,    .45,    .38,    .77,   69.9,   92.4,
       41,      00,   196009,   1.91,   76.2,   1.51,   1.51,  -1.54,    .77,    377,      0,   -.71,    .11,    .71,   -.03,      0,    .37,    .21,     63,   89.4,
       41,      00,   196010,   5.22,   68.1,   2.38,   2.38,   3.06,   2.38,    195,     31,    1.5,     .8,   1.05,    .91,    .48,    .53,     .5,   56.3,   79.8,
       41,      00,   196011,   1.52,   56.1,   2.12,   2.12,   -.05,   2.03,     40,    221,   -.13,   1.11,    .58,   1.35,    .36,    .62,    .52,   44.1,   68.2,
       41,      00,   196012,   3.86,   42.9,   3.23,   3.23,   3.98,   3.23,      2,    585,   1.82,   1.08,    1.6,   1.76,    .93,    .82,    .79,   33.3,   52.6,
       41,      00,   196101,    2.4,   41.5,   3.79,   3.79,   2.69,   3.79,      3,    666,   1.02,   1.98,   1.32,   1.53,   1.38,    .92,   1.05,   29.5,   53.4,
       41,      00,   196102,   2.14,   49.6,   3.93,   3.93,   1.58,   3.93,     13,    366,    .75,   1.08,   1.82,    1.4,   1.98,    .98,   1.08,   36.8,   62.4,
       41,      00,   196103,   1.67,   57.9,   3.57,   3.57,    .13,   3.56,     70,    199,    .03,    .44,    .78,   1.57,   1.83,   1.11,   1.24,   44.7,     71,
       41,      00,   196104,    .82,   63.7,   2.78,   2.78,  -1.26,   2.22,     79,     85,   -1.7,   -.94,   -.38,    .53,   1.05,    .99,   1.14,   49.4,     78,
       41,      00,   196105,   1.68,   73.5,   1.78,   1.78,  -2.15,    .33,    292,      4,  -1.37,   -2.1,  -1.69,    .19,    .39,   1.01,     .9,   60.3,   86.6,
       41,      00,   196106,    5.5,   77.6,   2.64,   2.64,   3.14,   2.36,    399,      0,   1.75,    .55,   -.13,    .34,   1.08,    1.3,    1.1,   66.3,     89,
       41,      00,   196107,   3.83,   79.6,    3.4,    3.4,   3.09,    3.4,    488,      0,   1.26,   2.02,   1.03,    .48,    .91,   1.21,   1.11,   68.5,   90.8,
       41,      00,   196108,   1.59,   79.4,   3.05,   3.05,      0,   2.98,    480,      0,   -.55,    .48,   1.54,    .12,    .87,    .88,      1,   66.7,   92.1,
       41,      00,   196109,   3.37,   75.1,   2.91,   2.91,    .53,   2.91,    359,      1,    .41,   -.07,    .51,     .2,    .51,   1.12,   1.27,   63.5,   86.7,
       41,      00,   196110,   1.57,   65.7,   2.27,   2.27,  -1.02,   1.79,    137,     54,   -.52,   -.14,   -.46,    .32,    .07,    .54,    .81,   52.3,   79.1,
       41,      00,   196111,   2.71,   51.3,    2.6,    2.6,   1.69,    2.6,     17,    329,    .85,    .08,    .21,   1.03,    .15,    .79,   1.03,   40.5,   62.1,
