StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       42,      00,   195601,   1.88,   33.5,  -1.35,  -1.35,   1.58,   -.33,      0,   1016,   1.02,    .85,     .8,    .19,   -.16,   -.75,   -.99,   23.6,   43.4,
       42,      00,   195602,    .69,   25.2,  -1.35,  -1.35,   -.43,   -.49,      0,   1200,   -.84,    .33,    .36,   -.54,   -.16,  -1.09,    -.9,   13.5,   36.9,
       42,      00,   195603,    .13,   37.9,  -2.03,  -2.03,  -2.45,  -2.03,      0,    907,  -2.37,  -1.97,   -.75,  -1.02,   -.72,  -1.15,  -1.33,   23.8,   51.9,
       42,      00,   195604,    .96,   45.7,  -2.07,  -2.07,   -.77,  -2.07,      1,    638,   -.33,  -1.95,  -2.03,   -.57,   -.76,   -.94,  -1.23,   33.1,   58.4,
       42,      00,   195605,   1.06,   56.9,  -2.15,  -2.15,   -.86,  -2.15,     16,    342,    .03,   -.26,  -1.41,   -.67,  -1.19,   -.76,  -1.19,   43.3,   70.5,
       42,      00,   195606,    .28,   66.9,  -2.62,  -2.62,  -2.07,  -2.62,     89,    129,   -.73,   -.52,   -.61,  -1.02,  -1.14,   -.92,  -1.29,   50.9,   82.8,
       42,      00,   195607,    .79,   71.2,  -2.89,  -2.89,  -1.62,  -2.89,    163,     37,   -.26,   -.76,   -.64,  -1.74,   -.79,   -.92,  -1.25,   56.2,   86.2,
       42,      00,   195608,    .35,   67.2,   -3.4,   -3.4,  -2.43,   -3.4,     86,     88,  -1.53,  -1.28,  -1.43,  -1.78,  -1.24,  -1.63,  -1.34,   51.9,   82.5,
       42,      00,   195609,    .11,   63.6,  -3.97,  -3.97,  -2.77,  -3.97,     48,    176,  -1.85,  -3.09,  -2.47,  -1.85,   -1.8,  -1.94,  -1.92,   46.6,   80.6,
       42,      00,   195610,     .9,   49.3,  -3.79,  -3.79,   -.68,  -3.79,      2,    548,   -.23,  -1.33,  -1.94,  -1.76,   -2.3,   -1.6,  -1.83,   35.4,   63.3,
       42,      00,   195611,    .16,   31.5,  -3.97,  -3.97,   -1.7,  -3.97,      0,   1056,  -1.95,  -1.36,  -1.99,  -2.58,  -2.73,  -2.05,  -2.04,   17.8,   45.2,
       42,      00,   195612,    .81,   26.4,     -4,     -4,  -1.31,     -4,      0,   1232,   -.44,  -1.49,  -1.32,  -2.22,  -2.35,  -2.33,  -2.09,   14.6,   38.1,
       42,      00,   195701,   2.12,   24.1,  -3.06,  -3.06,   1.56,   -2.4,      0,   1340,   1.25,    .68,   -.11,  -1.43,  -1.55,  -2.19,  -1.86,   14.8,   33.4,
       42,      00,   195702,     .7,   34.1,   -3.2,   -3.2,  -1.36,  -3.01,      0,    894,   -.82,    .55,    .21,  -1.29,  -1.77,  -2.07,  -2.04,   23.9,   44.4,
       42,      00,   195703,   1.19,   38.8,  -3.19,  -3.19,   -.96,  -3.19,      0,    869,    -.1,   -.64,    .34,   -.68,  -1.63,  -1.64,  -1.83,     28,   49.7,
       42,      00,   195704,   2.23,   43.9,    .84,  -2.02,   2.52,   -.95,      0,    700,   1.56,   1.05,     .4,    .18,   -.94,  -1.14,  -1.37,     33,   54.8,
       42,      00,   195705,   2.77,   51.8,   2.24,   2.24,   4.47,   2.24,      5,    460,   2.02,   2.25,    1.9,   1.42,    .28,   -.38,   -.78,   40.6,   63.1,
       42,      00,   195706,   1.08,   64.1,   2.78,   2.78,    2.3,   2.78,     58,    182,    .85,   1.99,    2.2,   1.77,    .81,   -.03,   -.68,   49.8,   78.3,
       42,      00,   195707,    .91,     71,   3.14,   3.14,   1.93,   3.14,    160,     40,      0,    .55,   1.72,   1.45,    .94,    .04,   -.63,   56.7,   85.4,
       42,      00,   195708,   1.79,   69.7,   3.61,   3.61,   2.39,   3.61,    146,     47,   1.02,    .69,    .89,   2.02,   1.53,    .55,   -.64,   56.5,   82.9,
       42,      00,   195709,     .1,   60.1,   2.58,   2.58,  -1.98,   1.74,     26,    241,  -1.89,   -.26,   -.28,   1.49,   1.31,    .55,   -.83,     44,   76.2,
       42,      00,   195710,   2.12,   48.2,   3.09,   3.09,   2.32,   3.09,      1,    576,    1.1,    .05,    .48,   1.49,   1.34,    .97,   -.31,   37.3,     59,
       42,      00,   195711,   2.24,   31.5,   3.95,   3.95,   3.54,   3.95,      0,   1069,   1.81,    1.8,    .89,   1.19,   1.98,   1.69,   -.02,   22.6,   40.4,
