StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       43,      00,   195601,   2.62,   18.5,  -1.17,  -1.17,   -.44,  -1.17,      0,   1418,   -.08,  -1.46,  -1.37,    .35,   -.45,    .02,    .84,   11.2,   25.9,
       43,      00,   195602,   2.69,   20.4,    .04,     -1,    .12,   -.83,      0,   1226,    .19,   -.07,  -1.19,   -.76,   -.26,   -.23,     .7,   10.5,   30.3,
       43,      00,   195603,   4.24,     21,    .66,    .66,   1.88,    .66,      0,   1337,    .99,    .81,    .52,    .09,    .05,   -.26,    .66,    9.7,   32.2,
       43,      00,   195604,   3.03,   36.7,    .65,    .65,    .15,    .65,      0,    835,   -.13,    .61,    .55,   -.54,    .46,   -.24,    .49,   27.5,   45.9,
       43,      00,   195605,   3.94,   46.9,    .91,    .91,    .99,    .91,      0,    538,    .27,    .08,    .57,   -.27,   -.29,   -.01,    .34,   34.1,   59.8,
       43,      00,   195606,   2.67,   61.5,   -.59,   -.59,  -1.78,   -.59,     20,    110,   -.96,   -.42,   -.46,   -.06,   -.18,   -.17,    .05,     49,   73.9,
       43,      00,   195607,   4.08,   62.7,   -.43,   -.43,    .29,   -.43,     34,     90,    .03,   -.68,   -.33,    .04,   -.64,     .2,    .14,   51.8,   73.6,
       43,      00,   195608,   2.65,   62.4,     -1,     -1,  -1.84,     -1,     39,    103,  -1.06,   -.86,  -1.55,    -.4,   -.94,   -.77,    .03,   50.3,   74.4,
       43,      00,   195609,   4.86,   52.5,    .45,    .45,   1.36,    .45,      0,    358,    .71,   -.11,   -.17,   -.48,   -.15,   -.22,   -.12,   41.6,   63.5,
       43,      00,   195610,   1.68,   45.8,   -.63,   -.63,  -1.88,   -.63,      0,    582,  -1.32,   -.34,   -.84,     -1,   -.56,  -1.11,   -.31,   32.3,   59.2,
       43,      00,   195611,   2.97,   34.7,   -.93,   -.93,  -1.11,   -.93,      0,    889,   -.33,  -1.33,   -.56,  -1.37,   -.77,  -1.22,   -.59,   24.4,   45.1,
       43,      00,   195612,   3.35,   24.2,   -.83,   -.83,    .02,   -.83,      0,   1238,    .18,    -.1,   -.92,   -.82,   -.91,    -.6,   -.57,   15.6,   32.7,
       43,      00,   195701,   2.21,    8.8,  -1.08,  -1.08,  -1.01,  -1.08,      0,   1709,   -.48,   -.29,   -.43,  -1.07,  -1.08,   -.71,   -.44,   -3.8,   21.3,
       43,      00,   195702,   1.46,     22,  -1.64,  -1.64,     -2,  -1.64,      0,   1172,  -1.28,  -1.33,   -.91,  -1.01,  -1.61,  -1.04,   -.77,   10.5,   33.4,
       43,      00,   195703,   1.53,   28.8,  -2.23,  -2.23,   -2.3,  -2.23,      0,   1095,   -1.4,  -2.02,  -1.89,  -2.03,   -1.6,  -1.63,  -1.07,   18.4,   39.3,
       43,      00,   195704,   2.19,   42.3,  -2.77,  -2.77,  -2.29,  -2.77,      0,    656,    -.9,  -1.74,  -2.16,  -1.66,  -1.89,  -1.86,  -1.12,   30.8,   53.8,
       43,      00,   195705,   3.38,   51.7,  -2.62,  -2.62,    -.4,  -2.62,      0,    396,    -.1,   -.61,  -1.32,  -1.53,  -1.48,  -1.93,  -1.07,   39.1,   64.3,
       43,      00,   195706,   4.83,   64.6,  -2.11,  -2.11,    .71,  -1.75,     57,     54,     .6,    .31,   -.16,  -1.23,  -1.53,  -1.39,   -.92,     52,   77.2,
       43,      00,   195707,   4.85,   64.2,  -1.39,  -1.39,    1.5,   -.34,     56,     63,    .57,     .7,    .51,   -.75,   -.87,  -1.27,   -.65,   52.6,   75.8,
       43,      00,   195708,   1.56,   60.3,  -2.05,  -2.05,   -2.4,  -1.93,     19,    147,  -2.21,  -1.09,   -.36,  -1.33,  -1.56,   -1.5,  -1.48,   47.2,   73.4,
       43,      00,   195709,   3.63,   57.3,  -2.01,  -2.01,   -.51,  -2.01,      6,    223,   -.02,  -1.64,   -.98,   -.73,  -1.75,  -2.12,  -1.37,     45,   69.6,
       43,      00,   195710,   2.15,   45.4,  -2.39,  -2.39,  -1.77,  -2.39,      0,    594,   -.89,   -.69,  -1.84,   -.83,  -2.16,   -1.9,  -1.97,   34.4,   56.5,
       43,      00,   195711,    4.1,   36.3,   -.02,  -2.17,   -.07,  -2.14,      0,    846,    .46,   -.35,    -.4,   -.66,  -1.35,  -1.63,  -1.88,   27.6,   44.8,
       43,      00,   195712,   5.36,   26.8,    .94,  -1.01,   2.83,    .34,      0,   1156,   1.46,    1.2,    .51,   -.22,   -.25,   -.98,  -1.02,   17.9,   35.6,
       43,      00,   195801,   5.34,   18.2,   1.96,   1.96,   3.33,   1.96,      0,   1435,   1.76,   2.31,    1.8,    .33,    .45,   -.25,   -.62,    9.4,     27,
       43,      00,   195802,   2.88,   11.7,    1.9,    1.9,    .45,    1.9,      0,   1470,    .37,   1.69,   2.19,   1.01,    .58,    .01,   -.61,    1.1,   22.3,
       43,      00,   195803,   2.15,   31.1,   -.45,   1.26,  -1.34,    .56,      0,   1041,   -.79,   -.36,    .92,    .84,    .17,    .07,   -.85,   23.7,   38.6,
       43,      00,   195804,   3.19,   42.1,   -.62,    .91,   -.66,   -.13,      0,    670,    .01,   -.58,   -.31,   1.28,    .05,    .24,   -.83,   30.8,   53.4,
       43,      00,   195805,   3.08,   48.9,   -.67,     .7,   -.34,   -.47,      0,    480,   -.31,   -.25,   -.63,    .97,    .46,    .18,   -.95,     37,   60.8,
       43,      00,   195806,   3.11,     56,   -.68,    .55,   -.24,   -.68,      0,    253,   -.55,   -.64,   -.56,     .1,    .33,   -.13,   -.89,   44.2,   67.9,
       43,      00,   195807,   5.49,   65.6,    .71,    1.2,   2.12,    .74,     78,     43,    .96,    .26,    .06,   -.19,    .87,    .05,   -.75,   55.1,   76.1,
