StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       44,      00,   195601,   1.62,   32.7,  -1.52,  -1.52,   -1.8,  -1.52,      0,    999,  -1.55,  -2.46,  -2.43,   -.43,   -.62,   -.18,   -.99,   23.4,   41.9,
       44,      00,   195602,   4.49,   40.7,    .57,    -.8,    1.7,    .18,      0,    688,   1.15,      0,  -1.09,  -1.26,   -.12,      0,   -.63,   30.6,   50.7,
       44,      00,   195603,   3.38,   43.5,    .41,   -.81,   -.29,    .02,      0,    672,   -.18,    .65,   -.12,  -1.35,   -.24,   -.36,    -.7,   31.8,   55.3,
       44,      00,   195604,   3.47,     52,    .55,   -.55,    .54,    .55,      0,    382,    .17,   -.13,    .56,  -1.05,   -.09,   -.36,   -.59,   40.1,   63.9,
       44,      00,   195605,   2.55,   63.2,   -.55,  -1.05,  -1.66,   -.66,     54,    115,   -.99,   -.66,    -.7,  -1.17,  -1.37,   -.42,   -.93,   50.3,   76.2,
       44,      00,   195606,   3.07,   70.8,   -.79,  -1.23,   -.88,  -1.15,    200,      8,   -.65,  -1.17,   -.93,    -.8,  -1.64,   -.64,   -.84,   58.7,   82.9,
       44,      00,   195607,   6.47,   74.4,    .73,    .73,    2.2,    .73,    304,      0,   1.46,    .55,    -.1,    .19,   -.96,   -.16,   -.43,   63.7,   85.1,
       44,      00,   195608,   3.14,     73,    .29,    .29,   -1.1,   -.37,    259,      1,   -.56,    .39,   -.01,   -.51,   -.93,  -1.23,   -.47,   61.5,   84.4,
       44,      00,   195609,    4.7,   64.9,    .71,    .71,   1.36,    .71,     78,     70,     .7,     .1,    .66,   -.04,   -.21,   -.88,   -.01,     54,   75.9,
       44,      00,   195610,   4.38,   57.9,   1.08,   1.08,   1.31,   1.08,     19,    236,    .77,    .92,    .44,    .24,    .41,   -.54,   -.12,   48.4,   67.4,
       44,      00,   195611,   2.46,   44.6,    .99,    .99,    .09,    .95,      0,    599,   -.18,    .41,    .63,    .47,    .04,   -.49,   -.21,   33.8,   55.4,
       44,      00,   195612,   2.86,   45.8,    .64,    .64,   -.76,   -.06,      3,    605,   -.23,   -.32,     .2,     .6,    .07,    -.1,   -.18,   35.4,   56.2,
       44,      00,   195701,   3.77,   33.7,     .9,     .9,    .97,    .78,      0,    989,    .52,    .15,   -.04,    .18,    .14,    .29,    .11,   24.5,   42.9,
       44,      00,   195702,   4.58,   41.3,    1.4,    1.4,   1.79,    1.4,      0,    680,   1.21,   1.16,    .79,     .9,    .74,    .35,    .21,   31.5,   51.1,
       44,      00,   195703,   2.72,     44,    -.4,    .85,  -1.21,     .1,      0,    648,   -.74,     .4,    .52,    .46,    .72,    .21,    -.1,   33.7,   54.3,
       44,      00,   195704,   4.03,   57.8,   -.25,    .88,    .35,    .27,     10,    225,    .62,   -.19,    .55,    .34,    .41,    .29,      0,   45.2,   70.4,
       44,      00,   195705,   2.56,   65.1,   -.88,   -.88,  -1.98,   -.88,     86,     79,   -.98,   -.32,   -.74,    .02,     .4,     .3,   -.09,   52.6,   77.6,
       44,      00,   195706,   4.36,   72.6,   -.64,   -.64,    .44,   -.64,    249,      2,    .35,   -.46,   -.12,    .21,    .29,     .5,   -.08,     62,   83.2,
       44,      00,   195707,   2.12,   74.6,  -1.64,  -1.64,  -3.18,  -1.64,    316,      0,  -2.13,  -1.07,  -1.38,   -.69,   -.57,   -.29,   -.31,   61.9,   87.2,
       44,      00,   195708,   3.44,   71.8,  -1.92,  -1.92,  -1.36,  -1.92,    232,      2,   -.33,  -1.48,  -1.07,  -1.26,   -.66,   -.18,   -1.2,   59.6,     84,
       44,      00,   195709,   6.24,   68.7,    .68,  -1.05,   2.03,   -.03,    151,     26,   1.25,    .76,   -.16,    -.2,   -.02,     .1,   -.63,     59,   78.3,
       44,      00,   195710,   2.96,   51.8,    .69,   -.85,    .26,    .29,      2,    400,    .02,    .96,    .57,   -.39,   -.15,   -.17,   -.55,   41.3,   62.3,
       44,      00,   195711,   4.42,   46.8,   1.24,   1.24,   1.87,   1.24,      0,    540,   1.04,    .62,    1.2,    .32,   -.12,    .13,   -.24,   36.3,   57.3,
       44,      00,   195712,   4.55,   39.5,   1.76,   1.76,   1.93,   1.76,      0,    784,   1.01,   1.33,    .96,    .52,    .39,     .5,    .33,   29.5,   49.6,
       44,      00,   195801,   3.42,   31.1,   1.77,   1.77,    .56,   1.77,      0,   1041,    .27,    .79,   1.17,   1.18,    .28,    .42,    .51,   21.6,   40.6,
       44,      00,   195802,   3.47,   29.5,   1.88,   1.88,    .89,   1.88,      0,    983,    .45,    .43,    .88,   1.48,    .64,    .25,    .38,   20.3,   38.8,
       44,      00,   195803,   4.54,   39.6,   2.24,   2.24,   1.65,   2.24,      0,    789,    .64,    .71,    .66,   1.06,    .74,    .56,    .52,   31.1,     48,
       44,      00,   195804,   4.59,   54.2,   2.57,   2.57,   1.69,   2.57,      1,    321,   1.04,   1.06,   1.04,   1.37,    1.5,    .65,    .68,   42.8,   65.5,
       44,      00,   195805,   4.93,   62.7,   2.74,   2.74,   1.31,   2.74,     53,    118,    .76,    1.2,   1.27,   1.36,    1.7,   1.11,    1.1,   51.4,   74.1,
       44,      00,   195806,   4.27,     69,   2.85,   2.85,   1.16,   2.85,    139,     18,    .29,    .65,   1.02,    1.1,   1.33,   1.13,   1.28,   57.7,   80.3,
       44,      00,   195807,   4.64,   76.2,   2.62,   2.62,    .19,   2.62,    364,      0,    .13,    .26,    .55,   1.11,   1.49,   1.57,   1.01,   66.1,   86.4,
       44,      00,   195808,   6.11,   72.7,   3.15,   3.15,   2.41,   3.15,    253,      1,   1.11,    .87,     .8,   1.41,   1.56,   1.88,   1.42,   62.3,   83.1,
       44,      00,   195809,    1.5,     66,   -.47,   2.36,  -1.41,   1.73,     92,     52,  -1.33,    .01,   -.01,    .57,    .75,   1.07,    .94,   53.3,   78.6,
       44,      00,   195810,   2.56,   55.1,   -.59,   1.95,   -.51,   1.07,      9,    300,   -.23,  -1.14,   -.24,    .17,    .61,   1.06,    .64,   43.1,     67,
       44,      00,   195811,   1.91,   48.1,  -1.02,   1.25,  -1.48,   -.22,      0,    499,    -.6,   -.63,  -1.24,   -.32,    .34,    .59,    .52,   36.3,   59.9,
       44,      00,   195812,   3.58,   31.3,   -.61,   1.43,    .94,    .34,      0,   1053,    .33,   -.23,   -.41,   -.37,    .27,    .45,    .69,   20.8,   41.8,
       44,      00,   195901,   2.05,   33.4,   -.97,    .86,  -1.27,   -.65,      0,    979,   -.98,   -.38,   -.71,   -.73,   -.25,    .18,    .43,   22.4,   44.5,
       44,      00,   195902,   1.69,   38.6,  -1.52,  -1.52,  -1.96,  -1.52,      0,    747,  -1.02,  -1.59,   -.96,  -1.54,   -.83,   -.12,    .06,   26.9,   50.3,
       44,      00,   195903,   3.16,   43.7,  -1.56,  -1.56,    -.6,  -1.56,      0,    650,   -.36,   -.97,  -1.46,  -1.26,  -1.05,   -.38,    .12,   30.7,   56.7,
       44,      00,   195904,   4.65,   56.2,   -.92,   -.92,   1.45,   -.09,      6,    262,   1.08,    .38,   -.22,   -.62,   -.74,   -.39,    .22,   43.6,   68.8,
       44,      00,   195905,   2.67,   66.6,  -1.53,  -1.53,  -2.11,  -1.53,    111,     57,    -.9,    .09,   -.22,   -.78,  -1.37,   -.82,    .22,   54.7,   78.4,
       44,      00,   195906,   2.64,     71,  -1.91,  -1.91,  -1.63,  -1.91,    209,      7,  -1.06,  -1.35,   -.55,  -1.33,  -1.32,  -1.13,   -.07,   58.4,   83.6,
       44,      00,   195907,   6.33,   74.8,    .57,  -1.14,   1.72,   -.26,    320,      0,   1.36,    .28,   -.28,   -.47,   -.76,   -.81,     .6,   64.6,     85,
       44,      00,   195908,    3.5,   75.9,   -.46,  -1.48,  -1.37,  -1.19,    356,      0,   -.28,    .48,   -.09,   -.28,    -.7,  -1.27,    .67,   64.9,   86.9,
       44,      00,   195909,   3.52,   68.1,   -.57,  -1.49,   -.49,  -1.34,    141,     27,    .18,   -.24,    .36,   -.06,   -.76,   -.85,    .23,   56.4,   79.7,
       44,      00,   195910,   5.87,   58.2,    .75,   -.59,   2.24,    .69,     24,    217,   1.42,   1.02,    .65,    .29,    .06,   -.27,    .57,   48.2,   68.2,
       44,      00,   195911,   3.27,   44.4,    .99,    .99,    .97,    .99,      0,    609,    .37,   1.25,    .94,    .68,    .46,   -.08,    .36,   33.2,   55.6,
