StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       45,      00,   195601,   8.23,     29,   3.95,   3.95,   1.91,   3.95,      0,    939,    .98,   1.32,   1.78,   2.19,    2.2,    2.1,    .93,   23.5,   34.5,
       45,      00,   195602,    4.2,     25,    3.4,    3.4,   -.42,   3.18,      0,    935,   -.17,    .59,   1.07,   2.04,   1.99,   2.05,    .69,   18.2,   31.9,
       45,      00,   195603,   6.14,   35.3,   3.92,   3.92,   2.61,   3.92,      0,    801,    1.1,    .62,   1.02,   2.02,    2.1,   2.11,   1.06,   27.2,   43.5,
       45,      00,   195604,    .69,     47,   -1.1,   2.42,  -3.31,   1.07,      0,    486,  -2.06,   -.07,   -.14,   1.24,   1.52,   1.57,    .89,   34.6,   59.3,
       45,      00,   195605,   1.29,   54.9,   -1.7,   1.46,  -2.13,   -.68,      4,    279,  -1.12,  -2.66,   -.54,    .68,   1.51,    1.5,    .89,     42,   67.8,
       45,      00,   195606,   3.01,   55.3,  -1.11,   1.72,   1.23,     .1,      4,    260,   1.23,    .18,  -1.22,    .44,   1.71,   1.76,    .94,   44.6,     66,
       45,      00,   195607,    .59,   65.6,  -1.37,   1.17,  -1.11,   -.76,     72,     74,    -.3,    .82,   -.01,   -.14,   1.18,   1.45,    .87,   51.3,   79.9,
       45,      00,   195608,   1.51,   63.4,    .09,   1.14,    .27,   -.61,     45,    101,    .79,    .35,   1.02,    .06,     .9,   1.67,     .8,   49.9,   76.9,
       45,      00,   195609,   2.17,     57,    .17,   1.11,    .26,   -.47,      8,    228,    .32,    .63,    .45,   -.62,    .53,   1.68,    .83,   44.2,   69.8,
       45,      00,   195610,   6.27,   45.3,   1.09,   1.94,   2.83,   1.12,      0,    525,   1.32,   1.26,   1.38,   1.13,    .64,    1.6,    1.2,   37.1,   53.5,
       45,      00,   195611,   2.32,   33.9,   -.98,    .76,  -2.93,   -.81,      0,    781,  -1.56,   -.45,   -.41,   -.03,   -.29,    .49,    .62,   27.5,   40.4,
