StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       46,      00,   195601,   2.57,   27.2,   -3.3,   -3.3,   -.96,   -3.3,      0,   1153,   -.68,   -1.7,  -1.78,  -1.38,  -1.63,   -.76,   -.37,   18.9,   35.6,
       46,      00,   195602,   6.19,   37.7,   1.42,  -1.54,   4.25,    .23,      0,    752,   2.31,   1.17,    .02,   -.81,    -.9,   -.54,    .23,   28.4,     47,
       46,      00,   195603,    5.7,   39.6,   2.11,   2.11,   2.51,   2.11,      0,    772,   1.17,   2.26,   1.64,    .08,   -.39,   -.73,     .4,   28.4,   50.8,
       46,      00,   195604,   3.91,   48.2,   2.15,   2.15,    .76,   2.15,      0,    489,    .23,    .95,   2.07,    .21,   -.03,   -.56,    .49,   36.6,   59.7,
       46,      00,   195605,   4.82,   60.6,   2.17,   2.17,    .75,   2.17,     46,    167,    .43,    .47,      1,    .65,   -.11,   -.31,    .69,   47.2,     74,
       46,      00,   195606,   4.63,   67.6,    2.2,    2.2,    .74,    2.2,    130,     29,    .22,    .38,    .44,   1.34,    .28,   -.19,    .82,   55.9,   79.4,
       46,      00,   195607,   6.23,   70.9,   2.77,   2.77,    2.4,   2.77,    211,      5,   1.17,    .89,    .85,   2.05,    .67,    .36,    .85,   60.5,   81.3,
       46,      00,   195608,   4.69,   69.7,   2.87,   2.87,   1.16,   2.87,    179,     10,    .55,    1.1,    .96,   1.35,   1.03,    .33,     .6,   58.5,   80.9,
       46,      00,   195609,   4.22,   61.4,   3.33,   3.33,   2.27,   3.33,     38,    128,    .75,    .81,   1.23,   1.07,   1.65,    .83,    .83,   49.8,     73,
       46,      00,   195610,   2.23,   56.1,    2.8,    2.8,   -.59,    2.5,     16,    274,    -.4,    .16,    .37,     .8,    1.9,    .77,    .19,   44.7,   67.6,
       46,      00,   195611,   1.79,   41.5,   2.19,   2.19,   -.95,   1.46,      0,    684,     -1,   -.96,   -.37,    .33,    .82,    .69,    .13,   30.4,   52.7,
       46,      00,   195612,   4.57,     42,   2.36,   2.36,   1.18,   2.05,      0,    702,    .89,   -.03,   -.37,    .54,    .65,   1.32,    .31,   33.1,   50.9,
       46,      00,   195701,   4.81,   28.4,   2.82,   2.82,    2.1,   2.82,      0,   1129,    .93,   1.12,    .48,     .5,    .87,    1.9,    .65,   19.7,     37,
       46,      00,   195702,   4.44,   38.4,   3.07,   3.07,   1.63,   3.07,      0,    736,   1.13,   1.41,   1.49,    .72,   1.12,   1.48,    .56,     29,   47.8,
       46,      00,   195703,   2.48,   40.5,   -.65,    2.1,  -1.95,   1.25,      0,    744,  -1.19,   -.06,    .49,   -.02,    .66,    .75,   -.02,   30.5,   50.3,
       46,      00,   195704,   3.88,   54.8,    -.7,   1.77,   -.34,    .75,      6,    298,    .21,   -.74,   -.03,    .26,    .39,    .74,    .08,   42.5,     67,
       46,      00,   195705,   2.78,   62.3,  -1.31,     .9,  -2.05,   -.91,     65,    132,   -.97,   -.64,  -1.22,     .2,    -.1,    .34,      0,   48.7,   75.9,
       46,      00,   195706,   4.54,   70.8,   -1.2,    .79,   -.07,   -.95,    207,      9,    .15,   -.64,   -.42,   -.04,   -.29,    .29,    .08,   59.9,   81.8,
       46,      00,   195707,   2.92,   71.6,  -1.98,  -1.98,   -2.7,  -1.98,    235,      3,  -1.65,   -.99,  -1.25,   -.93,   -.56,   -.31,    .02,   58.7,   84.5,
       46,      00,   195708,   1.47,   69.2,   -3.1,   -3.1,  -3.97,   -3.1,    168,     13,  -2.61,  -2.47,  -1.82,  -1.98,   -.85,   -.91,   -.43,   55.5,   82.9,
       46,      00,   195709,   4.57,     66,    .24,  -2.54,    .71,  -2.19,    102,     53,    .96,   -.65,  -1.42,  -1.23,   -.76,   -.83,   -.04,     55,     77,
       46,      00,   195710,   3.42,   49.2,    .37,  -2.12,    .47,  -1.53,      0,    473,    .38,    .85,   -.31,  -1.13,     -1,   -.65,    .02,   38.3,     60,
       46,      00,   195711,   2.48,   43.2,    -.4,   -2.3,  -1.19,  -2.12,      0,    644,   -.36,    .03,    .48,   -.94,  -1.45,    -.5,    .05,   32.4,   53.9,
       46,      00,   195712,   4.54,   35.9,    .57,   -1.5,    1.7,   -.57,      0,    887,    .87,    .32,    .36,   -.67,   -.76,   -.48,    .57,     26,   45.7,
       46,      00,   195801,   3.21,   27.1,    .48,  -1.37,   -.09,   -.47,      0,   1158,   -.16,    .43,    .09,   -.23,   -.88,   -.82,     .6,   18.7,   35.4,
       46,      00,   195802,   2.99,   23.9,    .44,  -1.22,    .02,    -.3,      0,   1134,   -.01,   -.22,    .33,    .46,   -.64,  -1.08,    .14,   15.6,   32.2,
       46,      00,   195803,   3.44,     36,    .35,  -1.14,   -.14,   -.27,      0,    877,   -.38,   -.33,   -.47,   -.09,   -.79,   -.88,   -.12,   29.7,   42.4,
       46,      00,   195804,    4.8,   50.9,    .82,    .82,   1.53,    .82,      0,    404,    .88,    .24,    .16,    .11,    -.1,   -.69,   -.01,   38.7,   63.2,
       46,      00,   195805,   5.35,   59.5,   1.26,   1.26,   1.58,   1.26,     35,    189,    .76,   1.13,    .68,    .62,    .73,   -.25,    .04,   46.7,   72.3,
       46,      00,   195806,   4.31,   65.6,   1.36,   1.36,    .67,   1.36,     89,     52,   -.03,    .48,    .85,    .29,     .4,   -.32,   -.01,   53.8,   77.4,
       46,      00,   195807,   8.12,   72.9,   2.78,   2.78,   4.68,   2.78,    269,      1,   2.63,   1.77,   1.81,   1.31,   1.12,    .71,    .26,   63.1,   82.8,
       46,      00,   195808,   5.63,   69.6,   3.32,   3.32,   2.48,   3.32,    176,     11,    1.2,   2.67,   2.25,   1.89,   1.65,   1.55,    .47,   58.8,   80.4,
       46,      00,   195809,   2.77,   63.8,   -.04,   2.94,   -.12,   2.83,     68,     84,   -.25,    .58,   1.78,   1.68,   1.19,   1.17,    .24,   52.1,   75.5,
       46,      00,   195810,   1.55,   52.1,   -.42,   2.24,  -1.16,   1.61,      3,    388,   -.93,   -.95,   -.11,   1.05,      1,    .88,    .11,   39.7,   64.5,
       46,      00,   195811,   2.55,   44.2,    -.6,    1.8,   -.65,    .86,      0,    611,   -.31,   -.91,   -.94,    .65,    .89,    .89,    .19,     32,   56.3,
       46,      00,   195812,   1.37,   26.7,   -1.3,    .85,  -2.28,   -.96,      0,   1181,  -1.91,  -1.46,  -1.59,    .05,    .52,    .27,    -.2,   16.8,   36.6,
       46,      00,   195901,   3.33,   28.3,  -1.14,    .79,    .08,   -.89,      0,   1128,   -.07,  -1.14,  -1.21,    -.9,    .19,    .22,   -.41,   18.3,   38.4,
       46,      00,   195902,   2.38,   34.7,  -1.37,  -1.37,  -1.05,  -1.37,      0,    838,   -.56,    -.5,  -1.36,  -1.52,   -.23,     .1,   -.68,   22.8,   46.5,
       46,      00,   195903,    2.7,   38.7,  -1.71,  -1.71,  -1.44,  -1.71,      0,    798,     -1,  -1.14,  -1.06,  -1.77,   -.49,   -.02,    -.6,   26.4,     51,
       46,      00,   195904,   4.27,   52.1,  -1.32,  -1.32,    .63,   -.94,      0,    375,     .5,   -.43,   -.65,  -1.29,  -1.08,    -.1,   -.54,   39.2,   64.9,
       46,      00,   195905,    3.7,   64.5,  -1.62,  -1.62,   -1.3,  -1.62,     99,     94,   -.32,    .09,   -.52,  -1.27,  -1.52,   -.44,   -.47,   51.8,   77.1,
       46,      00,   195906,   2.77,   67.4,  -2.05,  -2.05,  -1.78,  -2.05,    126,     31,  -1.29,  -1.04,   -.62,  -1.13,  -1.75,   -.75,   -.71,   54.6,   80.2,
       46,      00,   195907,   4.63,   72.6,  -2.05,  -2.05,   -.65,  -2.05,    260,      2,   -.14,  -1.02,   -.94,  -1.09,  -1.52,  -1.34,   -.49,   60.6,   84.5,
       46,      00,   195908,   3.38,   73.7,  -2.49,  -2.49,  -1.94,  -2.49,    295,      1,   -.51,    -.5,  -1.11,  -1.11,  -1.56,  -1.78,   -.22,     62,   85.3,
       46,      00,   195909,   1.24,   66.3,  -3.46,  -3.46,  -3.68,  -3.46,    112,     47,  -1.85,  -1.54,  -1.28,  -1.28,  -1.68,  -2.22,   -.72,   52.1,   80.6,
       46,      00,   195910,   5.07,   54.9,  -2.61,  -2.61,   1.46,  -1.97,     11,    307,   1.27,    .09,   -.21,   -.84,  -1.09,  -1.57,   -.51,     44,   65.8,
       46,      00,   195911,   4.04,   40.4,  -1.92,  -1.92,   1.26,   -.74,      0,    725,     .8,   1.35,    .43,   -.43,   -.67,  -1.23,   -.28,   29.2,   51.7,
       46,      00,   195912,   2.83,   35.4,  -1.91,  -1.91,   -.54,   -.92,      0,    901,   -.38,    .24,    .95,   -.17,   -.47,   -.89,   -.47,   26.9,     44,
       46,      00,   196001,   3.17,     33,  -1.77,  -1.77,   -.19,   -.84,      0,    977,   -.19,   -.41,    .01,   -.22,    -.7,   -.92,   -.48,   25.3,   40.6,
       46,      00,   196002,   3.88,   30.6,  -1.15,  -1.15,   1.33,    .25,      0,    949,    .71,    .26,   -.03,    .17,   -.45,   -.65,   -.39,   21.7,   39.5,
       46,      00,   196003,   2.61,   27.6,  -1.34,  -1.34,   -.93,   -.29,      0,   1136,  -1.08,   -.29,   -.46,    .36,   -.39,   -.63,   -.44,   17.7,   37.5,
