StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       47,      00,   195601,    .48,   14.8,  -2.12,  -2.12,  -1.34,  -2.12,      0,   1444,  -1.35,  -1.11,  -1.22,  -1.22,    -.9,   -.88,    .05,    4.6,     25,
       47,      00,   195602,    .48,   15.2,  -2.22,  -2.22,   -.97,  -2.22,      0,   1284,  -1.09,   -1.7,  -1.48,  -1.43,  -1.08,  -1.01,      0,    3.5,     27,
       47,      00,   195603,   1.99,   23.9,    .21,  -1.79,    .62,  -1.45,      0,   1186,    .31,   -.36,   -.94,   -.73,   -.81,   -.88,    .09,   13.3,   34.4,
       47,      00,   195604,   2.09,   39.4,    .12,  -1.67,   -.21,  -1.36,      0,    707,   -.55,   -.31,   -.66,  -1.36,  -1.53,  -1.13,   -.46,   28.3,   50.6,
       47,      00,   195605,   3.71,   53.5,    .33,  -1.28,    .67,   -.62,     15,    345,    .18,   -.23,   -.13,   -.87,  -1.29,  -1.08,   -.45,   41.1,   65.8,
       47,      00,   195606,   4.08,   67.1,    .14,   -1.3,   -.46,    -.8,    142,     45,   -.03,    .01,   -.22,   -.62,   -.73,   -.89,   -.71,   54.7,   79.4,
       47,      00,   195607,   4.12,   65.3,    .62,   -.67,    1.5,    .48,    113,     48,    .41,    .15,    .15,   -.23,   -.84,  -1.11,   -.68,   54.6,     76,
       47,      00,   195608,   4.55,   66.1,      1,      1,   1.33,      1,    133,     46,    .62,    .66,    .45,    .21,   -.29,   -.79,   -.48,   55.2,     77,
       47,      00,   195609,   1.54,   55.2,   -.62,   -.62,  -1.85,   -.62,      8,    242,  -1.48,   -.55,   -.25,   -.43,   -.76,   -.77,  -1.15,     43,   67.3,
       47,      00,   195610,   1.02,   52.6,  -1.49,  -1.49,   -2.8,  -1.49,     10,    353,  -1.36,  -1.91,  -1.08,   -.69,   -.89,  -1.38,  -1.72,     40,   65.2,
       47,      00,   195611,   2.38,   31.4,  -1.34,  -1.34,   -.01,  -1.26,      0,    939,    .53,   -.68,  -1.44,   -.63,   -.63,  -1.01,  -1.43,   23.3,   39.4,
       47,      00,   195612,    .72,   20.8,  -1.52,  -1.52,   -.97,  -1.52,      0,   1276,   -.98,   -.04,   -.95,   -.72,    -.8,  -1.05,  -1.25,   12.6,     29,
       47,      00,   195701,    .37,    7.2,  -1.76,  -1.76,  -1.18,  -1.76,      0,   1695,  -1.81,  -1.67,    -.6,  -1.19,   -.87,  -1.03,  -1.25,   -2.5,   16.9,
       47,      00,   195702,    .66,   19.3,  -1.77,  -1.77,   -.58,  -1.77,      0,   1166,   -.67,  -1.58,  -1.71,  -2.02,  -1.08,     -1,  -1.34,    9.1,   29.5,
       47,      00,   195703,    .92,   28.2,  -2.04,  -2.04,  -1.37,  -2.04,      0,   1064,  -1.16,  -1.31,  -1.85,  -1.85,  -1.34,  -1.24,  -1.44,   17.6,   38.9,
       47,      00,   195704,    2.2,   43.8,  -2.13,  -2.13,    -.9,  -2.13,      0,    597,   -.42,  -1.14,  -1.28,  -1.34,  -1.78,  -1.29,  -1.49,   32.8,   54.8,
       47,      00,   195705,   4.24,   53.2,   -1.4,   -1.4,   1.53,   -.64,     13,    361,    .58,    .15,   -.37,  -1.22,  -1.84,  -1.19,  -1.42,   41.4,   64.9,
       47,      00,   195706,   4.11,   63.9,  -1.22,  -1.22,    .12,   -.37,     90,     83,   -.01,    .31,    .08,   -.75,  -1.26,  -1.13,  -1.33,   52.7,   75.2,
       47,      00,   195707,   3.89,   70.5,   -.96,   -.96,    .38,    .06,    202,     13,    .24,    .04,    .31,    -.4,   -.71,   -1.2,   -1.5,     59,   81.9,
       47,      00,   195708,   3.98,   66.1,   -.75,   -.75,    .35,    .41,    131,     46,    .23,    .28,    .12,   -.19,   -.73,  -1.39,  -1.46,   54.6,   77.6,
       47,      00,   195709,   2.48,     56,  -1.03,  -1.03,  -1.07,   -.29,     10,    225,   -.72,   -.36,   -.19,   -.19,   -.81,  -1.16,  -1.37,   44.5,   67.5,
       47,      00,   195710,   1.45,     45,  -1.29,  -1.29,  -1.11,   -.86,      0,    577,   -.89,  -1.09,   -.72,   -.36,    -.8,  -1.04,  -1.71,   34.1,   55.8,
       47,      00,   195711,   2.91,   31.1,   -.74,   -.74,   1.25,     .2,      0,    952,    .97,    .02,   -.46,    -.3,   -.46,   -.89,  -1.37,   24.4,   37.7,
       47,      00,   195712,   1.03,   21.7,   -.67,   -.67,   -.01,    .25,      0,   1230,   -.37,    .58,   -.14,   -.27,   -.31,    -.8,  -1.19,   13.3,   30.2,
       47,      00,   195801,    .52,   17.6,   -.89,   -.89,   -.88,   -.28,      0,   1429,  -1.21,  -1.05,    .08,   -.59,   -.34,   -.73,  -1.16,    9.9,   25.4,
