StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       48,      00,   195601,   1.38,   21.7,  -1.91,  -1.91,   1.55,    .25,      0,   1317,    .84,   2.25,   2.18,      1,    .58,    .42,    -.9,   11.8,   31.5,
       48,      00,   195602,    .64,   16.8,  -1.68,  -1.68,     .1,    .43,      0,   1313,  -1.12,    .09,   1.58,    .82,    .61,    .09,   -.87,    4.6,     29,
       48,      00,   195603,    .85,   28.6,  -1.47,  -1.47,    .11,    .58,      0,   1101,   -.94,  -2.04,   -.45,    .59,    .23,   -.03,  -1.26,   16.1,   41.2,
       48,      00,   195604,   1.62,   37.4,   -1.1,   -1.1,    .64,   1.02,      0,    819,   -.06,   -.68,  -1.05,    .91,    .33,    .15,  -1.07,   24.8,     50,
       48,      00,   195605,   2.13,   51.2,  -1.08,  -1.08,   -.29,    .82,      4,    409,    .03,   -.13,    -.5,    .33,    .19,    .17,   -.84,   38.5,     64,
       48,      00,   195606,    .62,   62.1,  -1.95,  -1.95,  -2.94,   -.88,     81,    133,  -1.69,   -.98,   -.94,  -1.05,    -.4,   -.53,     -1,   45.6,   78.7,
       48,      00,   195607,    1.2,   64.7,  -2.19,  -2.19,  -1.33,  -1.32,     85,     73,    .07,  -1.24,   -.93,  -1.28,   -.19,   -.45,   -.99,   49.3,     80,
       48,      00,   195608,    .89,   61.2,  -2.31,  -2.31,  -1.01,  -1.59,     37,    131,   -.17,   -.16,  -1.16,  -1.11,    -.5,    -.5,   -.97,     46,   76.3,
       48,      00,   195609,    .32,   55.5,  -2.98,  -2.98,  -2.73,  -2.98,     16,    276,  -1.76,  -1.38,  -1.06,  -1.31,  -1.35,   -.78,  -1.09,   38.3,   72.6,
       48,      00,   195610,    .89,   44.7,  -3.04,  -3.04,  -1.11,  -3.04,      0,    601,    -.5,  -1.46,  -1.41,  -1.53,  -1.72,   -.71,  -1.16,   30.1,   59.2,
