"Number","Date","State/Tribal Government","Incident Description","Declaration Type"
"887","12/24/1990","Guam","Typhoon Russ","Major Disaster Declaration"
"886","12/14/1990","Federated States of Micronesia","Typhoon Owen","Major Disaster Declaration"
"884","12/06/1990","Arizona","Flooding, Severe Storm","Major Disaster Declaration"
"885","12/06/1990","Indiana","Flooding, Severe Storm","Major Disaster Declaration"
"882","11/28/1990","Palau","Typhoon Mike","Major Disaster Declaration"
"883","11/26/1990","Washington","Flooding, Severe Storm","Major Disaster Declaration"
"2077","11/24/1990","Colorado","Old Stage Fire","Fire Management Assistance Declaration"
"881","10/22/1990","South Carolina","Flooding, Severe Storm","Major Disaster Declaration"
"880","10/19/1990","Georgia","Flooding, Severe Storm","Major Disaster Declaration"
"2076","09/14/1990","South Dakota","Swedlund Fire","Fire Management Assistance Declaration"
"879","09/06/1990","Iowa","Flooding, Severe Storm","Major Disaster Declaration"
"877","08/30/1990","Wisconsin","Flooding, Severe Storm","Major Disaster Declaration"
"878","08/29/1990","Illinois","Tornadoes","Major Disaster Declaration"
"876","08/29/1990","New Hampshire","Flooding, Severe Storm","Major Disaster Declaration"
"2075","08/05/1990","Oregon","Aubrey Hall Fire","Fire Management Assistance Declaration"
"875","07/25/1990","Vermont","Flooding, Severe Storm","Major Disaster Declaration"
"874","07/13/1990","Wisconsin","Flooding, Severe Storm, Tornado","Major Disaster Declaration"
"2074","07/05/1990","Alaska","Tok River Fire","Fire Management Assistance Declaration"
"873","07/04/1990","Nebraska","Flooding, Severe Storm, Tornado","Major Disaster Declaration"
"872","06/30/1990","California","Fires","Major Disaster Declaration"
"2073","06/27/1990","Arizona","Dude Fire","Fire Management Assistance Declaration"
"871","06/22/1990","Illinois","Flooding, Severe Storm, Tornado","Major Disaster Declaration"
"870","06/06/1990","Ohio","Flooding, Severe Storm, Tornado","Major Disaster Declaration"
"869","06/04/1990","Indiana","Flooding, Severe Storm, Tornado","Major Disaster Declaration"
"868","05/26/1990","Iowa","Flooding, Severe Storm","Major Disaster Declaration"
"867","05/24/1990","Missouri","Flooding, Severe Storm","Major Disaster Declaration"
"866","05/18/1990","Oklahoma","Flooding, Severe Storm, Tornado","Major Disaster Declaration"
"864","05/18/1990","Hawaii","Lava Flow, Kilauea Volcano","Major Disaster Declaration"
"865","05/15/1990","Arkansas","Flooding, Severe Storm","Major Disaster Declaration"
"863","05/02/1990","Texas","Flooding, Severe Storm, Tornado","Major Disaster Declaration"
"862","04/03/1990","Florida","Flooding, Severe Storm","Major Disaster Declaration"
"861","03/21/1990","Alabama","Flooding, Severe Storm, Tornado","Major Disaster Declaration"
"860","03/06/1990","Illinois","Ice Storm, Severe Storm","Major Disaster Declaration"
"859","02/28/1990","Mississippi","Flooding, Severe Storm, Tornado","Major Disaster Declaration"
"858","02/27/1990","Tennessee","Flooding, Severe Storm","Major Disaster Declaration"
"857","02/23/1990","Georgia","Flooding, Severe Storm, Tornado","Major Disaster Declaration"
"856","02/17/1990","Alabama","Flooding, Severe Storm, Tornado","Major Disaster Declaration"
"855","02/09/1990","American Samoa","Hurricane","Major Disaster Declaration"
"854","02/05/1990","Commonwealth of the Northern Mariana Islands","Typhoon Koryn","Major Disaster Declaration"
"853","01/24/1990","Oregon","Flooding, Severe Storm","Major Disaster Declaration"
"852","01/18/1990","Washington","Flooding, Severe Storm","Major Disaster Declaration"
"851","01/15/1990","Florida","Severe Freeze","Major Disaster Declaration"
"850","01/09/1990","Texas","Severe Freeze","Major Disaster Declaration"
