Date,State,Incident Description
1956,California,Fire
1956,Louisiana,Tropical Storm
1956,Nevada,Severe Storm/Flooding
1956,Pennsylvania,Other
1956,Oregon,Severe Storm/Flooding
1956,Colorado,Severe Storm/Flooding
1956,Pennsylvania,Severe Storm/Flooding
1956,Ohio,Other
1956,North Carolina,Severe Storm/Flooding
1956,Idaho,Severe Storm/Flooding
1956,Oklahoma,Severe Storm/Flooding
1956,Michigan,Severe Storm/Flooding
1956,New York,Severe Storm/Flooding
1956,Pennsylvania,Severe Storm/Flooding
1956,Washington,Severe Storm/Flooding
1957,Kansas,Severe Storm/Flooding
1957,Minnesota,Severe Storm/Flooding
1957,North Dakota,Severe Storm/Flooding
1957,Illinois,Severe Storm/Flooding
1957,Arkansas,Severe Storm/Flooding
1957,Idaho,Severe Storm/Flooding
1957,Missouri,Severe Storm/Flooding
1957,Oklahoma,Severe Storm/Flooding
1957,Louisiana,Tropical Storm
1957,Texas,Tropical Storm
1957,Washington,Severe Storm/Flooding
1957,Oregon,Severe Storm/Flooding
1957,Virginia,Severe Storm/Flooding
1957,West Virginia,Severe Storm/Flooding
1957,Kentucky,Severe Storm/Flooding
1958,Kansas,Severe Storm/Flooding
1958,North Carolina,Tropical Storm
1958,Iowa,Severe Storm/Flooding
1958,Texas,Severe Storm/Flooding
1958,Louisiana,Severe Storm/Flooding
1958,Arkansas,Severe Storm/Flooding
1958,California,Severe Storm/Flooding
1959,Oklahoma,Severe Storm/Flooding
1959,Oklahoma,Severe Storm/Flooding
1959,Texas,Severe Storm/Flooding
1959,Indiana,Severe Storm/Flooding
1959,Pennsylvania,Severe Storm/Flooding
1959,Ohio,Severe Storm/Flooding
1960,North Carolina,Tropical Storm
1960,Florida,Tropical Storm
1960,Idaho,Fire
1960,Oklahoma,Severe Storm/Flooding
1960,Texas,Severe Storm/Flooding
1960,Arkansas,Severe Storm/Flooding
1960,Missouri,Severe Storm/Flooding
1960,South Dakota,Severe Storm/Flooding
1960,Nebraska,Severe Storm/Flooding
1960,Florida,Other
1961,California,Fire
1961,Texas,Tropical Storm
1961,West Virginia,Severe Storm/Flooding
1961,Idaho,Severe Storm/Flooding
1961,Illinois,Severe Storm/Flooding
1961,Missouri,Severe Storm/Flooding
1961,Indiana,Severe Storm/Flooding
1961,Arkansas,Severe Storm/Flooding
1961,Iowa,Severe Storm/Flooding
1961,Georgia,Severe Storm/Flooding
1961,Alabama,Severe Storm/Flooding
1961,Mississippi,Severe Storm/Flooding
1962,Florida,Other
1962,Louisiana,Other
1962,California,Severe Storm/Flooding
1962,Washington,Severe Storm/Flooding
1962,Oregon,Severe Storm/Flooding
1962,Mississippi,Other
1962,Nebraska,Severe Storm/Flooding
1962,Iowa,Severe Storm/Flooding
1962,South Dakota,Severe Storm/Flooding
1962,Nebraska,Severe Storm/Flooding
1962,New York,Severe Storm/Flooding
1962,North Carolina,Severe Storm/Flooding
1962,Kentucky,Severe Storm/Flooding
1962,Maryland,Severe Storm/Flooding
1962,Virginia,Severe Storm/Flooding
1962,New Jersey,Severe Storm/Flooding
1962,West Virginia,Severe Storm/Flooding
1962,Delaware,Severe Storm/Flooding
1962,California,Severe Storm/Flooding
1962,Nevada,Severe Storm/Flooding
1962,Idaho,Severe Storm/Flooding
1963,California,Severe Storm/Flooding
1963,Vermont,Winter Storm
1963,Texas,Tropical Storm
1963,New York,Severe Storm/Flooding
1963,Arkansas,Severe Storm/Flooding
1963,Nebraska,Severe Storm/Flooding
1963,Wyoming,Severe Storm/Flooding
1963,Tennessee,Severe Storm/Flooding
1963,Georgia,Severe Storm/Flooding
1963,Virginia,Severe Storm/Flooding
1963,West Virginia,Severe Storm/Flooding
1963,Kentucky,Severe Storm/Flooding
1963,Washington,Severe Storm/Flooding
1963,California,Severe Storm/Flooding
1963,Oregon,Severe Storm/Flooding
1963,Idaho,Severe Storm/Flooding
1963,Nevada,Severe Storm/Flooding
1964,Idaho,Severe Storm/Flooding
1964,Washington,Severe Storm/Flooding
1964,California,Severe Storm/Flooding
1964,Oregon,Severe Storm/Flooding
1964,Montana,Winter Storm
1964,Georgia,Severe Storm/Flooding
1964,North Carolina,Severe Storm/Flooding
1964,Louisiana,Tropical Storm
1964,Florida,Tropical Storm
1964,Georgia,Tropical Storm
